component,percentage,edge_count,max_possible,component_nodes
1,50.0,1,2,"{413, 414}"
8,25.0,3,12,"{401, 189, 406, 121}"
17,16.666666666666664,5,30,"{257, 263, 396, 242, 250, 191}"
34,50.0,1,2,"{368, 379}"
35,50.0,1,2,"{377, 378}"
52,33.33333333333333,2,6,"{29, 30, 359}"
54,7.309941520467836,25,342,"{303, 310, 312, 318, 321, 323, 327, 328, 331, 332, 333, 334, 335, 337, 338, 349, 227, 228, 357}"
55,33.33333333333333,2,6,"{51, 356, 340}"
56,50.0,1,2,"{355, 237}"
60,33.33333333333333,2,6,"{343, 350, 351}"
72,50.0,1,2,"{325, 326}"
83,33.33333333333333,2,6,"{224, 131, 309}"
85,33.33333333333333,2,6,"{305, 306, 307}"
96,50.0,3,6,"{291, 292, 293}"
108,50.0,1,2,"{221, 279}"
137,30.0,6,20,"{134, 117, 245, 183, 247}"
155,50.0,1,2,"{200, 223}"
160,16.666666666666664,5,30,"{153, 48, 211, 217, 58, 93}"
164,33.33333333333333,2,6,"{186, 171, 213}"
194,50.0,1,2,"{177, 174}"
195,50.0,1,2,"{176, 175}"
207,50.0,1,2,"{160, 161}"
210,33.33333333333333,2,6,"{156, 157, 143}"
213,50.0,1,2,"{152, 141}"
223,50.0,1,2,"{140, 133}"
230,50.0,1,2,"{129, 130}"
242,50.0,1,2,"{56, 115}"
277,50.0,1,2,"{37, 79}"
323,25.0,3,12,"{25, 26, 11, 12}"
331,50.0,1,2,"{17, 4}"
332,50.0,1,2,"{16, 2}"
