component,percentage,fixes_count,edge_count,component_nodes
2,0.0,0,1,"{3977, 3971}"
3,11.707317073170733,24,205,"{2049, 3075, 2566, 3592, 2569, 3082, 2570, 2572, 2568, 2066, 2584, 2855, 2089, 1581, 3120, 1585, 2610, 3121, 3636, 3638, 3639, 1082, 3133, 3134, 3649, 3654, 1611, 3151, 3671, 3164, 3167, 3168, 2154, 3703, 3191, 3705, 3195, 3708, 3713, 3714, 3716, 3717, 3718, 3719, 3720, 3721, 3722, 3723, 2692, 3208, 3727, 3728, 3730, 3731, 3733, 3734, 3735, 2204, 3745, 3236, 2724, 2735, 2238, 3785, 2761, 2763, 3788, 3790, 3797, 3802, 1243, 3297, 3298, 3809, 2788, 3815, 3307, 3822, 2799, 2798, 3825, 3826, 3827, 3828, 2293, 2294, 2295, 3832, 3833, 3834, 2298, 3837, 766, 2816, 2819, 2824, 2825, 2826, 2830, 3857, 2840, 3865, 3868, 2848, 2852, 3877, 3878, 2341, 3880, 3881, 2854, 2858, 2860, 2856, 3886, 3887, 2864, 3377, 3378, 3897, 3899, 1852, 1853, 1854, 1851, 3390, 1345, 1346, 2881, 3908, 2885, 2887, 2889, 2891, 3918, 3923, 341, 854, 3927, 855, 2905, 857, 2907, 2906, 343, 858, 2911, 1890, 2424, 379, 3968, 2435, 3972, 3973, 3974, 391, 3976, 2441, 2440, 1935, 1956, 1965, 942, 1966, 2500, 3012, 3019, 2001, 3540, 3548, 3037, 3045, 2545, 2549, 2552, 2555}"
6,100.0,1,1,"{3969, 3965}"
20,0.0,0,1,"{3953, 53}"
36,100.0,1,1,"{3936, 3933}"
37,100.0,1,1,"{3900, 3935}"
39,0.0,0,1,"{3913, 3932}"
40,0.0,0,1,"{3930, 3931}"
42,0.0,0,1,"{3928, 3919}"
43,50.0,1,2,"{3910, 3926, 3070}"
44,0.0,0,1,"{3906, 3925}"
45,0.0,0,1,"{3889, 3924}"
51,0.0,0,1,"{3914, 3915}"
54,100.0,1,1,"{3901, 3909}"
55,100.0,1,1,"{3905, 3907}"
56,0.0,0,1,"{3904, 3144}"
57,0.0,0,1,"{3119, 3903}"
59,100.0,1,1,"{3898, 1675}"
63,0.0,0,1,"{3890, 3891}"
65,13.333333333333334,10,75,"{2944, 1, 2, 2947, 1538, 1801, 2954, 1291, 1932, 1809, 2962, 1169, 2068, 3222, 2967, 3223, 2969, 2970, 2971, 3100, 2721, 2978, 2083, 2726, 3885, 686, 2993, 2995, 2936, 2745, 2749, 2750, 3522, 3139, 3398, 3015, 3403, 3020, 3405, 3021, 1616, 3025, 3026, 3413, 2389, 3416, 1753, 1754, 2525, 3039, 1633, 3427, 3301, 1639, 3177, 1770, 1643, 2926, 1775, 2928, 2929, 3699, 3700, 2680, 2297, 2043}"
70,100.0,1,1,"{3876, 3014}"
72,100.0,1,1,"{3873, 3874}"
83,0.0,0,6,"{1830, 2727, 2986, 3859, 3381, 3830, 3005}"
87,50.0,1,2,"{3821, 3853, 3823}"
89,0.0,0,1,"{3850, 3851}"
109,0.0,0,2,"{3818, 3099, 3101}"
112,50.0,1,2,"{3811, 3812, 3814}"
113,16.666666666666664,3,18,"{3808, 3746, 3715, 3780, 3813, 1477, 1540, 3757, 3758, 3759, 3729, 1363, 3027, 3701, 3737, 3711}"
127,0.0,0,2,"{3225, 3789, 3791}"
128,0.0,0,13,"{2754, 485, 2406, 486, 2056, 487, 490, 3787, 1138, 213, 2973, 670}"
136,25.0,1,4,"{3776, 3769, 3770, 3686}"
137,0.0,0,1,"{3754, 3775}"
138,50.0,1,2,"{3772, 3773, 2446}"
142,0.0,0,1,"{3766, 535}"
143,33.33333333333333,1,3,"{3761, 3764, 3765}"
150,0.0,0,3,"{3752, 1555, 1523, 3751}"
153,0.0,0,1,"{3748, 3525}"
154,100.0,1,1,"{3744, 3747}"
172,0.0,0,1,"{3697, 3606}"
173,0.0,0,1,"{3696, 3695}"
178,0.0,0,2,"{3672, 3673, 3690}"
180,0.0,0,5,"{3205, 3688, 3342, 2779, 2845}"
182,100.0,1,1,"{3683, 3685}"
188,0.0,0,1,"{3676, 3677}"
192,50.0,1,2,"{3665, 3620, 3669}"
196,100.0,1,1,"{3664, 3622}"
197,100.0,2,2,"{3623, 3621, 3663}"
198,0.0,0,2,"{3630, 3661, 3662}"
206,0.0,0,1,"{3651, 3571}"
210,66.66666666666666,2,3,"{3642, 3643, 3646}"
212,100.0,1,1,"{3644, 3637}"
216,25.0,1,4,"{1377, 1510, 1996, 3633, 2173}"
222,0.0,0,2,"{3624, 3625, 3341}"
223,0.0,0,1,"{3609, 3619}"
226,100.0,1,1,"{3616, 3608}"
234,0.0,0,3,"{2805, 3486, 3605, 1718}"
243,0.0,0,1,"{3594, 35}"
247,12.82051282051282,5,39,"{3330, 3588, 2436, 3466, 3212, 3215, 3476, 1057, 2339, 3363, 3366, 3504, 3380, 3513, 1849, 3516, 3520, 3393, 2245, 3397, 2127, 3155, 3423, 3169, 3308, 3438, 3444, 3189, 3446, 3323}"
249,7.142857142857142,1,14,"{3584, 3585, 3586, 3523, 3488, 3557, 3487, 3535, 3579, 3583}"
252,0.0,0,1,"{3552, 3580}"
262,0.0,0,1,"{3568, 3567}"
263,50.0,1,2,"{1626, 1894, 3566}"
273,0.0,0,3,"{90, 3555, 98, 87}"
274,0.0,0,1,"{3554, 2948}"
280,0.0,0,1,"{3528, 3546}"
287,0.0,0,5,"{3521, 3494, 3531, 3538, 3510, 3484}"
288,0.0,0,1,"{3537, 3467}"
293,0.0,0,1,"{3529, 883}"
299,0.0,0,1,"{3514, 3515}"
302,0.0,0,1,"{3505, 3509}"
316,0.0,0,1,"{3492, 3455}"
326,25.0,1,4,"{3460, 3472, 3441, 3475, 3477}"
338,0.0,0,1,"{3456, 3457}"
339,25.0,1,4,"{3337, 3451, 3197, 3454}"
350,0.0,0,2,"{3432, 3431, 3439}"
356,0.0,0,1,"{3424, 3430}"
360,0.0,0,1,"{3425, 3421}"
361,100.0,1,1,"{3414, 3422}"
362,0.0,0,1,"{3419, 3420}"
377,0.0,0,3,"{440, 345, 441, 3399}"
396,0.0,0,1,"{3371, 3340}"
397,100.0,1,1,"{3370, 3367}"
405,0.0,0,1,"{3315, 3359}"
406,0.0,0,1,"{3357, 2582}"
415,100.0,1,1,"{3328, 3347}"
423,0.0,0,1,"{3334, 3335}"
424,100.0,1,1,"{3333, 3239}"
427,0.0,0,4,"{3329, 2980, 2984, 2601, 3128}"
448,14.285714285714285,1,7,"{3300, 3114, 3052, 3282, 3256, 3257, 3258}"
452,100.0,2,2,"{3228, 3229, 3294}"
453,100.0,1,1,"{3217, 3293}"
457,28.57142857142857,2,7,"{3266, 2629, 2637, 3280, 3289, 2618, 2685, 3262}"
461,0.0,0,1,"{3284, 3285}"
462,0.0,0,1,"{3250, 3283}"
466,50.0,4,8,"{3013, 3269, 3277, 3247, 3089, 3061, 3254, 3261}"
468,0.0,0,1,"{3274, 3255}"
469,50.0,1,2,"{3273, 3237, 2886}"
470,0.0,0,1,"{3272, 3252}"
471,0.0,0,1,"{3265, 3271}"
472,0.0,0,1,"{3246, 3270}"
479,40.0,2,5,"{3238, 3241, 3242, 3251, 3253, 2358}"
485,50.0,1,2,"{3090, 3234, 3235}"
494,33.33333333333333,1,3,"{3219, 2284, 2604, 2551}"
495,0.0,0,2,"{3218, 3194, 3183}"
504,0.0,0,1,"{3202, 964}"
505,0.0,0,1,"{3200, 3201}"
523,10.0,1,10,"{1537, 1539, 3172, 1439, 3117, 2385, 3156, 3162, 1087, 1438, 3135}"
525,50.0,1,2,"{3170, 3157, 3141}"
529,16.666666666666664,1,6,"{12, 48, 2357, 3158, 3159, 917, 794}"
534,0.0,0,1,"{3131, 3149}"
536,100.0,1,1,"{3146, 3147}"
544,100.0,1,1,"{3003, 3132}"
547,50.0,1,2,"{1222, 3126, 3127}"
558,0.0,0,1,"{3060, 3109}"
564,100.0,1,1,"{2182, 3103}"
579,0.0,0,7,"{772, 2503, 3083, 879, 915, 3059, 3007}"
582,0.0,0,2,"{3076, 3078, 3079}"
583,100.0,1,1,"{3066, 3077}"
595,33.33333333333333,1,3,"{3057, 2697, 2621, 2773}"
597,100.0,1,1,"{3051, 3055}"
607,0.0,0,1,"{3042, 2925}"
609,0.0,0,1,"{3040, 1018}"
619,0.0,0,1,"{2834, 3028}"
627,0.0,0,4,"{3010, 2955, 2956, 2958}"
631,0.0,0,1,"{2859, 3004}"
633,0.0,0,1,"{3001, 2996}"
646,0.0,0,1,"{930, 2982}"
655,100.0,1,1,"{2965, 2966}"
658,14.285714285714285,1,7,"{2190, 2159, 2160, 2961, 2161, 2195, 2163, 2166}"
660,0.0,0,1,"{1653, 2959}"
667,0.0,0,2,"{2946, 2924, 2941}"
682,0.0,0,1,"{1993, 2923}"
692,0.0,0,3,"{2792, 2913, 2770}"
694,0.0,0,2,"{2486, 2910, 774}"
713,33.33333333333333,2,6,"{2880, 2862, 2868, 2869, 2870, 2879}"
715,0.0,0,10,"{1671, 2059, 1617, 2129, 2386, 2515, 2071, 2875, 2876, 2397}"
718,0.0,0,1,"{2872, 2865}"
728,0.0,0,1,"{2849, 2366}"
732,0.0,0,1,"{2842, 2110}"
765,0.0,0,2,"{2800, 1673, 2694}"
783,0.0,0,1,"{2776, 2757}"
786,0.0,0,1,"{2772, 2758}"
801,0.0,0,1,"{2747, 2751}"
810,0.0,0,1,"{2738, 1387}"
831,33.33333333333333,1,3,"{2712, 1865, 1866, 1962}"
838,100.0,1,1,"{2705, 1765}"
839,0.0,0,2,"{2704, 2668, 2679}"
845,0.0,0,2,"{2698, 2636, 2542}"
846,0.0,0,7,"{2402, 2403, 2695, 2696, 2543, 2395, 2396}"
852,33.33333333333333,1,3,"{1234, 2378, 1219, 2687}"
854,0.0,0,1,"{2683, 2684}"
855,0.0,0,1,"{2657, 2682}"
858,0.0,0,1,"{2677, 2606}"
862,0.0,0,1,"{2673, 2178}"
863,0.0,0,1,"{2672, 2671}"
864,0.0,0,1,"{2667, 2670}"
868,0.0,0,5,"{2598, 2664, 1813, 2613, 1817, 1755}"
875,0.0,0,1,"{2656, 2638}"
883,0.0,0,2,"{2648, 2640, 2128}"
888,25.0,1,4,"{154, 2643, 196, 197}"
889,0.0,0,1,"{2400, 2642}"
894,0.0,0,2,"{2633, 698, 684}"
903,10.0,1,10,"{1577, 1676, 1805, 1491, 1940, 1590, 1497, 1659, 2622, 2623}"
906,0.0,0,1,"{2616, 2617}"
921,0.0,0,2,"{563, 906, 2595}"
922,0.0,0,1,"{2594, 2589}"
926,0.0,0,1,"{2586, 2590}"
935,0.0,0,1,"{2577, 2575}"
943,0.0,0,2,"{2558, 2563, 2550}"
962,0.0,0,20,"{2243, 1476, 2308, 2534, 2244, 2022, 2117, 1063, 1099, 2288, 2353, 2261, 888, 603, 2268, 1564, 2142}"
971,0.0,0,1,"{2523, 2524}"
979,33.33333333333333,1,3,"{2513, 444, 838, 836}"
981,0.0,0,1,"{2499, 2511}"
982,100.0,1,1,"{2507, 2510}"
983,0.0,0,2,"{2506, 2509, 2502}"
990,100.0,1,1,"{2496, 2489}"
992,100.0,1,1,"{2492, 2494}"
1003,66.66666666666666,2,3,"{2480, 26, 38, 39}"
1004,0.0,0,3,"{2464, 2017, 2478}"
1005,0.0,0,1,"{2477, 1421}"
1018,0.0,0,2,"{313, 317, 2461}"
1047,0.0,0,9,"{1411, 1067, 367, 1074, 1716, 1461, 982, 2426, 219}"
1054,100.0,1,1,"{2416, 2418}"
1056,40.0,2,5,"{1542, 2415, 1681, 1684, 2390}"
1058,100.0,1,1,"{2388, 2413}"
1059,0.0,0,1,"{2411, 2412}"
1067,0.0,0,1,"{2398, 2175}"
1071,0.0,0,2,"{2377, 2387, 2382}"
1081,0.0,0,1,"{2372, 2222}"
1099,0.0,0,1,"{2349, 2342}"
1100,0.0,0,1,"{2348, 2277}"
1103,100.0,1,1,"{2345, 2338}"
1115,0.0,0,1,"{2328, 1122}"
1116,0.0,0,1,"{2323, 2327}"
1117,50.0,1,2,"{2258, 1723, 2326}"
1120,33.33333333333333,4,12,"{1859, 1283, 1861, 1446, 1287, 1289, 1840, 1873, 2322, 1850}"
1121,0.0,0,1,"{2120, 2321}"
1139,0.0,0,2,"{1618, 2299, 2303}"
1144,0.0,0,1,"{692, 2292}"
1168,100.0,1,1,"{2264, 2263}"
1173,0.0,0,1,"{2256, 1120}"
1181,0.0,0,1,"{2248, 1998}"
1187,0.0,0,1,"{2036, 2237}"
1188,20.0,1,5,"{3, 1173, 1112, 2202, 2236, 1117}"
1192,0.0,0,1,"{2232, 1612}"
1200,0.0,0,1,"{2224, 2105}"
1201,100.0,1,1,"{2214, 2223}"
1203,50.0,1,2,"{2170, 2171, 2220}"
1204,0.0,0,5,"{2176, 2183, 2216, 2184, 2215, 2219}"
1212,50.0,1,2,"{2208, 2194, 2191}"
1213,100.0,1,1,"{2185, 2207}"
1216,100.0,1,1,"{2203, 1916}"
1217,0.0,0,1,"{2201, 2197}"
1219,0.0,0,1,"{2168, 2198}"
1221,0.0,0,1,"{2169, 2193}"
1222,25.0,2,8,"{7, 8, 9, 2192, 178, 179, 180, 1782, 703}"
1232,0.0,0,3,"{2172, 2133, 2158, 2116}"
1233,0.0,0,1,"{2112, 2167}"
1234,66.66666666666666,2,3,"{2146, 2155, 2125, 2165}"
1235,100.0,1,1,"{2164, 2157}"
1247,0.0,0,1,"{2121, 2143}"
1253,0.0,0,1,"{2136, 2091}"
1256,100.0,1,1,"{2130, 2132}"
1279,0.0,0,1,"{2096, 2097}"
1281,0.0,0,1,"{2085, 2094}"
1285,0.0,0,1,"{2088, 2047}"
1291,50.0,1,2,"{2080, 2042, 2028}"
1306,100.0,1,1,"{2005, 2062}"
1311,0.0,0,1,"{370, 2055}"
1312,0.0,0,1,"{2054, 1295}"
1313,0.0,0,1,"{2050, 2053}"
1319,0.0,0,1,"{2044, 1519}"
1321,0.0,0,1,"{2040, 2010}"
1335,0.0,0,1,"{2024, 2023}"
1343,33.33333333333333,1,3,"{1970, 2013, 1910, 1903}"
1345,0.0,0,1,"{2011, 948}"
1347,0.0,0,1,"{2008, 2004}"
1348,0.0,0,1,"{1357, 2007}"
1355,0.0,0,1,"{1995, 564}"
1358,0.0,0,1,"{1986, 1991}"
1364,0.0,0,2,"{1984, 1982, 1983}"
1366,42.857142857142854,3,7,"{1478, 1967, 1968, 1969, 305, 1976, 1113, 1980}"
1376,100.0,1,1,"{1963, 1815}"
1377,100.0,1,1,"{1961, 332}"
1378,20.0,3,15,"{992, 448, 613, 839, 1960, 1033, 394, 424, 1644, 845, 429, 560, 631, 664, 1402}"
1380,100.0,1,1,"{1155, 1958}"
1385,0.0,0,1,"{1952, 1950}"
1387,0.0,0,3,"{1936, 1924, 1949, 1934}"
1388,66.66666666666666,2,3,"{1944, 1945, 1947, 1948}"
1402,100.0,1,1,"{1717, 1926}"
1404,0.0,0,1,"{1923, 1747}"
1405,0.0,0,1,"{1922, 1915}"
1410,0.0,0,1,"{1914, 1917}"
1411,4.166666666666666,1,24,"{1472, 1601, 1665, 1252, 1670, 1598, 1481, 1385, 1836, 1872, 1552, 1680, 1400, 1913, 1596, 1597, 1502, 1663}"
1412,100.0,1,1,"{1912, 1908}"
1414,16.666666666666664,2,12,"{960, 961, 962, 891, 1325, 1620, 1909, 1078, 1431, 1625, 1627, 1406}"
1422,0.0,0,2,"{1808, 1899, 1814}"
1429,100.0,1,1,"{1891, 1886}"
1435,0.0,0,2,"{1881, 1883, 1879}"
