component,percentage,edge_count,max_possible,component_nodes
2,50.0,1,2,"{1820, 1821}"
6,50.0,1,2,"{1816, 1702}"
7,50.0,1,2,"{1814, 1815}"
9,50.0,1,2,"{1811, 1812}"
10,50.0,1,2,"{1808, 1810}"
12,50.0,1,2,"{1806, 1807}"
13,50.0,1,2,"{1804, 1805}"
15,50.0,1,2,"{1800, 1801}"
17,33.33333333333333,2,6,"{1796, 1797, 1798}"
18,50.0,1,2,"{1794, 1795}"
19,50.0,1,2,"{1792, 1793}"
20,33.33333333333333,2,6,"{1787, 1789, 1791}"
28,33.33333333333333,2,6,"{1104, 1780, 1781}"
31,50.0,1,2,"{1776, 1777}"
33,50.0,1,2,"{1773, 1774}"
43,33.33333333333333,4,12,"{1728, 1727, 1762, 1752}"
49,50.0,1,2,"{1715, 1756}"
53,50.0,1,2,"{1750, 1751}"
60,50.0,1,2,"{1742, 1743}"
78,6.985294117647059,19,272,"{1018, 675, 1285, 967, 1096, 1576, 942, 878, 976, 656, 1714, 881, 1076, 851, 1722, 1083, 958}"
82,33.33333333333333,2,6,"{1704, 1718, 1711}"
85,50.0,1,2,"{1584, 1713}"
116,50.0,1,2,"{1355, 1678}"
126,50.0,1,2,"{1660, 1668}"
127,50.0,1,2,"{1667, 1654}"
131,50.0,1,2,"{874, 1663}"
167,50.0,1,2,"{1624, 1625}"
176,50.0,1,2,"{1614, 1615}"
177,12.5,7,56,"{1480, 1482, 1483, 1613, 1486, 1492, 1493, 1564}"
188,20.0,4,20,"{1602, 1557, 1432, 1561, 1535}"
190,50.0,1,2,"{1600, 1599}"
192,50.0,1,2,"{74, 1597}"
193,50.0,1,2,"{1450, 1596}"
197,50.0,1,2,"{1592, 1414}"
203,50.0,1,2,"{1586, 1565}"
212,20.0,4,20,"{1284, 1575, 1098, 1333, 1272}"
220,50.0,1,2,"{1452, 1567}"
221,33.33333333333333,2,6,"{1504, 1502, 1566}"
226,50.0,1,2,"{1555, 1558}"
231,50.0,1,2,"{1457, 1551}"
232,50.0,1,2,"{1536, 1550}"
237,50.0,1,2,"{1545, 1539}"
238,33.33333333333333,2,6,"{1544, 1521, 1490}"
249,16.666666666666664,5,30,"{1496, 1485, 1488, 824, 1529, 1530}"
251,50.0,1,2,"{1525, 1527}"
267,50.0,1,2,"{1507, 1499}"
272,25.0,3,12,"{1441, 1500, 1317, 1436}"
275,50.0,1,2,"{1384, 1495}"
279,50.0,1,2,"{1341, 1487}"
290,33.33333333333333,2,6,"{1466, 1468, 1471}"
305,50.0,1,2,"{1312, 1453}"
308,50.0,1,2,"{1448, 1438}"
309,6.25,17,272,"{672, 768, 646, 1447, 774, 1289, 651, 780, 1291, 782, 1292, 689, 1010, 1043, 693, 987, 1085}"
320,50.0,1,2,"{1433, 1391}"
321,33.33333333333333,4,12,"{1367, 1297, 1398, 1431}"
324,3.1097560975609757,51,1640,"{129, 1025, 1156, 1033, 1290, 528, 913, 912, 914, 1428, 1046, 920, 1051, 1052, 924, 927, 1059, 804, 676, 1064, 810, 1066, 1068, 1067, 1072, 946, 947, 949, 952, 954, 1086, 1091, 1094, 1107, 1108, 870, 1266, 1020, 125, 1022, 895}"
325,50.0,1,2,"{1425, 1427}"
326,50.0,1,2,"{1426, 1159}"
342,50.0,1,2,"{1408, 1404}"
352,50.0,1,2,"{1395, 1396}"
379,50.0,1,2,"{1357, 1365}"
382,50.0,1,2,"{1361, 1362}"
395,50.0,1,2,"{1345, 1346}"
396,33.33333333333333,2,6,"{1344, 1172, 1342}"
406,50.0,1,2,"{1330, 1331}"
414,50.0,1,2,"{1320, 1322}"
422,20.0,4,20,"{1282, 917, 921, 1309, 1310}"
438,50.0,1,2,"{1288, 1287}"
439,50.0,1,2,"{1280, 1286}"
446,50.0,1,2,"{1274, 1275}"
465,33.33333333333333,2,6,"{1251, 1252, 1253}"
468,14.285714285714285,6,42,"{1248, 577, 1227, 1036, 1035, 1238, 1244}"
471,50.0,1,2,"{1234, 1245}"
477,50.0,1,2,"{1236, 1237}"
481,50.0,1,2,"{1230, 1231}"
489,50.0,1,2,"{1219, 1221}"
504,50.0,1,2,"{1202, 1205}"
507,25.0,3,12,"{1201, 1058, 933, 1007}"
510,33.33333333333333,2,6,"{1196, 1190, 1198}"
522,50.0,3,6,"{1184, 1181, 1182}"
524,50.0,1,2,"{1179, 1180}"
528,50.0,1,2,"{1165, 1174}"
548,25.0,3,12,"{1142, 1135, 1134, 1143}"
558,50.0,1,2,"{1130, 1122}"
559,50.0,1,2,"{1129, 1126}"
566,33.33333333333333,2,6,"{652, 973, 1119}"
567,50.0,1,2,"{1097, 1118}"
568,50.0,1,2,"{1117, 847}"
569,50.0,1,2,"{1112, 1116}"
570,50.0,1,2,"{1114, 1115}"
574,33.33333333333333,2,6,"{624, 1106, 996}"
585,50.0,1,2,"{1088, 1087}"
587,50.0,1,2,"{1082, 1074}"
588,50.0,1,2,"{1081, 1075}"
589,50.0,1,2,"{1080, 1078}"
593,50.0,1,2,"{1065, 1071}"
595,50.0,1,2,"{969, 1069}"
600,50.0,1,2,"{880, 1057}"
614,50.0,1,2,"{1038, 1039}"
616,50.0,1,2,"{1034, 877}"
623,25.0,3,12,"{1026, 379, 570, 558}"
628,50.0,1,2,"{1008, 1017}"
632,50.0,1,2,"{1009, 1013}"
633,50.0,1,2,"{1012, 918}"
639,33.33333333333333,2,6,"{1001, 1002, 979}"
640,50.0,1,2,"{1000, 891}"
655,25.0,3,12,"{905, 858, 325, 983}"
661,50.0,1,2,"{704, 975}"
667,50.0,1,2,"{938, 966}"
671,50.0,1,2,"{962, 787}"
674,50.0,1,2,"{926, 959}"
678,11.11111111111111,10,90,"{802, 803, 134, 619, 850, 665, 628, 953, 764, 638}"
680,50.0,1,2,"{950, 935}"
686,33.33333333333333,2,6,"{896, 939, 940}"
689,50.0,1,2,"{931, 934}"
698,12.222222222222221,11,90,"{871, 840, 809, 490, 843, 819, 916, 437, 822, 597}"
700,50.0,1,2,"{908, 911}"
704,50.0,1,2,"{904, 906}"
707,20.0,4,20,"{868, 901, 365, 247, 506}"
710,20.0,4,20,"{897, 898, 854, 855, 892}"
711,50.0,1,2,"{893, 894}"
712,33.33333333333333,2,6,"{856, 890, 468}"
716,50.0,1,2,"{866, 886}"
723,33.33333333333333,2,6,"{873, 837, 839}"
725,50.0,1,2,"{609, 869}"
733,50.0,3,6,"{272, 273, 859}"
746,50.0,1,2,"{817, 835}"
748,33.33333333333333,2,6,"{832, 833, 588}"
755,25.0,3,12,"{825, 666, 691, 620}"
760,50.0,1,2,"{816, 815}"
776,50.0,1,2,"{792, 794}"
783,50.0,1,2,"{785, 438}"
793,50.0,1,2,"{217, 771}"
794,50.0,1,2,"{770, 463}"
813,50.0,1,2,"{690, 749}"
822,50.0,1,2,"{739, 740}"
827,50.0,1,2,"{734, 655}"
829,50.0,1,2,"{732, 695}"
839,50.0,1,2,"{722, 719}"
846,25.0,3,12,"{713, 714, 708, 705}"
849,50.0,1,2,"{709, 710}"
850,50.0,1,2,"{706, 707}"
851,50.0,1,2,"{702, 703}"
853,25.0,3,12,"{633, 626, 700, 645}"
858,50.0,1,2,"{692, 694}"
859,50.0,1,2,"{688, 687}"
860,33.33333333333333,2,6,"{680, 621, 686}"
861,50.0,1,2,"{684, 685}"
866,50.0,1,2,"{677, 678}"
879,33.33333333333333,2,6,"{640, 659, 589}"
909,50.0,1,2,"{78, 614}"
944,50.0,1,2,"{560, 574}"
949,50.0,1,2,"{568, 546}"
959,50.0,1,2,"{556, 516}"
960,33.33333333333333,2,6,"{363, 210, 555}"
982,50.0,1,2,"{532, 487}"
987,50.0,1,2,"{525, 526}"
988,25.0,3,12,"{418, 436, 524, 492}"
997,12.727272727272727,14,110,"{514, 420, 421, 392, 393, 394, 395, 427, 399, 401, 434}"
998,50.0,1,2,"{513, 509}"
1003,50.0,1,2,"{505, 507}"
1005,50.0,1,2,"{253, 503}"
1016,50.0,1,2,"{491, 343}"
1017,50.0,1,2,"{489, 477}"
1020,50.0,1,2,"{484, 485}"
