component,percentage,fixes_count,edge_count,component_nodes
2,0.0,0,1,"{1820, 1821}"
6,100.0,1,1,"{1816, 1702}"
7,0.0,0,1,"{1814, 1815}"
9,0.0,0,1,"{1811, 1812}"
10,0.0,0,1,"{1808, 1810}"
12,0.0,0,1,"{1806, 1807}"
13,0.0,0,1,"{1804, 1805}"
15,0.0,0,1,"{1800, 1801}"
17,50.0,1,2,"{1796, 1797, 1798}"
18,0.0,0,1,"{1794, 1795}"
19,0.0,0,1,"{1792, 1793}"
20,0.0,0,2,"{1787, 1789, 1791}"
28,50.0,1,2,"{1104, 1780, 1781}"
31,0.0,0,1,"{1776, 1777}"
33,0.0,0,1,"{1773, 1774}"
43,0.0,0,4,"{1728, 1727, 1762, 1752}"
49,0.0,0,1,"{1715, 1756}"
53,100.0,1,1,"{1750, 1751}"
60,100.0,1,1,"{1742, 1743}"
78,0.0,0,19,"{1018, 675, 1285, 967, 1096, 1576, 942, 878, 976, 656, 1714, 881, 1076, 851, 1722, 1083, 958}"
82,0.0,0,2,"{1704, 1718, 1711}"
85,0.0,0,1,"{1584, 1713}"
116,0.0,0,1,"{1355, 1678}"
126,0.0,0,1,"{1660, 1668}"
127,0.0,0,1,"{1667, 1654}"
131,0.0,0,1,"{874, 1663}"
167,0.0,0,1,"{1624, 1625}"
176,0.0,0,1,"{1614, 1615}"
177,14.285714285714285,1,7,"{1480, 1482, 1483, 1613, 1486, 1492, 1493, 1564}"
188,0.0,0,4,"{1602, 1557, 1432, 1561, 1535}"
190,0.0,0,1,"{1600, 1599}"
192,0.0,0,1,"{74, 1597}"
193,0.0,0,1,"{1450, 1596}"
197,100.0,1,1,"{1592, 1414}"
203,0.0,0,1,"{1586, 1565}"
212,0.0,0,4,"{1284, 1575, 1098, 1333, 1272}"
220,0.0,0,1,"{1452, 1567}"
221,0.0,0,2,"{1504, 1502, 1566}"
226,0.0,0,1,"{1555, 1558}"
231,0.0,0,1,"{1457, 1551}"
232,0.0,0,1,"{1536, 1550}"
237,0.0,0,1,"{1545, 1539}"
238,0.0,0,2,"{1544, 1521, 1490}"
249,40.0,2,5,"{1496, 1485, 1488, 824, 1529, 1530}"
251,0.0,0,1,"{1525, 1527}"
267,0.0,0,1,"{1507, 1499}"
272,0.0,0,3,"{1441, 1500, 1317, 1436}"
275,0.0,0,1,"{1384, 1495}"
279,0.0,0,1,"{1341, 1487}"
290,0.0,0,2,"{1466, 1468, 1471}"
305,100.0,1,1,"{1312, 1453}"
308,0.0,0,1,"{1448, 1438}"
309,5.88235294117647,1,17,"{672, 768, 646, 1447, 774, 1289, 651, 780, 1291, 782, 1292, 689, 1010, 1043, 693, 987, 1085}"
320,0.0,0,1,"{1433, 1391}"
321,50.0,2,4,"{1367, 1297, 1398, 1431}"
324,5.88235294117647,3,51,"{129, 1025, 1156, 1033, 1290, 528, 913, 912, 914, 1428, 1046, 920, 1051, 1052, 924, 927, 1059, 804, 676, 1064, 810, 1066, 1068, 1067, 1072, 946, 947, 949, 952, 954, 1086, 1091, 1094, 1107, 1108, 870, 1266, 1020, 125, 1022, 895}"
325,100.0,1,1,"{1425, 1427}"
326,0.0,0,1,"{1426, 1159}"
342,0.0,0,1,"{1408, 1404}"
352,0.0,0,1,"{1395, 1396}"
379,0.0,0,1,"{1357, 1365}"
382,0.0,0,1,"{1361, 1362}"
395,100.0,1,1,"{1345, 1346}"
396,50.0,1,2,"{1344, 1172, 1342}"
406,0.0,0,1,"{1330, 1331}"
414,100.0,1,1,"{1320, 1322}"
422,25.0,1,4,"{1282, 917, 921, 1309, 1310}"
438,0.0,0,1,"{1288, 1287}"
439,100.0,1,1,"{1280, 1286}"
446,0.0,0,1,"{1274, 1275}"
465,0.0,0,2,"{1251, 1252, 1253}"
468,0.0,0,6,"{1248, 577, 1227, 1036, 1035, 1238, 1244}"
471,0.0,0,1,"{1234, 1245}"
477,0.0,0,1,"{1236, 1237}"
481,100.0,1,1,"{1230, 1231}"
489,0.0,0,1,"{1219, 1221}"
504,0.0,0,1,"{1202, 1205}"
507,0.0,0,3,"{1201, 1058, 933, 1007}"
510,0.0,0,2,"{1196, 1190, 1198}"
522,33.33333333333333,1,3,"{1184, 1181, 1182}"
524,0.0,0,1,"{1179, 1180}"
528,0.0,0,1,"{1165, 1174}"
548,33.33333333333333,1,3,"{1142, 1135, 1134, 1143}"
558,100.0,1,1,"{1130, 1122}"
559,100.0,1,1,"{1129, 1126}"
566,50.0,1,2,"{652, 973, 1119}"
567,0.0,0,1,"{1097, 1118}"
568,100.0,1,1,"{1117, 847}"
569,100.0,1,1,"{1112, 1116}"
570,100.0,1,1,"{1114, 1115}"
574,50.0,1,2,"{624, 1106, 996}"
585,0.0,0,1,"{1088, 1087}"
587,0.0,0,1,"{1082, 1074}"
588,100.0,1,1,"{1081, 1075}"
589,100.0,1,1,"{1080, 1078}"
593,0.0,0,1,"{1065, 1071}"
595,0.0,0,1,"{969, 1069}"
600,0.0,0,1,"{880, 1057}"
614,100.0,1,1,"{1038, 1039}"
616,0.0,0,1,"{1034, 877}"
623,0.0,0,3,"{1026, 379, 570, 558}"
628,0.0,0,1,"{1008, 1017}"
632,0.0,0,1,"{1009, 1013}"
633,0.0,0,1,"{1012, 918}"
639,0.0,0,2,"{1001, 1002, 979}"
640,0.0,0,1,"{1000, 891}"
655,0.0,0,3,"{905, 858, 325, 983}"
661,0.0,0,1,"{704, 975}"
667,0.0,0,1,"{938, 966}"
671,0.0,0,1,"{962, 787}"
674,0.0,0,1,"{926, 959}"
678,0.0,0,10,"{802, 803, 134, 619, 850, 665, 628, 953, 764, 638}"
680,0.0,0,1,"{950, 935}"
686,0.0,0,2,"{896, 939, 940}"
689,0.0,0,1,"{931, 934}"
698,0.0,0,11,"{871, 840, 809, 490, 843, 819, 916, 437, 822, 597}"
700,0.0,0,1,"{908, 911}"
704,0.0,0,1,"{904, 906}"
707,0.0,0,4,"{868, 901, 365, 247, 506}"
710,0.0,0,4,"{897, 898, 854, 855, 892}"
711,0.0,0,1,"{893, 894}"
712,0.0,0,2,"{856, 890, 468}"
716,0.0,0,1,"{866, 886}"
723,0.0,0,2,"{873, 837, 839}"
725,0.0,0,1,"{609, 869}"
733,0.0,0,3,"{272, 273, 859}"
746,100.0,1,1,"{817, 835}"
748,0.0,0,2,"{832, 833, 588}"
755,0.0,0,3,"{825, 666, 691, 620}"
760,0.0,0,1,"{816, 815}"
776,0.0,0,1,"{792, 794}"
783,0.0,0,1,"{785, 438}"
793,0.0,0,1,"{217, 771}"
794,0.0,0,1,"{770, 463}"
813,0.0,0,1,"{690, 749}"
822,0.0,0,1,"{739, 740}"
827,0.0,0,1,"{734, 655}"
829,0.0,0,1,"{732, 695}"
839,100.0,1,1,"{722, 719}"
846,0.0,0,3,"{713, 714, 708, 705}"
849,0.0,0,1,"{709, 710}"
850,100.0,1,1,"{706, 707}"
851,0.0,0,1,"{702, 703}"
853,0.0,0,3,"{633, 626, 700, 645}"
858,0.0,0,1,"{692, 694}"
859,0.0,0,1,"{688, 687}"
860,0.0,0,2,"{680, 621, 686}"
861,0.0,0,1,"{684, 685}"
866,0.0,0,1,"{677, 678}"
879,50.0,1,2,"{640, 659, 589}"
909,0.0,0,1,"{78, 614}"
