component,percentage,edge_count,max_possible,component_nodes
14,33.33333333333333,2,6,"{1224, 1210, 1216}"
15,2.253401360544218,53,2352,"{386, 138, 1177, 540, 1182, 1184, 801, 679, 41, 937, 1196, 813, 685, 560, 1202, 51, 443, 959, 67, 196, 1223, 587, 849, 81, 723, 724, 725, 209, 343, 727, 728, 92, 221, 992, 97, 740, 997, 998, 363, 494, 1135, 368, 1009, 370, 246, 122, 123, 252, 127}"
23,33.33333333333333,2,6,"{672, 653, 1214}"
27,50.0,1,2,"{1209, 906}"
33,50.0,1,2,"{1201, 1203}"
37,11.11111111111111,8,72,"{1096, 776, 777, 1197, 462, 1116, 1041, 825, 124}"
59,3.5984848484848486,38,1056,"{514, 133, 774, 135, 1032, 783, 1171, 278, 282, 289, 547, 556, 46, 431, 177, 566, 694, 187, 576, 961, 322, 460, 845, 718, 855, 613, 233, 745, 619, 495, 623, 1015, 638}"
61,20.0,4,20,"{139, 1169, 466, 147, 668}"
80,33.33333333333333,4,12,"{1148, 1149, 1150, 1087}"
93,33.33333333333333,2,6,"{985, 886, 1134}"
96,25.0,3,12,"{769, 1058, 1131, 734}"
99,4.761904761904762,22,462,"{644, 390, 272, 660, 808, 809, 298, 817, 1086, 1091, 1098, 981, 341, 348, 95, 737, 231, 1128, 618, 625, 506, 1022}"
102,20.0,6,30,"{1125, 326, 838, 968, 409, 988}"
114,25.0,3,12,"{1112, 682, 1050, 468}"
117,6.25,17,272,"{108, 161, 962, 450, 100, 193, 172, 205, 493, 175, 365, 303, 173, 174, 14, 1109, 698}"
127,33.33333333333333,2,6,"{1099, 716, 798}"
139,33.33333333333333,2,6,"{1082, 955, 171}"
144,50.0,1,2,"{754, 1077}"
154,50.0,1,2,"{1066, 1067}"
158,25.0,3,12,"{1057, 867, 972, 1062}"
160,50.0,1,2,"{1060, 862}"
182,50.0,1,2,"{1033, 1034}"
196,8.333333333333332,13,156,"{128, 1, 2, 4, 27, 10, 140, 492, 141, 143, 1017, 91, 223}"
205,10.0,9,90,"{132, 744, 330, 524, 77, 1006, 212, 501, 377, 255}"
223,50.0,1,2,"{484, 983}"
232,33.33333333333333,2,6,"{892, 44, 973}"
243,50.0,1,2,"{459, 957}"
271,50.0,1,2,"{880, 927}"
281,50.0,1,2,"{917, 719}"
282,14.285714285714285,6,42,"{71, 199, 910, 916, 55, 94, 383}"
284,50.0,1,2,"{545, 914}"
289,50.0,1,2,"{908, 245}"
296,33.33333333333333,2,6,"{491, 900, 861}"
298,50.0,1,2,"{898, 797}"
306,50.0,1,2,"{889, 691}"
307,50.0,1,2,"{888, 885}"
308,50.0,1,2,"{866, 887}"
312,50.0,1,2,"{881, 818}"
325,50.0,1,2,"{865, 852}"
342,20.0,4,20,"{3, 842, 779, 12, 830}"
370,50.0,1,2,"{349, 806}"
401,50.0,1,2,"{764, 766}"
412,9.090909090909092,12,132,"{641, 194, 325, 296, 266, 651, 76, 111, 753, 118, 318, 286}"
419,33.33333333333333,2,6,"{746, 306, 429}"
422,25.0,3,12,"{729, 564, 741, 534}"
435,50.0,1,2,"{665, 717}"
437,50.0,1,2,"{714, 710}"
443,33.33333333333333,2,6,"{488, 707, 381}"
445,50.0,1,2,"{705, 674}"
449,25.0,3,12,"{593, 586, 701, 529}"
465,50.0,1,2,"{680, 598}"
467,12.5,7,56,"{677, 103, 200, 167, 595, 20, 661, 26}"
472,33.33333333333333,2,6,"{180, 430, 670}"
474,50.0,1,2,"{667, 655}"
486,50.0,1,2,"{649, 636}"
514,50.0,1,2,"{584, 612}"
516,50.0,1,2,"{40, 610}"
532,50.0,1,2,"{580, 591}"
539,25.0,5,20,"{581, 518, 521, 565, 567}"
555,50.0,1,2,"{550, 558}"
557,7.142857142857142,13,182,"{294, 295, 230, 555, 204, 236, 239, 112, 315, 148, 244, 22, 86, 411}"
578,20.0,4,20,"{335, 528, 113, 87, 345}"
603,33.33333333333333,2,6,"{329, 497, 478}"
615,33.33333333333333,2,6,"{321, 465, 477}"
625,50.0,1,2,"{464, 457}"
630,33.33333333333333,2,6,"{440, 442, 455}"
631,50.0,1,2,"{441, 454}"
636,33.33333333333333,2,6,"{448, 302, 168}"
647,50.0,1,2,"{104, 433}"
656,50.0,1,2,"{58, 421}"
657,50.0,1,2,"{420, 84}"
659,50.0,1,2,"{418, 387}"
670,33.33333333333333,2,6,"{105, 21, 405}"
682,50.0,1,2,"{393, 389}"
685,14.285714285714285,6,42,"{64, 388, 6, 109, 18, 19, 31}"
711,50.0,1,2,"{353, 225}"
714,20.0,4,20,"{320, 66, 163, 311, 350}"
732,50.0,1,2,"{224, 319}"
740,50.0,1,2,"{307, 308}"
752,33.33333333333333,2,6,"{280, 281, 287}"
757,50.0,1,2,"{269, 277}"
764,50.0,1,2,"{268, 261}"
774,50.0,1,2,"{256, 36}"
777,50.0,1,2,"{130, 251}"
782,50.0,1,2,"{243, 219}"
793,33.33333333333333,2,6,"{227, 69, 54}"
802,33.33333333333333,2,6,"{56, 28, 213}"
806,50.0,1,2,"{126, 207}"
816,50.0,1,2,"{178, 190}"
822,50.0,1,2,"{181, 183}"
825,20.0,4,20,"{101, 72, 11, 176, 93}"
831,50.0,1,2,"{162, 43}"
834,50.0,1,2,"{157, 158}"
841,33.33333333333333,2,6,"{73, 65, 150}"
867,33.33333333333333,2,6,"{32, 33, 90}"
890,50.0,1,2,"{48, 47}"
899,33.33333333333333,2,6,"{8, 9, 29}"
