component,percentage,fixes_count,edge_count,component_nodes
14,0.0,0,2,"{1224, 1210, 1216}"
15,0.0,0,53,"{386, 138, 1177, 540, 1182, 1184, 801, 679, 41, 937, 1196, 813, 685, 560, 1202, 51, 443, 959, 67, 196, 1223, 587, 849, 81, 723, 724, 725, 209, 343, 727, 728, 92, 221, 992, 97, 740, 997, 998, 363, 494, 1135, 368, 1009, 370, 246, 122, 123, 252, 127}"
23,0.0,0,2,"{672, 653, 1214}"
27,0.0,0,1,"{1209, 906}"
33,0.0,0,1,"{1201, 1203}"
37,0.0,0,8,"{1096, 776, 777, 1197, 462, 1116, 1041, 825, 124}"
59,0.0,0,38,"{514, 133, 774, 135, 1032, 783, 1171, 278, 282, 289, 547, 556, 46, 431, 177, 566, 694, 187, 576, 961, 322, 460, 845, 718, 855, 613, 233, 745, 619, 495, 623, 1015, 638}"
61,0.0,0,4,"{139, 1169, 466, 147, 668}"
80,0.0,0,4,"{1148, 1149, 1150, 1087}"
93,0.0,0,2,"{985, 886, 1134}"
96,0.0,0,3,"{769, 1058, 1131, 734}"
99,0.0,0,22,"{644, 390, 272, 660, 808, 809, 298, 817, 1086, 1091, 1098, 981, 341, 348, 95, 737, 231, 1128, 618, 625, 506, 1022}"
102,0.0,0,6,"{1125, 326, 838, 968, 409, 988}"
114,0.0,0,3,"{1112, 682, 1050, 468}"
117,0.0,0,17,"{108, 161, 962, 450, 100, 193, 172, 205, 493, 175, 365, 303, 173, 174, 14, 1109, 698}"
127,0.0,0,2,"{1099, 716, 798}"
139,0.0,0,2,"{1082, 955, 171}"
144,0.0,0,1,"{754, 1077}"
154,0.0,0,1,"{1066, 1067}"
158,0.0,0,3,"{1057, 867, 972, 1062}"
160,0.0,0,1,"{1060, 862}"
182,0.0,0,1,"{1033, 1034}"
196,0.0,0,13,"{128, 1, 2, 4, 27, 10, 140, 492, 141, 143, 1017, 91, 223}"
205,0.0,0,9,"{132, 744, 330, 524, 77, 1006, 212, 501, 377, 255}"
223,0.0,0,1,"{484, 983}"
232,0.0,0,2,"{892, 44, 973}"
243,0.0,0,1,"{459, 957}"
271,0.0,0,1,"{880, 927}"
281,0.0,0,1,"{917, 719}"
282,0.0,0,6,"{71, 199, 910, 916, 55, 94, 383}"
284,0.0,0,1,"{545, 914}"
289,0.0,0,1,"{908, 245}"
296,0.0,0,2,"{491, 900, 861}"
298,0.0,0,1,"{898, 797}"
306,0.0,0,1,"{889, 691}"
307,0.0,0,1,"{888, 885}"
308,0.0,0,1,"{866, 887}"
312,0.0,0,1,"{881, 818}"
325,0.0,0,1,"{865, 852}"
342,0.0,0,4,"{3, 842, 779, 12, 830}"
370,0.0,0,1,"{349, 806}"
401,0.0,0,1,"{764, 766}"
412,0.0,0,12,"{641, 194, 325, 296, 266, 651, 76, 111, 753, 118, 318, 286}"
419,0.0,0,2,"{746, 306, 429}"
422,0.0,0,3,"{729, 564, 741, 534}"
435,0.0,0,1,"{665, 717}"
437,0.0,0,1,"{714, 710}"
443,0.0,0,2,"{488, 707, 381}"
445,0.0,0,1,"{705, 674}"
449,0.0,0,3,"{593, 586, 701, 529}"
465,0.0,0,1,"{680, 598}"
467,0.0,0,7,"{677, 103, 200, 167, 595, 20, 661, 26}"
472,0.0,0,2,"{180, 430, 670}"
474,0.0,0,1,"{667, 655}"
486,0.0,0,1,"{649, 636}"
514,0.0,0,1,"{584, 612}"
516,0.0,0,1,"{40, 610}"
532,0.0,0,1,"{580, 591}"
539,0.0,0,5,"{581, 518, 521, 565, 567}"
555,0.0,0,1,"{550, 558}"
557,0.0,0,13,"{294, 295, 230, 555, 204, 236, 239, 112, 315, 148, 244, 22, 86, 411}"
578,0.0,0,4,"{335, 528, 113, 87, 345}"
603,0.0,0,2,"{329, 497, 478}"
615,0.0,0,2,"{321, 465, 477}"
625,0.0,0,1,"{464, 457}"
630,0.0,0,2,"{440, 442, 455}"
631,0.0,0,1,"{441, 454}"
636,0.0,0,2,"{448, 302, 168}"
647,0.0,0,1,"{104, 433}"
656,0.0,0,1,"{58, 421}"
657,0.0,0,1,"{420, 84}"
659,0.0,0,1,"{418, 387}"
670,0.0,0,2,"{105, 21, 405}"
682,0.0,0,1,"{393, 389}"
685,0.0,0,6,"{64, 388, 6, 109, 18, 19, 31}"
711,0.0,0,1,"{353, 225}"
714,0.0,0,4,"{320, 66, 163, 311, 350}"
732,0.0,0,1,"{224, 319}"
740,0.0,0,1,"{307, 308}"
752,0.0,0,2,"{280, 281, 287}"
757,0.0,0,1,"{269, 277}"
764,0.0,0,1,"{268, 261}"
774,0.0,0,1,"{256, 36}"
777,0.0,0,1,"{130, 251}"
782,0.0,0,1,"{243, 219}"
793,0.0,0,2,"{227, 69, 54}"
802,0.0,0,2,"{56, 28, 213}"
806,0.0,0,1,"{126, 207}"
816,0.0,0,1,"{178, 190}"
822,0.0,0,1,"{181, 183}"
825,0.0,0,4,"{101, 72, 11, 176, 93}"
831,0.0,0,1,"{162, 43}"
834,0.0,0,1,"{157, 158}"
841,0.0,0,2,"{73, 65, 150}"
867,0.0,0,2,"{32, 33, 90}"
890,0.0,0,1,"{48, 47}"
899,0.0,0,2,"{8, 9, 29}"
