component,percentage,edge_count,max_possible,component_nodes
2,50.0,1,2,"{1489, 1492}"
11,33.33333333333333,2,6,"{1329, 1482, 1338}"
22,9.340659340659341,17,182,"{1090, 1381, 1254, 585, 139, 957, 1008, 465, 1007, 467, 1015, 858, 413, 1471}"
28,50.0,1,2,"{1465, 450}"
36,33.33333333333333,2,6,"{1457, 1453, 1454}"
37,50.0,1,2,"{1421, 1455}"
38,2.9160739687055477,41,1406,"{1, 1153, 266, 1294, 1295, 1296, 1298, 1300, 1301, 1302, 1304, 1305, 1433, 1306, 1308, 1307, 1184, 1314, 1443, 1315, 1318, 1319, 1320, 1323, 1452, 1202, 696, 1218, 969, 974, 337, 1244, 1251, 232, 889, 890, 891, 893}"
43,50.0,3,6,"{968, 1070, 1447}"
49,33.33333333333333,2,6,"{1440, 953, 611}"
50,50.0,1,2,"{1216, 1439}"
58,25.0,3,12,"{1289, 753, 1347, 1430}"
66,50.0,1,2,"{833, 1422}"
68,50.0,1,2,"{98, 1419}"
70,7.083333333333333,17,240,"{1121, 579, 772, 1091, 1415, 1417, 938, 811, 684, 713, 945, 1234, 55, 697, 954, 1405}"
78,50.0,1,2,"{1408, 1048}"
88,11.11111111111111,8,72,"{1088, 1284, 1065, 1321, 749, 1012, 1397, 1303, 1274}"
92,50.0,1,2,"{1112, 1393}"
93,16.666666666666664,5,30,"{1376, 420, 1068, 1392, 720, 538}"
94,19.047619047619047,8,42,"{1377, 1282, 865, 589, 1391, 1145, 926}"
96,33.33333333333333,2,6,"{1353, 1098, 1389}"
108,50.0,1,2,"{1291, 1374}"
114,50.0,1,2,"{1368, 1327}"
133,50.0,1,2,"{1336, 1348}"
143,50.0,1,2,"{430, 1335}"
178,50.0,1,2,"{1272, 233}"
188,33.33333333333333,2,6,"{826, 675, 1262}"
199,14.285714285714285,6,42,"{1249, 133, 46, 594, 441, 1085, 25}"
206,50.0,1,2,"{1241, 566}"
216,50.0,1,2,"{1076, 1230}"
254,25.0,3,12,"{1181, 699, 1189, 1134}"
258,50.0,1,2,"{1185, 1109}"
260,50.0,1,2,"{517, 1182}"
268,50.0,1,2,"{1168, 1173}"
287,33.33333333333333,2,6,"{1152, 964, 1095}"
297,12.5,9,72,"{202, 747, 845, 110, 113, 723, 724, 1141, 727}"
315,50.0,1,2,"{1122, 1115}"
316,33.33333333333333,2,6,"{1120, 792, 930}"
326,50.0,1,2,"{1107, 374}"
330,33.33333333333333,2,6,"{1051, 1037, 1103}"
331,33.33333333333333,2,6,"{528, 726, 1102}"
336,33.33333333333333,2,6,"{1096, 128, 685}"
339,50.0,1,2,"{1016, 1092}"
362,50.0,1,2,"{819, 1061}"
368,33.33333333333333,4,12,"{658, 1047, 1045, 1055}"
373,9.090909090909092,10,110,"{97, 100, 870, 43, 812, 115, 54, 87, 120, 1049, 90}"
380,33.33333333333333,2,6,"{860, 846, 1039}"
382,33.33333333333333,2,6,"{1035, 1036, 1023}"
402,50.0,1,2,"{1011, 581}"
403,25.0,5,20,"{779, 944, 1010, 892, 990}"
418,50.0,1,2,"{993, 871}"
424,16.666666666666664,5,30,"{488, 425, 499, 504, 505, 986}"
425,50.0,1,2,"{985, 84}"
428,50.0,1,2,"{867, 982}"
434,50.0,1,2,"{976, 844}"
441,50.0,1,2,"{962, 966}"
449,50.0,1,2,"{955, 52}"
453,50.0,1,2,"{387, 949}"
454,33.33333333333333,2,6,"{489, 947, 948}"
467,50.0,1,2,"{931, 230}"
469,23.333333333333332,7,30,"{928, 809, 719, 925, 734, 735}"
471,50.0,1,2,"{896, 924}"
490,50.0,1,2,"{905, 804}"
494,50.0,1,2,"{898, 901}"
512,50.0,1,2,"{777, 876}"
516,50.0,1,2,"{872, 728}"
528,50.0,1,2,"{854, 526}"
531,12.222222222222221,11,90,"{682, 42, 620, 493, 44, 785, 851, 661, 406, 665}"
534,50.0,1,2,"{848, 839}"
537,50.0,1,2,"{840, 842}"
541,50.0,1,2,"{836, 190}"
542,20.0,4,20,"{835, 791, 796, 798, 799}"
551,50.0,1,2,"{824, 815}"
556,50.0,1,2,"{818, 771}"
562,33.33333333333333,2,6,"{808, 299, 748}"
563,50.0,1,2,"{794, 807}"
581,50.0,1,2,"{193, 781}"
583,50.0,1,2,"{778, 767}"
591,33.33333333333333,2,6,"{764, 766, 751}"
594,50.0,1,2,"{762, 356}"
612,50.0,1,2,"{739, 591}"
622,50.0,1,2,"{584, 722}"
625,50.0,1,2,"{716, 717}"
636,50.0,1,2,"{704, 687}"
661,50.0,1,2,"{558, 671}"
664,14.285714285714285,6,42,"{610, 643, 613, 650, 654, 632, 668}"
677,33.33333333333333,2,6,"{608, 651, 638}"
680,50.0,1,2,"{601, 647}"
683,25.0,5,20,"{644, 518, 587, 563, 537}"
686,50.0,1,2,"{640, 625}"
738,50.0,1,2,"{571, 535}"
746,50.0,1,2,"{560, 561}"
768,50.0,1,2,"{533, 534}"
771,50.0,1,2,"{529, 530}"
773,50.0,1,2,"{525, 519}"
776,50.0,1,2,"{522, 516}"
778,50.0,1,2,"{520, 393}"
795,50.0,1,2,"{496, 491}"
805,50.0,1,2,"{481, 482}"
810,50.0,1,2,"{240, 476}"
825,16.666666666666664,7,42,"{459, 203, 109, 78, 116, 376, 317}"
828,33.33333333333333,2,6,"{456, 436, 375}"
833,33.33333333333333,4,12,"{350, 451, 419, 414}"
835,50.0,1,2,"{448, 437}"
837,50.0,1,2,"{424, 446}"
847,33.33333333333333,2,6,"{433, 429, 421}"
857,50.0,1,2,"{416, 384}"
861,33.33333333333333,2,6,"{410, 187, 189}"
871,25.0,3,12,"{224, 291, 204, 399}"
889,33.33333333333333,2,6,"{361, 378, 367}"
903,50.0,1,2,"{330, 359}"
914,33.33333333333333,2,6,"{345, 346, 154}"
918,50.0,1,2,"{331, 341}"
