component,percentage,edge_count,max_possible,component_nodes
0,23.333333333333332,7,30,"{6250, 6154, 6096, 6227, 6171, 6172}"
4,50.0,1,2,"{6211, 6244}"
5,8.333333333333332,11,132,"{6243, 6183, 2025, 3690, 2060, 1870, 4078, 1874, 5076, 1976, 2874, 3931}"
11,8.333333333333332,11,132,"{5856, 3009, 2594, 5789, 3014, 2602, 2991, 3154, 5818, 2842, 6237, 2911}"
12,50.0,1,2,"{6236, 6101}"
19,50.0,1,2,"{6209, 6228}"
22,50.0,1,2,"{6224, 6221}"
27,50.0,1,2,"{6218, 6194}"
29,50.0,1,2,"{6216, 6201}"
32,33.33333333333333,2,6,"{6200, 6212, 6213}"
34,16.666666666666664,5,30,"{6208, 6190, 6202, 6205, 6206, 6207}"
38,20.0,4,20,"{5763, 5381, 6192, 6198, 5663}"
47,50.0,1,2,"{6185, 5327}"
48,50.0,1,2,"{6184, 6169}"
50,50.0,1,2,"{5659, 6181}"
52,50.0,1,2,"{6177, 6179}"
54,50.0,1,2,"{6176, 6081}"
58,50.0,1,2,"{6170, 6155}"
62,33.33333333333333,2,6,"{6082, 6164, 4807}"
79,50.0,1,2,"{6134, 6143}"
95,33.33333333333333,2,6,"{5996, 5997, 6126}"
96,50.0,1,2,"{6121, 6125}"
100,50.0,1,2,"{6120, 6119}"
101,50.0,1,2,"{6093, 6118}"
102,33.33333333333333,2,6,"{5512, 6117, 5807}"
106,50.0,1,2,"{6113, 6107}"
107,33.33333333333333,2,6,"{6112, 5994, 5995}"
111,3.793103448275862,33,870,"{1536, 5121, 4484, 1413, 1414, 2823, 6030, 2193, 1943, 1825, 545, 1698, 5025, 2863, 2097, 1464, 2104, 1978, 2105, 2112, 2767, 5971, 724, 597, 6108, 1120, 109, 111, 5493, 2038}"
112,50.0,1,2,"{6105, 6106}"
114,50.0,1,2,"{6083, 6103}"
120,1.4152363745859682,94,6642,"{3077, 3086, 3601, 2581, 2071, 3608, 2075, 3108, 4135, 3116, 2607, 2608, 3632, 3635, 1093, 3144, 3069, 2150, 2662, 3177, 2671, 629, 3206, 2697, 2701, 2215, 2728, 5293, 5295, 3766, 2744, 2752, 2753, 3792, 2263, 3296, 4839, 4337, 2802, 3319, 3320, 2809, 3325, 1790, 2834, 1813, 810, 2872, 832, 3393, 4419, 4426, 842, 4946, 851, 861, 3430, 2924, 6004, 2421, 902, 3463, 5010, 917, 4014, 1970, 1971, 6069, 5045, 4022, 6075, 4037, 5575, 5070, 6095, 3034, 3557, 3046, 2544, 1009, 2044, 2045}"
122,33.33333333333333,2,6,"{5144, 6092, 6079}"
124,11.11111111111111,10,90,"{5989, 5990, 5382, 6024, 6090, 5291, 4238, 5360, 2551, 6010}"
125,50.0,3,6,"{6080, 6089, 6085}"
126,50.0,1,2,"{4186, 6087}"
127,25.0,3,12,"{2972, 2948, 3613, 6086}"
128,10.0,11,110,"{6084, 4617, 1963, 2189, 2385, 5170, 1329, 4596, 1428, 2294, 1433}"
131,50.0,1,2,"{6076, 5716}"
132,3.1707317073170733,52,1640,"{1, 2, 3, 4, 5, 6, 7, 1544, 8, 9, 10, 138, 1805, 1549, 15, 5003, 6034, 132, 2330, 2206, 4897, 1450, 2352, 6074, 4668, 61, 1865, 3021, 80, 1875, 1621, 1878, 4695, 1880, 3803, 5852, 1759, 1760, 1763, 4326, 1767}"
135,50.0,1,2,"{6063, 6071}"
139,33.33333333333333,2,6,"{6066, 6027, 6031}"
140,50.0,1,2,"{6065, 2414}"
141,33.33333333333333,2,6,"{6064, 5939, 5819}"
143,20.0,4,20,"{6061, 5683, 6035, 5339, 3999}"
144,33.33333333333333,2,6,"{6060, 6045, 6046}"
152,50.0,1,2,"{6049, 6052}"
155,50.0,1,2,"{6048, 5383}"
159,50.0,1,2,"{6042, 4613}"
160,50.0,1,2,"{6041, 6039}"
163,33.33333333333333,2,6,"{5857, 6036, 5862}"
167,7.142857142857142,15,210,"{6017, 5986, 6026, 5975, 6002, 6005, 5973, 6007, 5976, 5977, 5978, 5980, 5981, 5982, 5983}"
169,50.0,1,2,"{6003, 6023}"
174,19.047619047619047,8,42,"{6018, 5961, 5964, 5965, 5945, 5946, 5949}"
176,25.0,5,20,"{5653, 6011, 5725, 6014, 6015}"
183,4.891304347826087,27,552,"{2824, 2825, 2440, 5517, 1806, 4750, 1422, 5397, 2459, 2719, 1336, 2751, 2498, 5574, 3274, 3281, 2645, 2520, 2393, 2279, 2408, 5998, 6000, 2295}"
184,50.0,1,2,"{5993, 5999}"
186,50.0,1,2,"{5987, 5988}"
188,9.090909090909092,10,110,"{5984, 5604, 5380, 5639, 5933, 5488, 5877, 5590, 5561, 1308, 5567}"
189,50.0,1,2,"{3592, 5979}"
192,50.0,1,2,"{5968, 5970}"
193,50.0,1,2,"{5960, 5969}"
205,33.33333333333333,2,6,"{3292, 5931, 5948}"
208,50.0,1,2,"{5934, 5943}"
209,50.0,1,2,"{5938, 5942}"
215,33.33333333333333,2,6,"{5932, 5886, 5919}"
216,50.0,1,2,"{5913, 5930}"
217,50.0,1,2,"{5929, 5915}"
218,16.666666666666664,12,72,"{2689, 5699, 2087, 5928, 2961, 3158, 3126, 2619, 3230}"
220,50.0,1,2,"{5923, 5926}"
224,50.0,1,2,"{5921, 5850}"
226,50.0,1,2,"{3686, 5918}"
229,25.0,5,20,"{5670, 5708, 5680, 5875, 5914}"
230,50.0,1,2,"{5912, 5904}"
232,25.0,3,12,"{5897, 5905, 5910, 5839}"
233,33.33333333333333,2,6,"{5882, 5884, 5909}"
234,50.0,1,2,"{5899, 5907}"
235,50.0,1,2,"{5888, 5906}"
242,50.0,1,2,"{5892, 5893}"
243,50.0,3,6,"{5657, 5891, 5582}"
245,25.0,3,12,"{5872, 5889, 5718, 5871}"
250,50.0,1,2,"{5878, 5879}"
253,20.0,4,20,"{5840, 5873, 5841, 5845, 5656}"
254,25.0,3,12,"{5865, 5869, 5870, 5863}"
258,50.0,1,2,"{5861, 5711}"
260,50.0,1,2,"{5849, 5859}"
264,50.0,1,2,"{5851, 5853}"
270,25.0,3,12,"{5842, 5676, 5703, 5791}"
272,25.0,3,12,"{5816, 5817, 5837, 5798}"
273,50.0,1,2,"{5836, 3622}"
