component,percentage,fixes_count,edge_count,component_nodes
0,0.0,0,7,"{6250, 6154, 6096, 6227, 6171, 6172}"
4,100.0,1,1,"{6211, 6244}"
5,18.181818181818183,2,11,"{6243, 6183, 2025, 3690, 2060, 1870, 4078, 1874, 5076, 1976, 2874, 3931}"
11,9.090909090909092,1,11,"{5856, 3009, 2594, 5789, 3014, 2602, 2991, 3154, 5818, 2842, 6237, 2911}"
12,100.0,1,1,"{6236, 6101}"
19,100.0,1,1,"{6209, 6228}"
22,0.0,0,1,"{6224, 6221}"
27,100.0,1,1,"{6218, 6194}"
29,0.0,0,1,"{6216, 6201}"
32,50.0,1,2,"{6200, 6212, 6213}"
34,40.0,2,5,"{6208, 6190, 6202, 6205, 6206, 6207}"
38,0.0,0,4,"{5763, 5381, 6192, 6198, 5663}"
47,100.0,1,1,"{6185, 5327}"
48,100.0,1,1,"{6184, 6169}"
50,0.0,0,1,"{5659, 6181}"
52,100.0,1,1,"{6177, 6179}"
54,100.0,1,1,"{6176, 6081}"
58,0.0,0,1,"{6170, 6155}"
62,50.0,1,2,"{6082, 6164, 4807}"
79,0.0,0,1,"{6134, 6143}"
95,50.0,1,2,"{5996, 5997, 6126}"
96,100.0,1,1,"{6121, 6125}"
100,100.0,1,1,"{6120, 6119}"
101,0.0,0,1,"{6093, 6118}"
102,50.0,1,2,"{5512, 6117, 5807}"
106,100.0,1,1,"{6113, 6107}"
107,50.0,1,2,"{6112, 5994, 5995}"
111,9.090909090909092,3,33,"{1536, 5121, 4484, 1413, 1414, 2823, 6030, 2193, 1943, 1825, 545, 1698, 5025, 2863, 2097, 1464, 2104, 1978, 2105, 2112, 2767, 5971, 724, 597, 6108, 1120, 109, 111, 5493, 2038}"
112,0.0,0,1,"{6105, 6106}"
114,100.0,1,1,"{6083, 6103}"
120,7.446808510638298,7,94,"{3077, 3086, 3601, 2581, 2071, 3608, 2075, 3108, 4135, 3116, 2607, 2608, 3632, 3635, 1093, 3144, 3069, 2150, 2662, 3177, 2671, 629, 3206, 2697, 2701, 2215, 2728, 5293, 5295, 3766, 2744, 2752, 2753, 3792, 2263, 3296, 4839, 4337, 2802, 3319, 3320, 2809, 3325, 1790, 2834, 1813, 810, 2872, 832, 3393, 4419, 4426, 842, 4946, 851, 861, 3430, 2924, 6004, 2421, 902, 3463, 5010, 917, 4014, 1970, 1971, 6069, 5045, 4022, 6075, 4037, 5575, 5070, 6095, 3034, 3557, 3046, 2544, 1009, 2044, 2045}"
122,0.0,0,2,"{5144, 6092, 6079}"
124,20.0,2,10,"{5989, 5990, 5382, 6024, 6090, 5291, 4238, 5360, 2551, 6010}"
125,33.33333333333333,1,3,"{6080, 6089, 6085}"
126,0.0,0,1,"{4186, 6087}"
127,0.0,0,3,"{2972, 2948, 3613, 6086}"
128,0.0,0,11,"{6084, 4617, 1963, 2189, 2385, 5170, 1329, 4596, 1428, 2294, 1433}"
131,0.0,0,1,"{6076, 5716}"
132,3.8461538461538463,2,52,"{1, 2, 3, 4, 5, 6, 7, 1544, 8, 9, 10, 138, 1805, 1549, 15, 5003, 6034, 132, 2330, 2206, 4897, 1450, 2352, 6074, 4668, 61, 1865, 3021, 80, 1875, 1621, 1878, 4695, 1880, 3803, 5852, 1759, 1760, 1763, 4326, 1767}"
135,0.0,0,1,"{6063, 6071}"
139,50.0,1,2,"{6066, 6027, 6031}"
140,100.0,1,1,"{6065, 2414}"
141,0.0,0,2,"{6064, 5939, 5819}"
143,0.0,0,4,"{6061, 5683, 6035, 5339, 3999}"
144,50.0,1,2,"{6060, 6045, 6046}"
152,100.0,1,1,"{6049, 6052}"
155,100.0,1,1,"{6048, 5383}"
159,0.0,0,1,"{6042, 4613}"
160,100.0,1,1,"{6041, 6039}"
163,50.0,1,2,"{5857, 6036, 5862}"
167,26.666666666666668,4,15,"{6017, 5986, 6026, 5975, 6002, 6005, 5973, 6007, 5976, 5977, 5978, 5980, 5981, 5982, 5983}"
169,100.0,1,1,"{6003, 6023}"
174,12.5,1,8,"{6018, 5961, 5964, 5965, 5945, 5946, 5949}"
176,60.0,3,5,"{5653, 6011, 5725, 6014, 6015}"
183,22.22222222222222,6,27,"{2824, 2825, 2440, 5517, 1806, 4750, 1422, 5397, 2459, 2719, 1336, 2751, 2498, 5574, 3274, 3281, 2645, 2520, 2393, 2279, 2408, 5998, 6000, 2295}"
184,100.0,1,1,"{5993, 5999}"
186,100.0,1,1,"{5987, 5988}"
188,20.0,2,10,"{5984, 5604, 5380, 5639, 5933, 5488, 5877, 5590, 5561, 1308, 5567}"
189,0.0,0,1,"{3592, 5979}"
192,0.0,0,1,"{5968, 5970}"
193,100.0,1,1,"{5960, 5969}"
205,50.0,1,2,"{3292, 5931, 5948}"
208,100.0,1,1,"{5934, 5943}"
209,0.0,0,1,"{5938, 5942}"
215,0.0,0,2,"{5932, 5886, 5919}"
216,100.0,1,1,"{5913, 5930}"
217,100.0,1,1,"{5929, 5915}"
218,25.0,3,12,"{2689, 5699, 2087, 5928, 2961, 3158, 3126, 2619, 3230}"
220,100.0,1,1,"{5923, 5926}"
224,100.0,1,1,"{5921, 5850}"
226,0.0,0,1,"{3686, 5918}"
