component,percentage,edge_count,max_possible,component_nodes
2,33.33333333333333,2,6,"{57, 348, 55}"
6,33.33333333333333,2,6,"{344, 341, 342}"
9,14.285714285714285,8,56,"{10, 266, 332, 333, 336, 338, 339, 221}"
12,50.0,1,2,"{331, 334}"
13,25.0,3,12,"{321, 330, 324, 326}"
15,50.0,1,2,"{328, 327}"
22,33.33333333333333,2,6,"{131, 300, 317}"
38,50.0,1,2,"{296, 301}"
43,50.0,1,2,"{293, 294}"
46,50.0,1,2,"{290, 283}"
52,50.0,1,2,"{284, 222}"
63,33.33333333333333,2,6,"{272, 268, 22}"
74,50.0,1,2,"{258, 259}"
75,14.285714285714285,6,42,"{257, 246, 247, 248, 249, 252, 253}"
88,10.989010989010989,20,182,"{160, 162, 226, 163, 227, 230, 233, 139, 140, 141, 238, 206, 214, 223}"
91,11.11111111111111,8,72,"{159, 235, 155, 110, 48, 51, 119, 91, 95}"
103,50.0,1,2,"{216, 203}"
104,3.8461538461538463,57,1482,"{146, 25, 27, 28, 164, 165, 166, 39, 167, 172, 177, 52, 53, 54, 185, 61, 62, 63, 64, 68, 72, 75, 80, 82, 83, 84, 215, 92, 96, 102, 103, 109, 112, 113, 114, 118, 121, 122, 123}"
113,50.0,1,2,"{204, 197}"
117,50.0,1,2,"{198, 199}"
118,50.0,1,2,"{169, 196}"
122,25.0,3,12,"{192, 115, 116, 150}"
127,50.0,1,2,"{186, 187}"
145,10.0,11,110,"{128, 129, 130, 134, 136, 137, 106, 152, 153, 156, 125}"
146,33.33333333333333,2,6,"{154, 142, 151}"
154,50.0,1,2,"{133, 135}"
162,50.0,1,2,"{108, 6}"
167,50.0,1,2,"{99, 100}"
169,50.0,1,2,"{97, 71}"
174,50.0,1,2,"{88, 45}"
181,33.33333333333333,2,6,"{76, 77, 38}"
184,33.33333333333333,2,6,"{59, 44, 70}"
194,50.0,1,2,"{42, 47}"
198,50.0,1,2,"{40, 33}"
200,50.0,1,2,"{34, 36}"
201,50.0,1,2,"{32, 35}"
213,50.0,1,2,"{16, 5}"
215,50.0,1,2,"{13, 14}"
216,50.0,1,2,"{2, 12}"
