component,percentage,fixes_count,edge_count,component_nodes
2,50.0,1,2,"{57, 348, 55}"
6,0.0,0,2,"{344, 341, 342}"
9,0.0,0,8,"{10, 266, 332, 333, 336, 338, 339, 221}"
12,100.0,1,1,"{331, 334}"
13,0.0,0,3,"{321, 330, 324, 326}"
15,0.0,0,1,"{328, 327}"
22,50.0,1,2,"{131, 300, 317}"
38,0.0,0,1,"{296, 301}"
43,100.0,1,1,"{293, 294}"
46,100.0,1,1,"{290, 283}"
52,0.0,0,1,"{284, 222}"
63,0.0,0,2,"{272, 268, 22}"
74,0.0,0,1,"{258, 259}"
75,0.0,0,6,"{257, 246, 247, 248, 249, 252, 253}"
88,10.0,2,20,"{160, 162, 226, 163, 227, 230, 233, 139, 140, 141, 238, 206, 214, 223}"
91,12.5,1,8,"{159, 235, 155, 110, 48, 51, 119, 91, 95}"
103,0.0,0,1,"{216, 203}"
104,21.052631578947366,12,57,"{146, 25, 27, 28, 164, 165, 166, 39, 167, 172, 177, 52, 53, 54, 185, 61, 62, 63, 64, 68, 72, 75, 80, 82, 83, 84, 215, 92, 96, 102, 103, 109, 112, 113, 114, 118, 121, 122, 123}"
113,0.0,0,1,"{204, 197}"
117,0.0,0,1,"{198, 199}"
118,100.0,1,1,"{169, 196}"
122,0.0,0,3,"{192, 115, 116, 150}"
127,0.0,0,1,"{186, 187}"
145,27.27272727272727,3,11,"{128, 129, 130, 134, 136, 137, 106, 152, 153, 156, 125}"
146,0.0,0,2,"{154, 142, 151}"
154,100.0,1,1,"{133, 135}"
162,0.0,0,1,"{108, 6}"
167,0.0,0,1,"{99, 100}"
169,0.0,0,1,"{97, 71}"
174,100.0,1,1,"{88, 45}"
181,0.0,0,2,"{76, 77, 38}"
184,0.0,0,2,"{59, 44, 70}"
194,100.0,1,1,"{42, 47}"
198,0.0,0,1,"{40, 33}"
200,0.0,0,1,"{34, 36}"
201,100.0,1,1,"{32, 35}"
213,100.0,1,1,"{16, 5}"
215,100.0,1,1,"{13, 14}"
216,100.0,1,1,"{2, 12}"
