component,percentage,edge_count,max_possible,component_nodes
5,20.0,4,20,"{930, 962, 936, 877, 815}"
6,12.5,7,56,"{961, 2, 1, 866, 173, 687, 692, 186}"
13,50.0,1,2,"{954, 935}"
14,50.0,1,2,"{953, 938}"
31,50.0,1,2,"{913, 933}"
34,25.0,3,12,"{929, 682, 738, 772}"
48,16.666666666666664,5,30,"{775, 753, 915, 534, 542, 415}"
62,33.33333333333333,2,6,"{897, 140, 445}"
65,50.0,1,2,"{814, 894}"
69,50.0,1,2,"{889, 890}"
71,33.33333333333333,2,6,"{884, 886, 887}"
91,50.0,1,2,"{787, 863}"
94,50.0,1,2,"{859, 860}"
97,50.0,1,2,"{856, 834}"
104,50.0,1,2,"{849, 670}"
111,25.0,3,12,"{632, 760, 842, 771}"
117,50.0,1,2,"{721, 836}"
132,50.0,1,2,"{819, 820}"
137,33.33333333333333,2,6,"{468, 812, 703}"
150,50.0,1,2,"{618, 799}"
163,50.0,1,2,"{785, 751}"
180,25.0,5,20,"{642, 693, 505, 765, 607}"
208,50.0,1,2,"{733, 727}"
231,50.0,1,2,"{708, 271}"
236,50.0,1,2,"{690, 702}"
244,50.0,1,2,"{689, 694}"
277,50.0,1,2,"{120, 654}"
302,33.33333333333333,2,6,"{619, 595, 627}"
313,50.0,1,2,"{206, 614}"
318,33.33333333333333,4,12,"{608, 609, 365, 550}"
331,50.0,1,2,"{593, 3}"
342,33.33333333333333,2,6,"{333, 582, 39}"
370,50.0,1,2,"{553, 554}"
371,50.0,1,2,"{552, 497}"
374,50.0,1,2,"{474, 548}"
397,50.0,1,2,"{523, 511}"
428,33.33333333333333,2,6,"{489, 410, 437}"
450,50.0,1,2,"{465, 434}"
460,50.0,1,2,"{351, 455}"
470,50.0,1,2,"{440, 444}"
482,33.33333333333333,2,6,"{416, 429, 95}"
490,33.33333333333333,2,6,"{421, 118, 119}"
507,50.0,1,2,"{401, 398}"
532,25.0,3,12,"{284, 157, 94, 375}"
566,50.0,1,2,"{339, 324}"
581,50.0,1,2,"{322, 195}"
593,50.0,1,2,"{218, 309}"
598,33.33333333333333,2,6,"{304, 273, 265}"
604,50.0,1,2,"{161, 298}"
625,50.0,1,2,"{275, 276}"
633,50.0,1,2,"{264, 241}"
646,20.0,4,20,"{230, 232, 109, 249, 251}"
652,50.0,1,2,"{244, 229}"
684,50.0,1,2,"{188, 207}"
690,50.0,1,2,"{200, 199}"
694,33.33333333333333,2,6,"{194, 5, 114}"
695,33.33333333333333,2,6,"{193, 166, 127}"
700,50.0,1,2,"{185, 187}"
718,50.0,1,2,"{164, 165}"
728,50.0,1,2,"{152, 151}"
754,50.0,1,2,"{122, 123}"
768,50.0,1,2,"{102, 103}"
769,50.0,1,2,"{93, 101}"
780,50.0,1,2,"{56, 87}"
789,33.33333333333333,2,6,"{50, 61, 78}"
792,33.33333333333333,4,12,"{75, 68, 69, 71}"
810,33.33333333333333,2,6,"{52, 46, 47}"
842,50.0,1,2,"{16, 15}"
