component,percentage,edge_count,max_possible,component_nodes
25,50.0,1,2,"{1154, 1150}"
44,23.809523809523807,10,42,"{1090, 1092, 1095, 1101, 1134, 1103, 1085}"
82,50.0,1,2,"{1060, 1093}"
89,33.33333333333333,2,6,"{1067, 1083, 1071}"
102,16.666666666666664,7,42,"{1035, 1069, 1038, 1039, 1042, 1012, 1050}"
106,25.0,3,12,"{1064, 1040, 979, 1052}"
143,50.0,1,2,"{1018, 1019}"
150,50.0,1,2,"{536, 1010}"
153,33.33333333333333,2,6,"{888, 1004, 1007}"
158,50.0,1,2,"{1000, 1001}"
161,50.0,1,2,"{996, 997}"
175,14.285714285714285,6,42,"{839, 808, 684, 881, 982, 797, 895}"
182,33.33333333333333,2,6,"{960, 971, 974}"
190,50.0,1,2,"{666, 965}"
205,6.25,17,272,"{609, 321, 385, 521, 813, 366, 211, 628, 949, 534, 215, 185, 187, 667, 381, 638, 445}"
208,14.285714285714285,8,56,"{928, 932, 936, 937, 939, 908, 910, 946}"
228,20.0,4,20,"{845, 756, 758, 856, 921}"
230,50.0,1,2,"{918, 919}"
251,33.33333333333333,2,6,"{832, 824, 893}"
259,50.0,1,2,"{868, 884}"
275,33.33333333333333,2,6,"{866, 724, 814}"
278,20.0,4,20,"{451, 292, 362, 443, 863}"
354,50.0,1,2,"{682, 778}"
356,16.666666666666664,7,42,"{769, 770, 776, 750, 753, 762, 764}"
367,50.0,1,2,"{761, 661}"
413,20.0,4,20,"{706, 710, 691, 692, 703}"
417,33.33333333333333,2,6,"{705, 418, 604}"
431,50.0,1,2,"{688, 687}"
438,50.0,1,2,"{672, 678}"
448,50.0,1,2,"{665, 634}"
471,50.0,1,2,"{641, 535}"
474,50.0,1,2,"{629, 637}"
478,50.0,1,2,"{632, 612}"
483,16.666666666666664,5,30,"{576, 608, 554, 523, 625, 541}"
486,25.0,3,12,"{571, 533, 622, 527}"
508,16.666666666666664,5,30,"{545, 552, 586, 587, 596, 570}"
513,20.0,6,30,"{194, 142, 591, 307, 148, 310}"
518,33.33333333333333,2,6,"{584, 361, 581}"
534,25.0,3,12,"{561, 483, 564, 510}"
537,33.33333333333333,2,6,"{560, 553, 559}"
546,33.33333333333333,2,6,"{458, 547, 470}"
554,50.0,1,2,"{537, 413}"
563,26.666666666666668,8,30,"{128, 129, 135, 137, 522, 126}"
565,26.666666666666668,8,30,"{515, 519, 490, 179, 472, 474}"
597,50.0,3,6,"{481, 484, 478}"
600,33.33333333333333,2,6,"{456, 457, 479}"
644,33.33333333333333,4,12,"{425, 396, 397, 398}"
646,50.0,1,2,"{155, 423}"
652,50.0,1,2,"{416, 384}"
655,25.0,3,12,"{408, 394, 395, 412}"
661,16.666666666666664,5,30,"{195, 240, 401, 402, 405, 183}"
674,50.0,1,2,"{377, 383}"
676,50.0,1,2,"{380, 375}"
678,50.0,1,2,"{378, 365}"
690,14.285714285714285,6,42,"{261, 360, 265, 119, 248, 188, 95}"
695,50.0,1,2,"{353, 355}"
701,12.5,7,56,"{193, 196, 337, 273, 278, 249, 314, 348}"
705,50.0,1,2,"{344, 341}"
708,33.33333333333333,2,6,"{340, 317, 335}"
712,50.0,1,2,"{323, 334}"
716,33.33333333333333,2,6,"{330, 299, 301}"
722,50.0,1,2,"{324, 182}"
730,33.33333333333333,2,6,"{312, 298, 311}"
736,14.285714285714285,8,56,"{1, 2, 3, 131, 70, 232, 270, 303}"
738,50.0,1,2,"{300, 254}"
752,33.33333333333333,2,6,"{178, 283, 175}"
756,50.0,1,2,"{274, 279}"
757,50.0,1,2,"{276, 277}"
758,50.0,1,2,"{275, 243}"
767,50.0,1,2,"{253, 262}"
769,50.0,1,2,"{259, 206}"
781,50.0,3,6,"{136, 242, 221}"
782,50.0,1,2,"{224, 241}"
790,50.0,1,2,"{213, 231}"
802,33.33333333333333,2,6,"{208, 217, 125}"
807,33.33333333333333,2,6,"{209, 107, 205}"
813,50.0,1,2,"{200, 186}"
822,50.0,1,2,"{180, 181}"
825,25.0,3,12,"{168, 122, 173, 174}"
826,20.0,4,20,"{169, 170, 171, 172, 158}"
827,50.0,1,2,"{150, 167}"
837,25.0,3,12,"{120, 130, 156, 77}"
839,50.0,1,2,"{153, 151}"
858,50.0,1,2,"{114, 118}"
862,33.33333333333333,2,6,"{113, 99, 108}"
867,33.33333333333333,2,6,"{106, 35, 100}"
868,33.33333333333333,4,12,"{81, 105, 4, 103}"
872,33.33333333333333,2,6,"{72, 98, 61}"
877,50.0,1,2,"{74, 92}"
879,50.0,1,2,"{89, 90}"
886,50.0,1,2,"{82, 79}"
892,50.0,1,2,"{50, 71}"
898,50.0,1,2,"{64, 53}"
900,50.0,3,6,"{24, 58, 62}"
901,50.0,1,2,"{59, 60}"
903,50.0,1,2,"{56, 51}"
916,25.0,3,12,"{40, 29, 38, 22}"
931,50.0,1,2,"{16, 20}"
