component,percentage,fixes_count,edge_count,component_nodes
25,0.0,0,1,"{1154, 1150}"
44,0.0,0,10,"{1090, 1092, 1095, 1101, 1134, 1103, 1085}"
82,100.0,1,1,"{1060, 1093}"
89,0.0,0,2,"{1067, 1083, 1071}"
102,14.285714285714285,1,7,"{1035, 1069, 1038, 1039, 1042, 1012, 1050}"
106,33.33333333333333,1,3,"{1064, 1040, 979, 1052}"
143,0.0,0,1,"{1018, 1019}"
150,0.0,0,1,"{536, 1010}"
153,0.0,0,2,"{888, 1004, 1007}"
158,0.0,0,1,"{1000, 1001}"
161,0.0,0,1,"{996, 997}"
175,0.0,0,6,"{839, 808, 684, 881, 982, 797, 895}"
182,50.0,1,2,"{960, 971, 974}"
190,0.0,0,1,"{666, 965}"
205,0.0,0,17,"{609, 321, 385, 521, 813, 366, 211, 628, 949, 534, 215, 185, 187, 667, 381, 638, 445}"
208,0.0,0,8,"{928, 932, 936, 937, 939, 908, 910, 946}"
228,25.0,1,4,"{845, 756, 758, 856, 921}"
230,0.0,0,1,"{918, 919}"
251,0.0,0,2,"{832, 824, 893}"
259,0.0,0,1,"{868, 884}"
275,0.0,0,2,"{866, 724, 814}"
278,0.0,0,4,"{451, 292, 362, 443, 863}"
354,0.0,0,1,"{682, 778}"
356,0.0,0,7,"{769, 770, 776, 750, 753, 762, 764}"
367,0.0,0,1,"{761, 661}"
413,25.0,1,4,"{706, 710, 691, 692, 703}"
417,0.0,0,2,"{705, 418, 604}"
431,0.0,0,1,"{688, 687}"
438,100.0,1,1,"{672, 678}"
448,0.0,0,1,"{665, 634}"
471,0.0,0,1,"{641, 535}"
474,0.0,0,1,"{629, 637}"
478,0.0,0,1,"{632, 612}"
483,40.0,2,5,"{576, 608, 554, 523, 625, 541}"
486,33.33333333333333,1,3,"{571, 533, 622, 527}"
508,0.0,0,5,"{545, 552, 586, 587, 596, 570}"
513,16.666666666666664,1,6,"{194, 142, 591, 307, 148, 310}"
518,0.0,0,2,"{584, 361, 581}"
534,0.0,0,3,"{561, 483, 564, 510}"
537,0.0,0,2,"{560, 553, 559}"
546,0.0,0,2,"{458, 547, 470}"
554,0.0,0,1,"{537, 413}"
563,12.5,1,8,"{128, 129, 135, 137, 522, 126}"
565,0.0,0,8,"{515, 519, 490, 179, 472, 474}"
597,0.0,0,3,"{481, 484, 478}"
600,50.0,1,2,"{456, 457, 479}"
644,50.0,2,4,"{425, 396, 397, 398}"
646,0.0,0,1,"{155, 423}"
652,100.0,1,1,"{416, 384}"
655,0.0,0,3,"{408, 394, 395, 412}"
661,20.0,1,5,"{195, 240, 401, 402, 405, 183}"
674,0.0,0,1,"{377, 383}"
676,100.0,1,1,"{380, 375}"
678,0.0,0,1,"{378, 365}"
690,16.666666666666664,1,6,"{261, 360, 265, 119, 248, 188, 95}"
695,0.0,0,1,"{353, 355}"
701,57.14285714285714,4,7,"{193, 196, 337, 273, 278, 249, 314, 348}"
705,0.0,0,1,"{344, 341}"
708,50.0,1,2,"{340, 317, 335}"
712,100.0,1,1,"{323, 334}"
716,0.0,0,2,"{330, 299, 301}"
722,100.0,1,1,"{324, 182}"
730,50.0,1,2,"{312, 298, 311}"
736,0.0,0,8,"{1, 2, 3, 131, 70, 232, 270, 303}"
738,0.0,0,1,"{300, 254}"
752,0.0,0,2,"{178, 283, 175}"
756,0.0,0,1,"{274, 279}"
757,100.0,1,1,"{276, 277}"
758,100.0,1,1,"{275, 243}"
767,0.0,0,1,"{253, 262}"
769,0.0,0,1,"{259, 206}"
781,33.33333333333333,1,3,"{136, 242, 221}"
782,0.0,0,1,"{224, 241}"
790,0.0,0,1,"{213, 231}"
802,50.0,1,2,"{208, 217, 125}"
807,0.0,0,2,"{209, 107, 205}"
813,0.0,0,1,"{200, 186}"
822,0.0,0,1,"{180, 181}"
825,0.0,0,3,"{168, 122, 173, 174}"
826,0.0,0,4,"{169, 170, 171, 172, 158}"
827,0.0,0,1,"{150, 167}"
837,0.0,0,3,"{120, 130, 156, 77}"
839,100.0,1,1,"{153, 151}"
858,100.0,1,1,"{114, 118}"
862,100.0,2,2,"{113, 99, 108}"
867,100.0,2,2,"{106, 35, 100}"
868,50.0,2,4,"{81, 105, 4, 103}"
872,0.0,0,2,"{72, 98, 61}"
877,100.0,1,1,"{74, 92}"
879,0.0,0,1,"{89, 90}"
886,0.0,0,1,"{82, 79}"
892,0.0,0,1,"{50, 71}"
898,0.0,0,1,"{64, 53}"
900,0.0,0,3,"{24, 58, 62}"
901,0.0,0,1,"{59, 60}"
903,0.0,0,1,"{56, 51}"
916,0.0,0,3,"{40, 29, 38, 22}"
931,0.0,0,1,"{16, 20}"
