component,percentage,edge_count,max_possible,component_nodes
3,50.0,1,2,"{416, 412}"
12,50.0,1,2,"{404, 405}"
17,50.0,1,2,"{394, 399}"
25,50.0,1,2,"{72, 390}"
26,3.9886039886039883,28,702,"{389, 137, 269, 303, 311, 183, 313, 326, 328, 332, 333, 335, 336, 343, 344, 345, 351, 352, 354, 355, 232, 361, 234, 110, 111, 366, 114}"
28,33.33333333333333,4,12,"{379, 387, 382, 383}"
31,33.33333333333333,2,6,"{384, 186, 375}"
52,25.0,3,12,"{57, 26, 356, 25}"
63,13.333333333333334,12,90,"{162, 164, 165, 167, 329, 77, 175, 338, 152, 63}"
68,23.333333333333332,7,30,"{321, 322, 323, 324, 325, 327}"
79,50.0,1,2,"{227, 308}"
96,50.0,1,2,"{265, 243}"
110,33.33333333333333,2,6,"{201, 251, 230}"
112,50.0,3,6,"{248, 249, 17}"
123,33.33333333333333,4,12,"{229, 233, 236, 221}"
127,50.0,1,2,"{226, 182}"
137,33.33333333333333,2,6,"{192, 79, 215}"
144,23.809523809523807,10,42,"{160, 203, 204, 205, 206, 208, 185}"
154,50.0,1,2,"{193, 178}"
169,50.0,1,2,"{169, 171}"
174,12.727272727272727,14,110,"{161, 106, 143, 80, 62, 153, 154, 158, 156, 157, 126}"
176,50.0,1,2,"{136, 155}"
177,50.0,1,2,"{149, 151}"
189,50.0,1,2,"{131, 135}"
190,50.0,1,2,"{61, 134}"
191,50.0,1,2,"{132, 133}"
197,33.33333333333333,2,6,"{96, 122, 124}"
213,50.0,3,6,"{73, 55, 103}"
218,50.0,1,2,"{98, 69}"
223,50.0,1,2,"{91, 92}"
235,50.0,1,2,"{76, 54}"
254,50.0,1,2,"{48, 46}"
255,50.0,1,2,"{38, 47}"
261,50.0,1,2,"{40, 36}"
264,50.0,1,2,"{35, 28}"
273,50.0,1,2,"{22, 23}"
276,20.0,4,20,"{11, 13, 14, 15, 19}"
280,19.047619047619047,8,42,"{1, 2, 3, 4, 5, 7, 10}"
