component,percentage,edge_count,max_possible,component_nodes
0,50.0,1,2,"{1106, 1107}"
9,50.0,1,2,"{1096, 1097}"
17,20.0,6,30,"{1088, 1057, 1059, 1061, 1069, 1073}"
18,33.33333333333333,4,12,"{1083, 828, 1077, 1087}"
19,8.095238095238095,17,210,"{1025, 867, 967, 956, 1038, 1041, 1074, 1075, 1076, 990, 1078, 1054, 1084, 989, 1086}"
23,4.978354978354979,23,462,"{1024, 1028, 1031, 1032, 1033, 1034, 1035, 1036, 1040, 1042, 1044, 1046, 1048, 1053, 1070, 1080, 976, 978, 979, 982, 995, 1018}"
25,50.0,1,2,"{1030, 1071}"
27,33.33333333333333,2,6,"{593, 1067, 588}"
28,50.0,1,2,"{1065, 1066}"
39,50.0,1,2,"{1049, 1045}"
41,8.791208791208792,16,182,"{256, 255, 259, 260, 679, 689, 1043, 950, 951, 888, 889, 797, 958, 831}"
47,50.0,1,2,"{935, 1023}"
48,35.0,7,20,"{929, 936, 905, 906, 1022}"
50,50.0,1,2,"{1019, 1020}"
55,6.666666666666667,14,210,"{673, 994, 802, 546, 677, 554, 12, 716, 653, 687, 817, 660, 282, 219, 478}"
62,50.0,1,2,"{984, 985}"
64,50.0,1,2,"{880, 981}"
68,50.0,1,2,"{900, 974}"
69,50.0,1,2,"{972, 973}"
74,50.0,1,2,"{965, 966}"
75,11.11111111111111,10,90,"{960, 961, 962, 963, 964, 835, 840, 948, 926, 959}"
79,16.666666666666664,5,30,"{708, 709, 773, 749, 953, 668}"
81,50.0,1,2,"{949, 550}"
85,4.3478260869565215,24,552,"{778, 524, 913, 914, 915, 917, 790, 924, 925, 928, 930, 932, 934, 937, 941, 943, 944, 703, 710, 598, 603, 347, 350, 765}"
94,50.0,1,2,"{922, 918}"
96,12.222222222222221,11,90,"{736, 741, 678, 745, 873, 728, 911, 690, 920, 698}"
108,50.0,1,2,"{898, 899}"
110,5.533596837944664,28,506,"{896, 774, 780, 781, 789, 794, 795, 798, 799, 810, 811, 812, 813, 814, 815, 816, 836, 837, 849, 850, 855, 856, 895}"
114,25.0,3,12,"{624, 379, 891, 381}"
123,50.0,1,2,"{878, 879}"
125,50.0,1,2,"{875, 876}"
135,50.0,1,2,"{11, 863}"
142,50.0,1,2,"{853, 854}"
143,50.0,1,2,"{851, 852}"
148,50.0,3,6,"{844, 445, 487}"
149,50.0,1,2,"{753, 843}"
150,14.285714285714285,6,42,"{832, 842, 752, 754, 788, 602, 733}"
154,50.0,1,2,"{833, 834}"
