component,percentage,fixes_count,edge_count,component_nodes
0,0.0,0,1,"{1106, 1107}"
9,100.0,1,1,"{1096, 1097}"
17,0.0,0,6,"{1088, 1057, 1059, 1061, 1069, 1073}"
18,0.0,0,4,"{1083, 828, 1077, 1087}"
19,17.647058823529413,3,17,"{1025, 867, 967, 956, 1038, 1041, 1074, 1075, 1076, 990, 1078, 1054, 1084, 989, 1086}"
23,0.0,0,23,"{1024, 1028, 1031, 1032, 1033, 1034, 1035, 1036, 1040, 1042, 1044, 1046, 1048, 1053, 1070, 1080, 976, 978, 979, 982, 995, 1018}"
25,0.0,0,1,"{1030, 1071}"
27,0.0,0,2,"{593, 1067, 588}"
28,100.0,1,1,"{1065, 1066}"
39,0.0,0,1,"{1049, 1045}"
41,12.5,2,16,"{256, 255, 259, 260, 679, 689, 1043, 950, 951, 888, 889, 797, 958, 831}"
47,0.0,0,1,"{935, 1023}"
48,0.0,0,7,"{929, 936, 905, 906, 1022}"
50,100.0,1,1,"{1019, 1020}"
55,0.0,0,14,"{673, 994, 802, 546, 677, 554, 12, 716, 653, 687, 817, 660, 282, 219, 478}"
62,100.0,1,1,"{984, 985}"
64,0.0,0,1,"{880, 981}"
68,0.0,0,1,"{900, 974}"
69,0.0,0,1,"{972, 973}"
74,0.0,0,1,"{965, 966}"
75,10.0,1,10,"{960, 961, 962, 963, 964, 835, 840, 948, 926, 959}"
79,20.0,1,5,"{708, 709, 773, 749, 953, 668}"
81,0.0,0,1,"{949, 550}"
85,12.5,3,24,"{778, 524, 913, 914, 915, 917, 790, 924, 925, 928, 930, 932, 934, 937, 941, 943, 944, 703, 710, 598, 603, 347, 350, 765}"
94,0.0,0,1,"{922, 918}"
96,0.0,0,11,"{736, 741, 678, 745, 873, 728, 911, 690, 920, 698}"
108,0.0,0,1,"{898, 899}"
110,0.0,0,28,"{896, 774, 780, 781, 789, 794, 795, 798, 799, 810, 811, 812, 813, 814, 815, 816, 836, 837, 849, 850, 855, 856, 895}"
114,0.0,0,3,"{624, 379, 891, 381}"
123,0.0,0,1,"{878, 879}"
125,0.0,0,1,"{875, 876}"
135,0.0,0,1,"{11, 863}"
142,0.0,0,1,"{853, 854}"
143,0.0,0,1,"{851, 852}"
148,0.0,0,3,"{844, 445, 487}"
149,0.0,0,1,"{753, 843}"
150,16.666666666666664,1,6,"{832, 842, 752, 754, 788, 602, 733}"
154,0.0,0,1,"{833, 834}"
156,0.0,0,1,"{827, 829}"
157,0.0,0,1,"{826, 75}"
162,0.0,0,1,"{796, 821}"
163,0.0,0,1,"{819, 820}"
167,0.0,0,1,"{805, 807}"
168,0.0,0,2,"{730, 806, 711}"
170,0.0,0,1,"{801, 803}"
179,0.0,0,1,"{782, 783}"
194,0.0,0,4,"{626, 755, 756, 759, 761}"
195,0.0,0,3,"{760, 610, 757, 758}"
202,50.0,1,2,"{720, 719, 743}"
210,0.0,0,1,"{731, 732}"
215,0.0,0,1,"{723, 724}"
229,0.0,0,1,"{701, 590}"
241,0.0,0,15,"{1, 2, 644, 649, 650, 652, 685, 557, 399, 496, 659, 632, 539, 667, 636}"
250,0.0,0,13,"{672, 640, 515, 549, 559, 531, 534, 599, 630, 601, 570, 571}"
261,100.0,1,1,"{656, 657}"
267,0.0,0,3,"{617, 628, 621, 646}"
281,0.0,0,1,"{625, 542}"
289,0.0,0,4,"{481, 482, 612, 453, 614}"
314,33.33333333333333,1,3,"{576, 577, 578, 579}"
320,0.0,0,7,"{490, 501, 502, 568, 507, 509}"
321,0.0,0,5,"{512, 386, 395, 396, 401, 567}"
335,100.0,1,1,"{545, 547}"
342,0.0,0,3,"{536, 305, 323}"
348,25.0,1,4,"{514, 522, 528, 437, 510}"
358,25.0,1,4,"{506, 516, 485, 486}"
362,0.0,0,2,"{505, 494, 503}"
365,0.0,0,2,"{185, 499, 183}"
366,33.33333333333333,1,3,"{456, 498, 492, 493}"
370,0.0,0,1,"{488, 489}"
371,0.0,0,2,"{483, 484, 463}"
376,0.0,0,1,"{475, 468}"
377,20.0,1,5,"{452, 346, 439, 474, 443}"
378,100.0,1,1,"{473, 450}"
379,0.0,0,3,"{472, 466, 467}"
382,0.0,0,1,"{469, 342}"
395,0.0,0,1,"{448, 441}"
397,0.0,0,1,"{416, 446}"
404,0.0,0,1,"{312, 434}"
408,0.0,0,1,"{429, 430}"
413,0.0,0,3,"{424, 329, 355, 375}"
422,0.0,0,6,"{389, 363, 364, 366, 370, 414}"
436,0.0,0,1,"{358, 398}"
438,100.0,1,1,"{393, 394}"
445,0.0,0,1,"{384, 369}"
449,0.0,0,1,"{376, 378}"
462,0.0,0,1,"{353, 357}"
471,0.0,0,1,"{331, 343}"
486,0.0,0,1,"{324, 325}"
492,0.0,0,3,"{313, 315, 308, 317}"
493,100.0,1,1,"{316, 311}"
494,0.0,0,1,"{314, 223}"
499,0.0,0,1,"{304, 300}"
503,0.0,0,1,"{298, 299}"
507,0.0,0,1,"{293, 294}"
518,100.0,1,1,"{281, 276}"
523,0.0,0,2,"{249, 275, 270}"
535,0.0,0,1,"{258, 262}"
549,0.0,0,1,"{241, 242}"
560,0.0,0,2,"{228, 229, 230}"
561,0.0,0,10,"{225, 227, 198, 179, 151, 217, 218, 189, 191}"
562,0.0,0,1,"{226, 182}"
565,0.0,0,4,"{136, 137, 221, 175}"
570,0.0,0,1,"{212, 213}"
576,0.0,0,3,"{201, 202, 206}"
584,0.0,0,1,"{195, 171}"
597,0.0,0,2,"{176, 170, 84}"
611,0.0,0,1,"{154, 159}"
