component,percentage,edge_count,max_possible,component_nodes
9,4.743083003952568,24,506,"{388, 393, 399, 403, 408, 418, 173, 180, 311, 447, 448, 321, 456, 463, 221, 352, 248, 484, 485, 367, 370, 376, 379}"
17,7.6923076923076925,14,182,"{455, 104, 429, 174, 337, 275, 85, 278, 118, 280, 473, 342, 476, 318}"
43,50.0,1,2,"{444, 286}"
60,50.0,1,2,"{426, 421}"
79,50.0,1,2,"{402, 243}"
104,25.0,5,20,"{1, 232, 268, 335, 372}"
118,50.0,3,6,"{124, 289, 356}"
124,50.0,1,2,"{349, 198}"
126,50.0,1,2,"{347, 15}"
140,50.0,1,2,"{329, 330}"
147,33.33333333333333,2,6,"{322, 269, 134}"
198,50.0,1,2,"{260, 261}"
204,50.0,1,2,"{19, 254}"
205,25.0,3,12,"{65, 36, 253, 239}"
208,50.0,3,6,"{250, 187, 188}"
211,50.0,1,2,"{244, 246}"
213,50.0,1,2,"{242, 238}"
216,33.33333333333333,2,6,"{213, 236, 237}"
217,50.0,1,2,"{235, 183}"
226,33.33333333333333,2,6,"{208, 225, 197}"
227,50.0,1,2,"{224, 79}"
230,50.0,1,2,"{211, 220}"
242,50.0,1,2,"{20, 205}"
251,25.0,5,20,"{194, 107, 108, 149, 93}"
268,50.0,1,2,"{171, 119}"
273,33.33333333333333,2,6,"{162, 166, 71}"
279,33.33333333333333,4,12,"{143, 123, 120, 159}"
284,50.0,1,2,"{154, 138}"
285,12.5,7,56,"{67, 72, 136, 110, 112, 81, 113, 153}"
290,33.33333333333333,2,6,"{145, 146, 147}"
294,50.0,1,2,"{140, 63}"
310,50.0,1,2,"{106, 116}"
320,50.0,1,2,"{99, 84}"
336,50.0,1,2,"{75, 78}"
349,25.0,3,12,"{50, 59, 58, 55}"
350,50.0,1,2,"{56, 57}"
357,50.0,1,2,"{7, 47}"
377,50.0,1,2,"{24, 25}"
392,50.0,1,2,"{3, 5}"
