component,percentage,fixes_count,edge_count,component_nodes
9,8.333333333333332,2,24,"{388, 393, 399, 403, 408, 418, 173, 180, 311, 447, 448, 321, 456, 463, 221, 352, 248, 484, 485, 367, 370, 376, 379}"
17,0.0,0,14,"{455, 104, 429, 174, 337, 275, 85, 278, 118, 280, 473, 342, 476, 318}"
43,0.0,0,1,"{444, 286}"
60,0.0,0,1,"{426, 421}"
79,0.0,0,1,"{402, 243}"
104,0.0,0,5,"{1, 232, 268, 335, 372}"
118,0.0,0,3,"{124, 289, 356}"
124,0.0,0,1,"{349, 198}"
126,0.0,0,1,"{347, 15}"
140,0.0,0,1,"{329, 330}"
147,0.0,0,2,"{322, 269, 134}"
198,0.0,0,1,"{260, 261}"
204,0.0,0,1,"{19, 254}"
205,33.33333333333333,1,3,"{65, 36, 253, 239}"
208,0.0,0,3,"{250, 187, 188}"
211,0.0,0,1,"{244, 246}"
213,0.0,0,1,"{242, 238}"
216,0.0,0,2,"{213, 236, 237}"
217,0.0,0,1,"{235, 183}"
226,0.0,0,2,"{208, 225, 197}"
227,0.0,0,1,"{224, 79}"
230,0.0,0,1,"{211, 220}"
242,0.0,0,1,"{20, 205}"
251,0.0,0,5,"{194, 107, 108, 149, 93}"
268,0.0,0,1,"{171, 119}"
273,0.0,0,2,"{162, 166, 71}"
279,0.0,0,4,"{143, 123, 120, 159}"
284,0.0,0,1,"{154, 138}"
285,0.0,0,7,"{67, 72, 136, 110, 112, 81, 113, 153}"
290,0.0,0,2,"{145, 146, 147}"
294,0.0,0,1,"{140, 63}"
310,0.0,0,1,"{106, 116}"
320,0.0,0,1,"{99, 84}"
336,100.0,1,1,"{75, 78}"
349,0.0,0,3,"{50, 59, 58, 55}"
350,0.0,0,1,"{56, 57}"
357,0.0,0,1,"{7, 47}"
377,0.0,0,1,"{24, 25}"
392,0.0,0,1,"{3, 5}"
