component,percentage,edge_count,max_possible,component_nodes
31,7.017543859649122,24,342,"{147, 24, 158, 33, 37, 172, 174, 176, 179, 181, 182, 183, 320, 192, 200, 206, 211, 111, 250}"
40,33.33333333333333,2,6,"{298, 310, 311}"
42,33.33333333333333,2,6,"{266, 308, 269}"
61,33.33333333333333,2,6,"{288, 58, 150}"
68,50.0,1,2,"{281, 275}"
78,25.0,3,12,"{267, 259, 270, 246}"
82,50.0,1,2,"{262, 263}"
85,25.0,3,12,"{256, 257, 258, 12}"
91,50.0,1,2,"{248, 249}"
98,50.0,1,2,"{240, 134}"
100,50.0,1,2,"{238, 95}"
102,50.0,1,2,"{112, 236}"
109,50.0,1,2,"{229, 143}"
119,50.0,1,2,"{217, 219}"
123,50.0,1,2,"{213, 214}"
125,50.0,1,2,"{210, 199}"
130,30.0,6,20,"{201, 204, 146, 184, 127}"
131,50.0,1,2,"{203, 191}"
132,50.0,1,2,"{202, 124}"
136,50.0,1,2,"{194, 195}"
139,50.0,1,2,"{188, 189}"
140,50.0,1,2,"{187, 31}"
147,25.0,3,12,"{169, 173, 166, 165}"
150,23.333333333333332,7,30,"{163, 164, 168, 137, 20, 27}"
154,50.0,1,2,"{160, 149}"
164,33.33333333333333,2,6,"{88, 145, 86}"
192,50.0,1,2,"{110, 71}"
196,50.0,1,2,"{106, 26}"
283,50.0,1,2,"{5, 6}"
