component,percentage,fixes_count,edge_count,component_nodes
31,0.0,0,24,"{147, 24, 158, 33, 37, 172, 174, 176, 179, 181, 182, 183, 320, 192, 200, 206, 211, 111, 250}"
40,0.0,0,2,"{298, 310, 311}"
42,0.0,0,2,"{266, 308, 269}"
61,0.0,0,2,"{288, 58, 150}"
68,0.0,0,1,"{281, 275}"
78,0.0,0,3,"{267, 259, 270, 246}"
82,0.0,0,1,"{262, 263}"
85,0.0,0,3,"{256, 257, 258, 12}"
91,0.0,0,1,"{248, 249}"
98,0.0,0,1,"{240, 134}"
100,0.0,0,1,"{238, 95}"
102,0.0,0,1,"{112, 236}"
109,0.0,0,1,"{229, 143}"
119,0.0,0,1,"{217, 219}"
123,0.0,0,1,"{213, 214}"
125,0.0,0,1,"{210, 199}"
130,0.0,0,6,"{201, 204, 146, 184, 127}"
131,0.0,0,1,"{203, 191}"
132,0.0,0,1,"{202, 124}"
136,0.0,0,1,"{194, 195}"
139,0.0,0,1,"{188, 189}"
140,0.0,0,1,"{187, 31}"
147,0.0,0,3,"{169, 173, 166, 165}"
150,14.285714285714285,1,7,"{163, 164, 168, 137, 20, 27}"
154,0.0,0,1,"{160, 149}"
164,0.0,0,2,"{88, 145, 86}"
192,0.0,0,1,"{110, 71}"
196,0.0,0,1,"{106, 26}"
283,0.0,0,1,"{5, 6}"
