component,percentage,edge_count,max_possible,component_nodes
44,33.33333333333333,2,6,"{378, 748, 1022}"
110,33.33333333333333,2,6,"{585, 956, 308}"
357,33.33333333333333,2,6,"{116, 708, 21}"
366,50.0,1,2,"{699, 646}"
435,50.0,1,2,"{629, 519}"
449,50.0,1,2,"{605, 615}"
471,16.666666666666664,5,30,"{199, 231, 361, 143, 592, 183}"
478,50.0,1,2,"{584, 509}"
481,50.0,1,2,"{581, 542}"
493,50.0,1,2,"{569, 514}"
515,50.0,1,2,"{547, 132}"
525,16.666666666666664,5,30,"{331, 110, 401, 402, 536, 120}"
533,50.0,1,2,"{528, 527}"
538,33.33333333333333,2,6,"{522, 389, 386}"
579,50.0,1,2,"{456, 478}"
628,14.285714285714285,6,42,"{416, 420, 421, 428, 403, 412, 414}"
649,25.0,3,12,"{208, 130, 396, 399}"
675,50.0,1,2,"{369, 340}"
699,33.33333333333333,2,6,"{344, 339, 328}"
701,50.0,1,2,"{97, 342}"
711,50.0,1,2,"{321, 329}"
718,33.33333333333333,2,6,"{320, 50, 285}"
730,50.0,1,2,"{307, 300}"
745,50.0,1,2,"{75, 291}"
747,50.0,1,2,"{289, 284}"
763,25.0,3,12,"{66, 27, 52, 271}"
768,50.0,1,2,"{162, 266}"
769,50.0,1,2,"{160, 265}"
792,25.0,3,12,"{242, 117, 213, 39}"
807,41.66666666666667,5,12,"{226, 60, 12, 149}"
810,50.0,1,2,"{219, 223}"
832,50.0,1,2,"{197, 190}"
847,50.0,3,6,"{99, 180, 171}"
852,50.0,1,2,"{167, 175}"
856,50.0,1,2,"{168, 170}"
861,50.0,1,2,"{123, 163}"
901,50.0,1,2,"{113, 86}"
906,50.0,1,2,"{91, 107}"
917,50.0,1,2,"{94, 87}"
941,50.0,1,2,"{16, 65}"
964,50.0,1,2,"{37, 38}"
