component,percentage,fixes_count,edge_count,component_nodes
44,0.0,0,2,"{378, 748, 1022}"
110,0.0,0,2,"{585, 956, 308}"
357,0.0,0,2,"{116, 708, 21}"
366,0.0,0,1,"{699, 646}"
435,0.0,0,1,"{629, 519}"
449,0.0,0,1,"{605, 615}"
471,0.0,0,5,"{199, 231, 361, 143, 592, 183}"
478,0.0,0,1,"{584, 509}"
481,0.0,0,1,"{581, 542}"
493,0.0,0,1,"{569, 514}"
515,0.0,0,1,"{547, 132}"
525,0.0,0,5,"{331, 110, 401, 402, 536, 120}"
533,0.0,0,1,"{528, 527}"
538,0.0,0,2,"{522, 389, 386}"
579,0.0,0,1,"{456, 478}"
628,0.0,0,6,"{416, 420, 421, 428, 403, 412, 414}"
649,0.0,0,3,"{208, 130, 396, 399}"
675,0.0,0,1,"{369, 340}"
699,0.0,0,2,"{344, 339, 328}"
701,0.0,0,1,"{97, 342}"
711,0.0,0,1,"{321, 329}"
718,0.0,0,2,"{320, 50, 285}"
730,0.0,0,1,"{307, 300}"
745,0.0,0,1,"{75, 291}"
747,0.0,0,1,"{289, 284}"
763,0.0,0,3,"{66, 27, 52, 271}"
768,0.0,0,1,"{162, 266}"
769,0.0,0,1,"{160, 265}"
792,0.0,0,3,"{242, 117, 213, 39}"
807,0.0,0,5,"{226, 60, 12, 149}"
810,0.0,0,1,"{219, 223}"
832,100.0,1,1,"{197, 190}"
847,33.33333333333333,1,3,"{99, 180, 171}"
852,0.0,0,1,"{167, 175}"
856,0.0,0,1,"{168, 170}"
861,0.0,0,1,"{123, 163}"
901,0.0,0,1,"{113, 86}"
906,0.0,0,1,"{91, 107}"
917,0.0,0,1,"{94, 87}"
941,0.0,0,1,"{16, 65}"
964,0.0,0,1,"{37, 38}"
