component,percentage,edge_count,max_possible,component_nodes
10,8.333333333333332,13,156,"{480, 1, 129, 355, 2, 3, 4, 5, 6, 44, 269, 124, 671}"
16,50.0,1,2,"{665, 153}"
58,50.0,1,2,"{11, 623}"
77,33.33333333333333,2,6,"{601, 602, 603}"
154,50.0,3,6,"{154, 523, 524}"
177,50.0,1,2,"{498, 499}"
183,20.0,6,30,"{484, 485, 487, 488, 490, 491}"
310,50.0,1,2,"{352, 357}"
334,50.0,1,2,"{23, 327}"
397,50.0,1,2,"{262, 263}"
424,50.0,1,2,"{80, 235}"
427,50.0,1,2,"{232, 100}"
430,50.0,1,2,"{228, 229}"
482,50.0,1,2,"{176, 171}"
498,50.0,1,2,"{147, 159}"
502,50.0,1,2,"{155, 151}"
604,50.0,1,2,"{45, 39}"
610,50.0,1,2,"{36, 37}"
