component,percentage,edge_count,max_possible,component_nodes
11,33.33333333333333,2,6,"{539, 531, 559}"
14,50.0,1,2,"{553, 556}"
22,50.0,1,2,"{482, 547}"
25,50.0,1,2,"{544, 542}"
35,50.0,1,2,"{532, 518}"
37,50.0,1,2,"{529, 525}"
48,50.0,1,2,"{515, 516}"
50,50.0,1,2,"{512, 513}"
52,33.33333333333333,4,12,"{504, 508, 509, 510}"
55,50.0,1,2,"{505, 51}"
62,50.0,1,2,"{496, 497}"
65,50.0,1,2,"{461, 493}"
75,50.0,1,2,"{480, 222}"
76,50.0,1,2,"{470, 479}"
79,33.33333333333333,2,6,"{476, 359, 391}"
83,33.33333333333333,2,6,"{472, 289, 118}"
84,20.0,4,20,"{462, 471, 216, 158, 159}"
95,50.0,1,2,"{456, 457}"
107,33.33333333333333,2,6,"{352, 443, 285}"
109,50.0,1,2,"{441, 433}"
111,50.0,1,2,"{438, 439}"
113,50.0,1,2,"{436, 429}"
114,50.0,1,2,"{435, 431}"
124,33.33333333333333,4,12,"{281, 418, 308, 422}"
130,25.0,3,12,"{208, 84, 263, 415}"
131,20.0,4,20,"{356, 310, 412, 413, 414}"
136,33.33333333333333,2,6,"{1, 261, 407}"
137,33.33333333333333,2,6,"{404, 406, 399}"
162,50.0,1,2,"{378, 362}"
168,50.0,1,2,"{371, 372}"
173,50.0,1,2,"{168, 366}"
178,33.33333333333333,2,6,"{360, 228, 351}"
191,50.0,1,2,"{342, 343}"
194,33.33333333333333,2,6,"{339, 287, 319}"
201,50.0,1,2,"{280, 332}"
204,50.0,1,2,"{328, 329}"
217,33.33333333333333,4,12,"{314, 171, 180, 86}"
219,33.33333333333333,2,6,"{312, 241, 309}"
226,50.0,1,2,"{301, 302}"
227,50.0,1,2,"{300, 295}"
228,50.0,1,2,"{299, 253}"
237,33.33333333333333,2,6,"{288, 267, 268}"
242,50.0,1,2,"{278, 279}"
247,33.33333333333333,2,6,"{273, 234, 235}"
249,33.33333333333333,2,6,"{249, 255, 271}"
250,50.0,1,2,"{242, 270}"
252,25.0,3,12,"{248, 266, 204, 207}"
254,50.0,1,2,"{264, 262}"
266,50.0,1,2,"{245, 231}"
269,50.0,1,2,"{240, 239}"
270,50.0,1,2,"{237, 238}"
278,50.0,1,2,"{225, 209}"
279,50.0,1,2,"{224, 223}"
288,50.0,1,2,"{211, 212}"
291,33.33333333333333,2,6,"{195, 205, 181}"
292,50.0,1,2,"{186, 203}"
293,50.0,1,2,"{176, 202}"
294,33.33333333333333,2,6,"{200, 201, 189}"
297,50.0,1,2,"{146, 197}"
299,50.0,1,2,"{194, 10}"
300,50.0,1,2,"{192, 193}"
301,50.0,3,6,"{185, 169, 191}"
302,50.0,1,2,"{187, 190}"
320,50.0,1,2,"{161, 162}"
330,50.0,1,2,"{139, 149}"
337,50.0,1,2,"{140, 141}"
343,50.0,1,2,"{129, 133}"
344,50.0,1,2,"{132, 95}"
365,50.0,1,2,"{108, 109}"
393,30.0,6,20,"{77, 16, 21, 25, 29}"
398,33.33333333333333,2,6,"{72, 14, 55}"
417,50.0,1,2,"{43, 52}"
418,50.0,1,2,"{48, 50}"
421,50.0,1,2,"{41, 46}"
423,50.0,1,2,"{19, 44}"
424,50.0,1,2,"{42, 38}"
425,50.0,1,2,"{40, 39}"
427,50.0,1,2,"{36, 30}"
429,25.0,3,12,"{32, 34, 13, 15}"
430,50.0,1,2,"{33, 22}"
437,50.0,1,2,"{9, 20}"
447,50.0,1,2,"{2, 3}"
