component,percentage,fixes_count,edge_count,component_nodes
11,0.0,0,2,"{539, 531, 559}"
14,100.0,1,1,"{553, 556}"
22,0.0,0,1,"{482, 547}"
25,0.0,0,1,"{544, 542}"
35,0.0,0,1,"{532, 518}"
37,0.0,0,1,"{529, 525}"
48,0.0,0,1,"{515, 516}"
50,0.0,0,1,"{512, 513}"
52,0.0,0,4,"{504, 508, 509, 510}"
55,0.0,0,1,"{505, 51}"
62,0.0,0,1,"{496, 497}"
65,0.0,0,1,"{461, 493}"
75,0.0,0,1,"{480, 222}"
76,0.0,0,1,"{470, 479}"
79,50.0,1,2,"{476, 359, 391}"
83,0.0,0,2,"{472, 289, 118}"
84,0.0,0,4,"{462, 471, 216, 158, 159}"
95,100.0,1,1,"{456, 457}"
107,0.0,0,2,"{352, 443, 285}"
109,100.0,1,1,"{441, 433}"
111,0.0,0,1,"{438, 439}"
113,100.0,1,1,"{436, 429}"
114,100.0,1,1,"{435, 431}"
124,0.0,0,4,"{281, 418, 308, 422}"
130,0.0,0,3,"{208, 84, 263, 415}"
131,0.0,0,4,"{356, 310, 412, 413, 414}"
136,0.0,0,2,"{1, 261, 407}"
137,50.0,1,2,"{404, 406, 399}"
162,0.0,0,1,"{378, 362}"
168,0.0,0,1,"{371, 372}"
173,0.0,0,1,"{168, 366}"
178,0.0,0,2,"{360, 228, 351}"
191,0.0,0,1,"{342, 343}"
194,0.0,0,2,"{339, 287, 319}"
201,0.0,0,1,"{280, 332}"
204,0.0,0,1,"{328, 329}"
217,0.0,0,4,"{314, 171, 180, 86}"
219,0.0,0,2,"{312, 241, 309}"
226,0.0,0,1,"{301, 302}"
227,0.0,0,1,"{300, 295}"
228,0.0,0,1,"{299, 253}"
237,0.0,0,2,"{288, 267, 268}"
242,0.0,0,1,"{278, 279}"
247,0.0,0,2,"{273, 234, 235}"
249,0.0,0,2,"{249, 255, 271}"
250,0.0,0,1,"{242, 270}"
252,0.0,0,3,"{248, 266, 204, 207}"
254,0.0,0,1,"{264, 262}"
266,100.0,1,1,"{245, 231}"
269,100.0,1,1,"{240, 239}"
270,0.0,0,1,"{237, 238}"
278,100.0,1,1,"{225, 209}"
279,0.0,0,1,"{224, 223}"
288,0.0,0,1,"{211, 212}"
291,0.0,0,2,"{195, 205, 181}"
292,0.0,0,1,"{186, 203}"
293,100.0,1,1,"{176, 202}"
294,0.0,0,2,"{200, 201, 189}"
297,0.0,0,1,"{146, 197}"
299,0.0,0,1,"{194, 10}"
300,0.0,0,1,"{192, 193}"
301,0.0,0,3,"{185, 169, 191}"
302,0.0,0,1,"{187, 190}"
320,0.0,0,1,"{161, 162}"
330,0.0,0,1,"{139, 149}"
337,0.0,0,1,"{140, 141}"
343,100.0,1,1,"{129, 133}"
344,0.0,0,1,"{132, 95}"
365,100.0,1,1,"{108, 109}"
393,0.0,0,6,"{77, 16, 21, 25, 29}"
398,0.0,0,2,"{72, 14, 55}"
417,0.0,0,1,"{43, 52}"
418,0.0,0,1,"{48, 50}"
421,100.0,1,1,"{41, 46}"
423,0.0,0,1,"{19, 44}"
424,0.0,0,1,"{42, 38}"
425,0.0,0,1,"{40, 39}"
427,0.0,0,1,"{36, 30}"
429,0.0,0,3,"{32, 34, 13, 15}"
430,0.0,0,1,"{33, 22}"
437,0.0,0,1,"{9, 20}"
447,0.0,0,1,"{2, 3}"
