component,percentage,edge_count,max_possible,component_nodes
17,50.0,1,2,"{216, 198}"
24,50.0,1,2,"{209, 127}"
26,50.0,1,2,"{204, 207}"
42,50.0,1,2,"{189, 173}"
43,33.33333333333333,2,6,"{178, 188, 165}"
59,50.0,1,2,"{166, 167}"
74,50.0,1,2,"{148, 150}"
80,50.0,1,2,"{140, 143}"
84,33.33333333333333,2,6,"{136, 138, 134}"
86,50.0,1,2,"{133, 135}"
122,25.0,5,20,"{96, 3, 7, 9, 26}"
129,25.0,3,12,"{73, 89, 75, 47}"
137,50.0,1,2,"{81, 78}"
140,50.0,1,2,"{76, 77}"
156,50.0,1,2,"{58, 21}"
159,33.33333333333333,2,6,"{18, 51, 55}"
173,50.0,1,2,"{37, 38}"
