component,percentage,fixes_count,edge_count,component_nodes
17,0.0,0,1,"{216, 198}"
24,0.0,0,1,"{209, 127}"
26,0.0,0,1,"{204, 207}"
42,0.0,0,1,"{189, 173}"
43,0.0,0,2,"{178, 188, 165}"
59,0.0,0,1,"{166, 167}"
74,0.0,0,1,"{148, 150}"
80,0.0,0,1,"{140, 143}"
84,50.0,1,2,"{136, 138, 134}"
86,100.0,1,1,"{133, 135}"
122,0.0,0,5,"{96, 3, 7, 9, 26}"
129,33.33333333333333,1,3,"{73, 89, 75, 47}"
137,0.0,0,1,"{81, 78}"
140,100.0,1,1,"{76, 77}"
156,0.0,0,1,"{58, 21}"
159,0.0,0,2,"{18, 51, 55}"
173,0.0,0,1,"{37, 38}"
