component,percentage,edge_count,max_possible,component_nodes
3,50.0,1,2,"{1540, 1549}"
10,50.0,1,2,"{69, 1542}"
18,11.11111111111111,8,72,"{1153, 325, 209, 916, 1142, 631, 1181, 1533, 191}"
20,12.727272727272727,14,110,"{33, 27, 974, 1199, 851, 1529, 1531, 700, 573, 30, 863}"
22,50.0,1,2,"{1528, 1527}"
42,33.33333333333333,2,6,"{1497, 1498, 1507}"
44,50.0,1,2,"{1505, 1494}"
45,50.0,1,2,"{1504, 1024}"
72,50.0,1,2,"{986, 1474}"
81,50.0,1,2,"{1440, 1465}"
99,50.0,1,2,"{1416, 1447}"
113,50.0,1,2,"{1432, 1408}"
121,50.0,1,2,"{1424, 1411}"
123,50.0,1,2,"{1422, 327}"
130,50.0,1,2,"{1254, 1414}"
145,50.0,1,2,"{817, 1397}"
163,50.0,1,2,"{1378, 1379}"
182,25.0,3,12,"{1167, 1217, 1322, 1359}"
195,50.0,1,2,"{1344, 1346}"
207,33.33333333333333,2,6,"{497, 1265, 1333}"
214,50.0,1,2,"{1323, 1326}"
221,50.0,1,2,"{1316, 1317}"
241,3.3868092691622103,38,1122,"{128, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1164, 1037, 1296, 1173, 409, 282, 544, 185, 828, 445, 65, 1097, 841, 588, 462, 594, 341, 1111, 218, 221, 993, 353, 359, 362}"
250,50.0,1,2,"{1284, 1287}"
254,50.0,1,2,"{1280, 1282}"
259,50.0,1,2,"{1276, 1215}"
268,50.0,1,2,"{1266, 1267}"
277,50.0,1,2,"{1256, 1230}"
291,50.0,1,2,"{40, 1241}"
292,50.0,1,2,"{1240, 31}"
312,50.0,1,2,"{1209, 1219}"
327,50.0,1,2,"{1201, 1197}"
337,50.0,1,2,"{1163, 1189}"
341,16.666666666666664,5,30,"{1185, 941, 942, 943, 944, 945}"
369,50.0,1,2,"{1148, 1151}"
395,25.0,3,12,"{1000, 1106, 1123, 500}"
399,50.0,1,2,"{876, 1119}"
432,50.0,1,2,"{1082, 1083}"
437,50.0,1,2,"{1076, 1077}"
461,50.0,1,2,"{1052, 1004}"
465,7.5,18,240,"{576, 832, 289, 291, 579, 678, 635, 236, 625, 211, 627, 725, 1047, 1048, 283, 382}"
481,50.0,1,2,"{1030, 783}"
485,33.33333333333333,2,6,"{186, 1026, 290}"
490,50.0,1,2,"{449, 1020}"
493,50.0,1,2,"{1017, 778}"
498,50.0,1,2,"{1012, 397}"
529,33.33333333333333,2,6,"{936, 977, 964}"
544,50.0,1,2,"{960, 875}"
545,33.33333333333333,2,6,"{919, 861, 959}"
549,50.0,1,2,"{953, 955}"
555,50.0,1,2,"{948, 470}"
574,50.0,3,6,"{923, 509, 911}"
586,33.33333333333333,2,6,"{908, 214, 300}"
592,50.0,1,2,"{196, 902}"
603,33.33333333333333,2,6,"{890, 891, 618}"
614,50.0,1,2,"{833, 879}"
621,50.0,1,2,"{768, 870}"
626,33.33333333333333,2,6,"{865, 578, 463}"
655,20.0,4,20,"{802, 816, 795, 797, 830}"
675,50.0,1,2,"{790, 807}"
683,33.33333333333333,2,6,"{401, 794, 798}"
689,50.0,1,2,"{721, 788}"
701,50.0,1,2,"{771, 774}"
706,50.0,1,2,"{12, 767}"
709,50.0,1,2,"{763, 764}"
714,50.0,1,2,"{756, 758}"
718,33.33333333333333,2,6,"{753, 429, 263}"
728,50.0,1,2,"{668, 743}"
763,33.33333333333333,2,6,"{706, 541, 527}"
769,50.0,1,2,"{698, 699}"
775,50.0,1,2,"{681, 692}"
795,50.0,1,2,"{670, 542}"
797,50.0,1,2,"{592, 667}"
808,50.0,1,2,"{656, 612}"
847,6.666666666666667,14,210,"{611, 421, 426, 427, 458, 111, 81, 82, 148, 84, 442, 315, 317, 318, 287}"
875,50.0,1,2,"{488, 580}"
885,50.0,1,2,"{467, 566}"
900,20.0,4,20,"{513, 386, 551, 106, 400}"
941,50.0,1,2,"{504, 481}"
953,50.0,1,2,"{489, 490}"
968,50.0,1,2,"{472, 454}"
991,50.0,1,2,"{440, 389}"
1000,50.0,1,2,"{430, 431}"
1003,50.0,1,2,"{424, 342}"
1026,50.0,1,2,"{396, 127}"
1046,50.0,1,2,"{285, 373}"
1054,33.33333333333333,2,6,"{139, 156, 365}"
1079,33.33333333333333,2,6,"{313, 334, 335}"
1085,50.0,3,6,"{328, 296, 87}"
1090,33.33333333333333,2,6,"{321, 74, 68}"
1098,50.0,1,2,"{308, 309}"
1099,50.0,1,2,"{306, 307}"
1104,33.33333333333333,2,6,"{266, 301, 271}"
1106,50.0,1,2,"{298, 58}"
1120,50.0,1,2,"{273, 276}"
1123,50.0,1,2,"{272, 239}"
1130,50.0,1,2,"{261, 262}"
1140,14.285714285714285,6,42,"{160, 193, 235, 144, 251, 222, 223}"
1145,50.0,1,2,"{38, 246}"
1160,50.0,1,2,"{204, 228}"
1161,25.0,3,12,"{208, 227, 203, 207}"
1162,50.0,1,2,"{226, 117}"
1163,50.0,1,2,"{176, 225}"
1175,33.33333333333333,2,6,"{175, 202, 138}"
1177,50.0,3,6,"{200, 153, 154}"
1183,50.0,1,2,"{192, 159}"
1195,50.0,1,2,"{177, 170}"
1204,50.0,1,2,"{165, 54}"
1205,50.0,1,2,"{163, 164}"
1215,50.0,1,2,"{147, 125}"
1222,25.0,3,12,"{137, 107, 105, 135}"
1224,50.0,1,2,"{134, 103}"
1227,50.0,1,2,"{129, 131}"
1228,50.0,1,2,"{88, 130}"
1247,33.33333333333333,2,6,"{91, 101, 39}"
1250,33.33333333333333,2,6,"{98, 92, 93}"
1251,50.0,1,2,"{97, 36}"
1260,50.0,1,2,"{80, 79}"
1287,50.0,1,2,"{20, 46}"
1294,50.0,1,2,"{35, 29}"
1300,50.0,1,2,"{24, 23}"
1301,50.0,1,2,"{21, 22}"
