component,percentage,fixes_count,edge_count,component_nodes
3,0.0,0,1,"{1540, 1549}"
10,0.0,0,1,"{69, 1542}"
18,0.0,0,8,"{1153, 325, 209, 916, 1142, 631, 1181, 1533, 191}"
20,0.0,0,14,"{33, 27, 974, 1199, 851, 1529, 1531, 700, 573, 30, 863}"
22,0.0,0,1,"{1528, 1527}"
42,0.0,0,2,"{1497, 1498, 1507}"
44,0.0,0,1,"{1505, 1494}"
45,0.0,0,1,"{1504, 1024}"
72,0.0,0,1,"{986, 1474}"
81,0.0,0,1,"{1440, 1465}"
99,0.0,0,1,"{1416, 1447}"
113,0.0,0,1,"{1432, 1408}"
121,0.0,0,1,"{1424, 1411}"
123,0.0,0,1,"{1422, 327}"
130,0.0,0,1,"{1254, 1414}"
145,0.0,0,1,"{817, 1397}"
163,0.0,0,1,"{1378, 1379}"
182,0.0,0,3,"{1167, 1217, 1322, 1359}"
195,0.0,0,1,"{1344, 1346}"
207,0.0,0,2,"{497, 1265, 1333}"
214,0.0,0,1,"{1323, 1326}"
221,0.0,0,1,"{1316, 1317}"
241,0.0,0,38,"{128, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1164, 1037, 1296, 1173, 409, 282, 544, 185, 828, 445, 65, 1097, 841, 588, 462, 594, 341, 1111, 218, 221, 993, 353, 359, 362}"
250,0.0,0,1,"{1284, 1287}"
254,0.0,0,1,"{1280, 1282}"
259,0.0,0,1,"{1276, 1215}"
268,0.0,0,1,"{1266, 1267}"
277,0.0,0,1,"{1256, 1230}"
291,0.0,0,1,"{40, 1241}"
292,0.0,0,1,"{1240, 31}"
312,0.0,0,1,"{1209, 1219}"
327,100.0,1,1,"{1201, 1197}"
337,0.0,0,1,"{1163, 1189}"
341,0.0,0,5,"{1185, 941, 942, 943, 944, 945}"
369,100.0,1,1,"{1148, 1151}"
395,0.0,0,3,"{1000, 1106, 1123, 500}"
399,0.0,0,1,"{876, 1119}"
432,0.0,0,1,"{1082, 1083}"
437,0.0,0,1,"{1076, 1077}"
461,0.0,0,1,"{1052, 1004}"
465,0.0,0,18,"{576, 832, 289, 291, 579, 678, 635, 236, 625, 211, 627, 725, 1047, 1048, 283, 382}"
481,0.0,0,1,"{1030, 783}"
485,0.0,0,2,"{186, 1026, 290}"
490,0.0,0,1,"{449, 1020}"
493,0.0,0,1,"{1017, 778}"
498,0.0,0,1,"{1012, 397}"
529,0.0,0,2,"{936, 977, 964}"
544,0.0,0,1,"{960, 875}"
545,0.0,0,2,"{919, 861, 959}"
549,0.0,0,1,"{953, 955}"
555,0.0,0,1,"{948, 470}"
574,0.0,0,3,"{923, 509, 911}"
586,0.0,0,2,"{908, 214, 300}"
592,0.0,0,1,"{196, 902}"
603,0.0,0,2,"{890, 891, 618}"
614,0.0,0,1,"{833, 879}"
621,0.0,0,1,"{768, 870}"
626,0.0,0,2,"{865, 578, 463}"
655,0.0,0,4,"{802, 816, 795, 797, 830}"
675,0.0,0,1,"{790, 807}"
683,0.0,0,2,"{401, 794, 798}"
689,0.0,0,1,"{721, 788}"
701,0.0,0,1,"{771, 774}"
706,0.0,0,1,"{12, 767}"
709,0.0,0,1,"{763, 764}"
714,0.0,0,1,"{756, 758}"
718,0.0,0,2,"{753, 429, 263}"
728,0.0,0,1,"{668, 743}"
763,0.0,0,2,"{706, 541, 527}"
769,100.0,1,1,"{698, 699}"
775,0.0,0,1,"{681, 692}"
795,0.0,0,1,"{670, 542}"
797,100.0,1,1,"{592, 667}"
808,0.0,0,1,"{656, 612}"
847,0.0,0,14,"{611, 421, 426, 427, 458, 111, 81, 82, 148, 84, 442, 315, 317, 318, 287}"
875,0.0,0,1,"{488, 580}"
885,0.0,0,1,"{467, 566}"
900,0.0,0,4,"{513, 386, 551, 106, 400}"
941,0.0,0,1,"{504, 481}"
953,0.0,0,1,"{489, 490}"
968,0.0,0,1,"{472, 454}"
991,0.0,0,1,"{440, 389}"
1000,0.0,0,1,"{430, 431}"
1003,0.0,0,1,"{424, 342}"
1026,0.0,0,1,"{396, 127}"
1046,0.0,0,1,"{285, 373}"
1054,0.0,0,2,"{139, 156, 365}"
1079,0.0,0,2,"{313, 334, 335}"
1085,0.0,0,3,"{328, 296, 87}"
1090,0.0,0,2,"{321, 74, 68}"
1098,0.0,0,1,"{308, 309}"
1099,0.0,0,1,"{306, 307}"
1104,0.0,0,2,"{266, 301, 271}"
1106,0.0,0,1,"{298, 58}"
1120,0.0,0,1,"{273, 276}"
1123,0.0,0,1,"{272, 239}"
1130,0.0,0,1,"{261, 262}"
1140,0.0,0,6,"{160, 193, 235, 144, 251, 222, 223}"
1145,0.0,0,1,"{38, 246}"
1160,0.0,0,1,"{204, 228}"
1161,0.0,0,3,"{208, 227, 203, 207}"
1162,0.0,0,1,"{226, 117}"
1163,0.0,0,1,"{176, 225}"
1175,0.0,0,2,"{175, 202, 138}"
1177,0.0,0,3,"{200, 153, 154}"
1183,0.0,0,1,"{192, 159}"
1195,0.0,0,1,"{177, 170}"
1204,0.0,0,1,"{165, 54}"
1205,0.0,0,1,"{163, 164}"
1215,0.0,0,1,"{147, 125}"
1222,0.0,0,3,"{137, 107, 105, 135}"
1224,0.0,0,1,"{134, 103}"
1227,0.0,0,1,"{129, 131}"
1228,0.0,0,1,"{88, 130}"
1247,0.0,0,2,"{91, 101, 39}"
1250,0.0,0,2,"{98, 92, 93}"
1251,0.0,0,1,"{97, 36}"
1260,0.0,0,1,"{80, 79}"
1287,0.0,0,1,"{20, 46}"
1294,0.0,0,1,"{35, 29}"
1300,100.0,1,1,"{24, 23}"
1301,100.0,1,1,"{21, 22}"
