component,percentage,fixes_count,edge_count,component_nodes
11,0.0,0,1,"{1041, 988}"
31,0.0,0,2,"{1013, 1021, 1014}"
37,0.0,0,1,"{1007, 1015}"
41,0.0,0,1,"{1008, 1009}"
46,0.0,0,2,"{169, 1002, 25}"
51,2.0172910662824206,7,347,"{1, 2, 3, 4, 5, 518, 6, 8, 9, 522, 10, 7, 520, 527, 16, 529, 21, 513, 24, 537, 538, 514, 540, 543, 545, 548, 551, 552, 39, 553, 554, 41, 557, 558, 559, 560, 564, 566, 568, 569, 570, 573, 574, 576, 577, 578, 71, 75, 600, 601, 604, 605, 608, 612, 613, 615, 619, 620, 108, 631, 634, 639, 641, 643, 649, 138, 651, 652, 655, 144, 657, 658, 146, 143, 149, 662, 148, 147, 153, 154, 667, 156, 670, 672, 674, 163, 677, 166, 679, 168, 681, 171, 684, 687, 688, 689, 690, 175, 692, 181, 694, 182, 184, 186, 187, 188, 699, 192, 193, 706, 197, 198, 199, 200, 201, 714, 202, 716, 718, 206, 208, 207, 722, 210, 212, 215, 729, 731, 219, 733, 221, 735, 222, 226, 228, 229, 233, 747, 235, 237, 749, 751, 236, 244, 757, 249, 251, 254, 766, 256, 257, 769, 770, 261, 262, 264, 268, 782, 271, 273, 786, 276, 277, 278, 283, 286, 289, 803, 804, 805, 291, 295, 294, 806, 298, 299, 300, 814, 302, 303, 305, 820, 828, 316, 319, 321, 834, 324, 335, 339, 854, 855, 350, 864, 354, 356, 873, 363, 878, 879, 368, 886, 887, 376, 377, 891, 380, 381, 898, 387, 388, 901, 390, 393, 909, 397, 911, 399, 400, 915, 916, 917, 918, 407, 404, 921, 410, 411, 417, 930, 931, 420, 421, 932, 935, 418, 939, 427, 942, 947, 948, 949, 439, 443, 444, 960, 449, 453, 454, 455, 968, 457, 458, 971, 459, 463, 978, 979, 466, 470, 984, 985, 986, 987, 989, 481, 994, 995, 996, 997, 484, 485, 488, 492, 494, 495, 499, 500, 501, 508, 509, 511}"
56,0.0,0,1,"{982, 983}"
74,0.0,0,1,"{292, 959}"
89,0.0,0,1,"{938, 940}"
96,0.0,0,1,"{736, 927}"
136,0.0,0,1,"{872, 845}"
138,0.0,0,2,"{868, 869, 870}"
148,0.0,0,1,"{857, 775}"
150,0.0,0,2,"{840, 842, 853}"
153,0.0,0,2,"{816, 850, 819}"
154,0.0,0,1,"{849, 162}"
157,0.0,0,2,"{824, 818, 846}"
160,0.0,0,1,"{841, 825}"
163,0.0,0,1,"{811, 837}"
170,0.0,0,1,"{812, 829}"
180,0.0,0,1,"{809, 807}"
184,0.0,0,1,"{800, 678}"
202,0.0,0,2,"{754, 780, 774}"
208,0.0,0,11,"{673, 772, 740, 745, 746, 726, 665, 730}"
212,0.0,0,1,"{764, 765}"
215,100.0,1,1,"{761, 758}"
224,0.0,0,6,"{515, 744, 584, 555, 429, 468, 469}"
225,0.0,0,1,"{710, 743}"
227,0.0,0,2,"{705, 707, 741}"
228,0.0,0,1,"{739, 693}"
242,0.0,0,1,"{307, 715}"
257,0.0,0,1,"{536, 691}"
270,0.0,0,2,"{616, 567, 663}"
282,0.0,0,4,"{644, 618, 588, 590, 630}"
294,0.0,0,1,"{626, 531}"
295,0.0,0,1,"{625, 493}"
298,0.0,0,1,"{614, 622}"
312,0.0,0,2,"{587, 586, 595}"
315,0.0,0,1,"{592, 28}"
320,0.0,0,3,"{491, 582, 486}"
324,0.0,0,1,"{571, 575}"
328,0.0,0,1,"{562, 285}"
338,0.0,0,1,"{539, 223}"
349,0.0,0,1,"{521, 519}"
351,0.0,0,1,"{504, 516}"
355,0.0,0,4,"{471, 440, 441, 506, 445}"
363,0.0,0,1,"{489, 479}"
369,0.0,0,3,"{204, 477, 190, 151}"
373,0.0,0,5,"{320, 231, 464, 309, 473, 315}"
381,0.0,0,1,"{442, 452}"
387,0.0,0,2,"{432, 436, 438}"
389,0.0,0,1,"{435, 431}"
394,0.0,0,2,"{281, 426, 203}"
400,0.0,0,4,"{416, 402, 403, 398}"
401,33.33333333333333,1,3,"{353, 332, 68, 415}"
423,20.0,1,5,"{367, 369, 246, 375, 347}"
424,0.0,0,3,"{282, 214, 374, 230}"
433,0.0,0,1,"{361, 242}"
436,0.0,0,1,"{357, 358}"
446,100.0,1,1,"{340, 342}"
460,100.0,1,1,"{322, 323}"
473,0.0,0,1,"{296, 245}"
483,0.0,0,1,"{272, 266}"
488,0.0,0,1,"{122, 263}"
504,0.0,0,3,"{232, 217, 159}"
519,0.0,0,1,"{189, 167}"
533,0.0,0,1,"{161, 121}"
541,0.0,0,1,"{140, 142}"
546,0.0,0,1,"{132, 135}"
552,0.0,0,4,"{128, 81, 83, 116, 115}"
562,0.0,0,5,"{48, 114, 82, 87, 88, 90}"
575,0.0,0,2,"{96, 98, 100}"
588,0.0,0,3,"{77, 78, 79}"
594,0.0,0,1,"{67, 69}"
