component,percentage,fixes_count,edge_count,component_nodes
18,0.0,0,4,"{320, 293, 332, 349, 351}"
31,0.0,0,2,"{337, 330, 313}"
35,0.0,0,2,"{322, 284, 333}"
41,0.0,0,1,"{325, 303}"
47,7.6923076923076925,3,39,"{134, 136, 17, 147, 151, 154, 160, 162, 166, 169, 170, 171, 178, 317, 193, 67, 77, 80, 86, 221, 223, 225, 226, 99, 230, 103, 104, 232, 109, 113, 116, 119, 120, 122}"
56,0.0,0,1,"{307, 285}"
60,0.0,0,1,"{197, 302}"
66,0.0,0,1,"{296, 243}"
98,0.0,0,8,"{259, 261, 101, 49, 56, 57, 61, 62}"
111,100.0,1,1,"{246, 247}"
112,50.0,1,2,"{229, 242, 245}"
118,0.0,0,1,"{237, 118}"
133,50.0,1,2,"{212, 213, 215}"
136,0.0,0,1,"{210, 125}"
142,100.0,1,1,"{203, 204}"
197,0.0,0,3,"{65, 114, 83, 135}"
221,0.0,0,1,"{96, 97}"
223,100.0,1,1,"{93, 94}"
224,0.0,0,1,"{88, 92}"
225,0.0,0,3,"{89, 90, 91, 22}"
229,0.0,0,2,"{81, 82, 34}"
233,0.0,0,1,"{75, 70}"
234,100.0,1,1,"{73, 74}"
249,0.0,0,1,"{51, 4}"
255,0.0,0,1,"{44, 30}"
262,0.0,0,4,"{24, 33, 21, 37}"
274,100.0,1,1,"{18, 19}"
275,0.0,0,2,"{16, 10, 13}"
