component,percentage,edge_count,max_possible,component_nodes
1,1.4385964912280702,82,5700,"{384, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 682, 51, 282, 56, 57, 668, 448, 71, 294, 76, 462, 592, 209, 594, 780, 598, 474, 608, 1123, 612, 1128, 617, 364, 628, 762, 638, 383}"
31,20.0,6,30,"{1089, 1097, 1081, 1082, 1085, 1086}"
44,13.88888888888889,10,72,"{1057, 1058, 1059, 1043, 1047, 1044, 1079, 1051, 1054}"
59,25.0,3,12,"{1064, 521, 152, 207}"
92,50.0,1,2,"{1020, 1022}"
96,20.0,4,20,"{1001, 1004, 1012, 1016, 1017}"
97,33.33333333333333,2,6,"{929, 402, 1015}"
116,8.088235294117647,22,272,"{993, 961, 967, 776, 777, 970, 975, 976, 977, 978, 591, 980, 799, 954, 955, 636, 959}"
124,50.0,1,2,"{985, 414}"
140,50.0,1,2,"{962, 956}"
157,50.0,1,2,"{938, 940}"
180,50.0,1,2,"{913, 915}"
186,50.0,1,2,"{890, 908}"
194,33.33333333333333,2,6,"{497, 900, 566}"
195,50.0,1,2,"{899, 893}"
203,50.0,1,2,"{889, 885}"
207,33.33333333333333,2,6,"{874, 884, 877}"
209,50.0,1,2,"{881, 882}"
220,50.0,1,2,"{868, 844}"
239,50.0,1,2,"{849, 579}"
265,50.0,1,2,"{816, 822}"
266,45.0,9,20,"{779, 685, 179, 821, 662}"
292,50.0,1,2,"{648, 793}"
298,50.0,1,2,"{787, 527}"
315,20.0,4,20,"{751, 752, 760, 765, 766}"
328,50.0,1,2,"{747, 748}"
336,50.0,1,2,"{713, 739}"
351,16.666666666666664,5,30,"{647, 263, 298, 368, 177, 724}"
361,50.0,1,2,"{714, 708}"
368,50.0,1,2,"{705, 700}"
375,50.0,1,2,"{697, 691}"
377,50.0,1,2,"{689, 695}"
388,50.0,3,6,"{680, 660, 631}"
395,50.0,1,2,"{673, 397}"
396,50.0,1,2,"{672, 671}"
399,50.0,1,2,"{666, 667}"
405,50.0,1,2,"{649, 658}"
407,50.0,1,2,"{656, 251}"
408,11.11111111111111,8,72,"{130, 165, 73, 78, 655, 81, 212, 508, 62}"
416,50.0,1,2,"{641, 644}"
418,33.33333333333333,2,6,"{624, 642, 629}"
419,50.0,1,2,"{640, 639}"
422,50.0,1,2,"{633, 634}"
433,50.0,1,2,"{618, 604}"
434,50.0,1,2,"{616, 127}"
439,50.0,1,2,"{610, 606}"
440,50.0,3,6,"{609, 580, 605}"
499,33.33333333333333,2,6,"{539, 491, 495}"
502,50.0,1,2,"{536, 501}"
522,25.0,3,12,"{312, 514, 316, 309}"
545,21.428571428571427,9,42,"{449, 260, 486, 264, 303, 308, 342}"
558,33.33333333333333,2,6,"{472, 68, 142}"
591,50.0,1,2,"{436, 430}"
592,33.33333333333333,4,12,"{200, 201, 435, 204}"
604,50.0,1,2,"{357, 421}"
636,50.0,1,2,"{386, 374}"
639,50.0,1,2,"{139, 381}"
641,33.33333333333333,2,6,"{376, 379, 375}"
643,50.0,1,2,"{352, 377}"
651,25.0,3,12,"{362, 252, 365, 143}"
654,50.0,1,2,"{360, 337}"
674,50.0,1,2,"{336, 333}"
678,50.0,1,2,"{331, 276}"
681,50.0,1,2,"{328, 261}"
697,16.666666666666664,5,30,"{96, 230, 74, 306, 310, 95}"
705,50.0,1,2,"{297, 259}"
721,50.0,1,2,"{154, 279}"
733,50.0,1,2,"{266, 262}"
758,50.0,1,2,"{232, 233}"
777,15.277777777777779,11,72,"{161, 195, 163, 168, 141, 211, 186, 156, 61}"
803,33.33333333333333,2,6,"{176, 170, 172}"
809,50.0,1,2,"{166, 167}"
812,50.0,1,2,"{160, 157}"
813,50.0,1,2,"{128, 159}"
817,50.0,1,2,"{150, 151}"
858,50.0,1,2,"{100, 102}"
863,33.33333333333333,2,6,"{89, 60, 94}"
865,50.0,1,2,"{92, 87}"
866,50.0,1,2,"{90, 91}"
872,50.0,1,2,"{82, 79}"
879,50.0,1,2,"{66, 67}"
