component,percentage,edge_count,max_possible,component_nodes
5,33.33333333333333,2,6,"{369, 418, 343}"
14,50.0,1,2,"{408, 409}"
23,33.33333333333333,2,6,"{397, 398, 399}"
28,50.0,1,2,"{392, 391}"
29,33.33333333333333,2,6,"{112, 129, 390}"
45,50.0,1,2,"{201, 374}"
56,7.352941176470589,20,272,"{101, 70, 40, 59, 362, 74, 139, 13, 14, 45, 17, 18, 20, 118, 119, 57, 27}"
57,13.88888888888889,10,72,"{192, 323, 69, 361, 332, 172, 271, 272, 310}"
61,20.0,4,20,"{357, 327, 247, 250, 190}"
64,50.0,1,2,"{354, 131}"
67,33.33333333333333,2,6,"{320, 185, 351}"
81,25.0,3,12,"{336, 92, 37, 62}"
100,50.0,1,2,"{313, 311}"
115,50.0,1,2,"{296, 228}"
118,33.33333333333333,2,6,"{50, 51, 293}"
131,33.33333333333333,2,6,"{280, 48, 99}"
132,50.0,1,2,"{64, 279}"
133,50.0,1,2,"{187, 278}"
139,50.0,1,2,"{145, 270}"
161,50.0,3,6,"{184, 182, 246}"
167,50.0,1,2,"{240, 210}"
172,14.285714285714285,6,42,"{224, 225, 226, 229, 230, 235, 220}"
186,50.0,1,2,"{205, 214}"
190,33.33333333333333,2,6,"{209, 21, 95}"
194,50.0,1,2,"{204, 117}"
198,50.0,1,2,"{195, 199}"
199,50.0,1,2,"{189, 198}"
200,50.0,1,2,"{35, 197}"
208,50.0,1,2,"{181, 175}"
238,50.0,1,2,"{149, 55}"
244,50.0,1,2,"{121, 142}"
246,50.0,1,2,"{138, 140}"
252,33.33333333333333,2,6,"{120, 89, 132}"
258,50.0,1,2,"{34, 124}"
265,50.0,1,2,"{41, 111}"
270,50.0,1,2,"{106, 93}"
271,50.0,1,2,"{105, 78}"
272,50.0,1,2,"{104, 77}"
277,50.0,1,2,"{97, 61}"
296,50.0,1,2,"{39, 71}"
305,50.0,1,2,"{43, 54}"
319,50.0,1,2,"{29, 22}"
320,50.0,1,2,"{28, 23}"
