component,percentage,edge_count,max_possible,component_nodes
0,19.047619047619047,8,42,"{740, 689, 723, 694, 697, 666, 730}"
1,50.0,1,2,"{736, 739}"
7,50.0,1,2,"{732, 727}"
10,50.0,1,2,"{728, 663}"
11,50.0,3,6,"{725, 726, 679}"
13,50.0,1,2,"{722, 711}"
17,33.33333333333333,2,6,"{696, 171, 717}"
24,25.0,3,12,"{691, 708, 701, 702}"
26,21.428571428571427,12,56,"{706, 523, 555, 621, 590, 570, 700, 542}"
29,2.4705882352941173,63,2550,"{1, 131, 133, 10, 267, 140, 654, 655, 400, 656, 143, 658, 20, 21, 24, 537, 538, 540, 669, 670, 32, 38, 39, 680, 681, 684, 557, 686, 48, 50, 693, 443, 66, 68, 212, 599, 88, 350, 101, 110, 368, 625, 114, 626, 116, 117, 118, 503, 628, 637, 638}"
34,50.0,3,6,"{682, 683, 685}"
35,50.0,1,2,"{662, 678}"
49,33.33333333333333,2,6,"{313, 659, 311}"
53,50.0,1,2,"{640, 651}"
54,50.0,1,2,"{649, 650}"
55,50.0,1,2,"{648, 595}"
67,20.0,4,20,"{609, 610, 633, 603, 604}"
72,1.8990384615384615,79,4160,"{385, 386, 261, 391, 392, 135, 263, 265, 12, 141, 527, 529, 402, 531, 276, 530, 406, 152, 153, 410, 548, 550, 423, 168, 554, 170, 172, 175, 176, 178, 563, 308, 179, 439, 441, 444, 572, 190, 320, 448, 195, 452, 454, 331, 77, 462, 466, 467, 216, 475, 478, 351, 480, 482, 484, 486, 487, 495, 497, 627, 373, 375, 506, 382, 511}"
79,25.0,3,12,"{617, 177, 188, 181}"
89,30.0,6,20,"{594, 596, 597, 598, 605}"
90,20.0,4,20,"{428, 435, 600, 601, 602}"
93,50.0,1,2,"{544, 591}"
114,50.0,1,2,"{566, 567}"
119,50.0,1,2,"{560, 321}"
140,33.33333333333333,4,12,"{401, 251, 525, 253}"
144,25.0,3,12,"{520, 473, 516, 517}"
146,50.0,1,2,"{515, 518}"
156,10.0,11,110,"{297, 298, 459, 396, 299, 395, 303, 340, 469, 502, 286}"
163,25.0,5,20,"{490, 491, 492, 493, 447}"
164,33.33333333333333,2,6,"{489, 468, 463}"
179,20.0,4,20,"{130, 137, 460, 442, 123}"
193,50.0,1,2,"{378, 436}"
195,50.0,1,2,"{433, 421}"
200,50.0,1,2,"{193, 427}"
208,50.0,1,2,"{417, 322}"
229,50.0,1,2,"{387, 381}"
231,50.0,1,2,"{353, 383}"
233,33.33333333333333,2,6,"{241, 2, 379}"
249,50.0,1,2,"{28, 359}"
251,33.33333333333333,2,6,"{357, 22, 23}"
255,50.0,1,2,"{352, 200}"
262,50.0,1,2,"{266, 343}"
265,50.0,1,2,"{339, 163}"
291,50.0,1,2,"{306, 239}"
296,50.0,1,2,"{291, 300}"
306,25.0,3,12,"{5, 3, 4, 285}"
312,50.0,1,2,"{277, 279}"
317,50.0,1,2,"{272, 235}"
319,33.33333333333333,4,12,"{145, 258, 142, 270}"
321,50.0,1,2,"{250, 268}"
323,33.33333333333333,2,6,"{208, 262, 207}"
327,50.0,1,2,"{256, 213}"
348,50.0,1,2,"{228, 229}"
349,33.33333333333333,2,6,"{136, 226, 227}"
370,50.0,1,2,"{198, 199}"
377,50.0,1,2,"{187, 183}"
383,28.57142857142857,12,42,"{160, 162, 169, 174, 148, 150, 156}"
394,50.0,1,2,"{154, 134}"
405,50.0,1,2,"{126, 127}"
416,30.0,9,30,"{104, 108, 109, 52, 53, 95}"
418,50.0,1,2,"{106, 82}"
424,33.33333333333333,2,6,"{96, 98, 61}"
435,50.0,1,2,"{80, 84}"
454,50.0,1,2,"{49, 59}"
469,50.0,1,2,"{19, 37}"
470,50.0,1,2,"{36, 31}"
472,50.0,1,2,"{34, 30}"
478,50.0,1,2,"{17, 18}"
