component,percentage,fixes_count,edge_count,component_nodes
11,66.66666666666666,2,3,"{803, 812, 813}"
17,0.0,0,41,"{385, 1, 772, 7, 395, 14, 274, 276, 533, 277, 285, 414, 413, 417, 420, 806, 422, 552, 710, 330, 331, 203, 335, 80, 81, 344, 478, 486, 359, 365, 367, 623, 116, 503, 381}"
53,0.0,0,2,"{768, 598, 471}"
77,0.0,0,1,"{744, 35}"
78,14.285714285714285,1,7,"{736, 741, 743, 656, 240, 436, 729}"
92,0.0,0,2,"{652, 726, 687}"
97,0.0,0,8,"{256, 554, 364, 378, 176, 721, 25, 410, 702}"
98,0.0,0,1,"{720, 716}"
112,0.0,0,1,"{704, 588}"
187,25.0,1,4,"{625, 530, 509, 462}"
228,0.0,0,1,"{580, 581}"
231,0.0,0,1,"{576, 577}"
278,0.0,0,5,"{67, 488, 104, 525, 94, 95}"
282,0.0,0,1,"{520, 521}"
300,0.0,0,1,"{498, 500}"
314,0.0,0,1,"{482, 483}"
326,0.0,0,1,"{467, 468}"
336,0.0,0,1,"{456, 451}"
340,0.0,0,2,"{360, 353, 452}"
345,0.0,0,1,"{252, 446}"
346,0.0,0,2,"{376, 237, 445}"
350,0.0,0,1,"{441, 2}"
377,0.0,0,1,"{315, 407}"
380,0.0,0,1,"{56, 404}"
381,0.0,0,2,"{392, 394, 403}"
386,0.0,0,1,"{397, 398}"
388,0.0,0,1,"{393, 257}"
403,0.0,0,1,"{45, 373}"
411,100.0,1,1,"{361, 362}"
417,0.0,0,1,"{352, 338}"
434,0.0,0,1,"{332, 319}"
437,0.0,0,2,"{296, 246, 327}"
449,0.0,0,1,"{313, 302}"
452,0.0,0,1,"{309, 310}"
465,0.0,0,1,"{289, 294}"
469,0.0,0,8,"{129, 290, 122, 40, 105, 19, 245, 57, 26}"
492,0.0,0,1,"{262, 255}"
538,0.0,0,1,"{208, 205}"
540,0.0,0,1,"{72, 206}"
549,0.0,0,1,"{194, 195}"
550,0.0,0,1,"{193, 10}"
557,0.0,0,1,"{186, 126}"
562,0.0,0,1,"{180, 181}"
566,0.0,0,1,"{147, 175}"
574,0.0,0,1,"{163, 167}"
576,0.0,0,1,"{162, 165}"
578,0.0,0,1,"{161, 46}"
592,0.0,0,1,"{145, 146}"
596,0.0,0,1,"{131, 141}"
628,0.0,0,1,"{98, 102}"
631,0.0,0,1,"{96, 99}"
665,0.0,0,1,"{54, 55}"
