component,percentage,edge_count,max_possible,component_nodes
9,50.0,1,2,"{392, 391}"
29,50.0,1,2,"{371, 131}"
36,1.883116883116883,58,3080,"{258, 138, 266, 272, 276, 279, 282, 155, 284, 283, 285, 287, 160, 290, 165, 296, 297, 299, 300, 301, 302, 175, 305, 313, 316, 317, 318, 319, 321, 325, 326, 328, 333, 205, 338, 210, 340, 341, 342, 343, 218, 348, 349, 351, 352, 353, 356, 358, 231, 360, 233, 105, 364, 239, 121, 254}"
49,50.0,1,2,"{320, 339}"
60,50.0,1,2,"{323, 286}"
69,25.0,3,12,"{307, 213, 294, 215}"
71,50.0,1,2,"{304, 67}"
87,50.0,1,2,"{268, 271}"
90,50.0,1,2,"{267, 246}"
96,33.33333333333333,2,6,"{257, 259, 260}"
115,50.0,1,2,"{234, 235}"
118,50.0,1,2,"{82, 229}"
126,50.0,1,2,"{217, 221}"
127,50.0,1,2,"{195, 220}"
137,50.0,1,2,"{204, 63}"
151,50.0,1,2,"{188, 189}"
154,33.33333333333333,2,6,"{184, 185, 181}"
177,16.666666666666664,5,30,"{4, 143, 144, 145, 150, 157}"
182,50.0,1,2,"{11, 151}"
187,33.33333333333333,2,6,"{122, 69, 142}"
191,33.33333333333333,2,6,"{137, 3, 1}"
194,50.0,1,2,"{133, 134}"
231,50.0,1,2,"{91, 92}"
