component,percentage,fixes_count,edge_count,component_nodes
9,0.0,0,1,"{392, 391}"
29,0.0,0,1,"{371, 131}"
36,3.4482758620689653,2,58,"{258, 138, 266, 272, 276, 279, 282, 155, 284, 283, 285, 287, 160, 290, 165, 296, 297, 299, 300, 301, 302, 175, 305, 313, 316, 317, 318, 319, 321, 325, 326, 328, 333, 205, 338, 210, 340, 341, 342, 343, 218, 348, 349, 351, 352, 353, 356, 358, 231, 360, 233, 105, 364, 239, 121, 254}"
49,0.0,0,1,"{320, 339}"
60,0.0,0,1,"{323, 286}"
69,0.0,0,3,"{307, 213, 294, 215}"
71,0.0,0,1,"{304, 67}"
87,0.0,0,1,"{268, 271}"
90,100.0,1,1,"{267, 246}"
96,0.0,0,2,"{257, 259, 260}"
115,0.0,0,1,"{234, 235}"
118,0.0,0,1,"{82, 229}"
126,0.0,0,1,"{217, 221}"
127,0.0,0,1,"{195, 220}"
137,0.0,0,1,"{204, 63}"
151,0.0,0,1,"{188, 189}"
154,0.0,0,2,"{184, 185, 181}"
177,0.0,0,5,"{4, 143, 144, 145, 150, 157}"
182,0.0,0,1,"{11, 151}"
187,0.0,0,2,"{122, 69, 142}"
191,0.0,0,2,"{137, 3, 1}"
194,0.0,0,1,"{133, 134}"
231,0.0,0,1,"{91, 92}"
