repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_comments,Link Type,Quotes
sosedoff/pgweb,54915,https://github.com/sosedoff/pgweb/issues/480#issuecomment-668324478,issue,480,https://github.com/gabrieljones,14,issue,222,https://github.com/zoujd-github,5,similar,#222 is related
,,,,,,,,,,,,
,,,,,,,,,,,,
cruffenach/CRToast,18052,https://github.com/cruffenach/CRToast/pull/16#issuecomment-35463585,pull_request,16,https://github.com/Ashton-W,2,pull_request,21,https://github.com/cruffenach,0,improves,Rebased and merged via #21.
cruffenach/CRToast,18052,https://github.com/cruffenach/CRToast/issues/10#issuecomment-35165970,issue,10,https://github.com/Ashton-W,2,issue,8,https://github.com/phillipthelen,3,context,"I dig it. I'm gonna tackle #8 first, I could give this a shot after."
cruffenach/CRToast,18052,https://github.com/cruffenach/CRToast/pull/16#issue-27775625,pull_request,16,https://github.com/Ashton-W,2,issue,10,https://github.com/Ashton-W,2,fixes,Satisfies #10
,,,,,,,,,,,,
,,,,,,,,,,,,
ag-grid/ag-grid,4869,https://github.com/ag-grid/ag-grid/pull/3468#issue-512443375,pull_request,3468,https://github.com/deser,2,issue,3467,https://github.com/deser,4,fixes,Fixes #3467
ag-grid/ag-grid,4869,https://github.com/ag-grid/ag-grid/pull/3685#issue-569971525,pull_request,3685,https://github.com/HipsterZipster,1,pull_request,3468,https://github.com/deser,2,irrelevant,This was fixed on master in #3468
,,,pull_request,3685,,,issue,3467,,,irrelevant,Reported in: #3467
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/pull/2134#issue-316528590,pull_request,2134,https://github.com/maranomynet,1,pull_request,2133,https://github.com/maranomynet,15,impact,Discovered while testing #2133
,,,pull_request,2137,,,pull_request,2133,,,improves,In response to suggestions made in #2133
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/pull/2137#issuecomment-386926318,pull_request,2137,https://github.com/maranomynet,23,pull_request,2141,https://github.com/maranomynet,12,improves,Superseeded by #2141
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/issues/2138#issuecomment-386708665,issue,2138,https://github.com/maranomynet,6,pull_request,2139,https://github.com/maranomynet,3,irrelevant,"Adding this in such an obviously half-baked state to 2137 just messes things up, so I reverted those commits and put them in a standalone pull-request #2139"
,,,issue,2138,,,pull_request,2137,,,context,"Great! you can add it as ospec/change-log.md, in #2137 .... It would have been good in #2137 as well, I don't think anyone cares about the details of pre v1.4 history :-)"
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/pull/2142#issue-320639751,pull_request,2142,https://github.com/maranomynet,0,pull_request,2141,https://github.com/maranomynet,12,improves,My bad. #2141 was broken when merged
,,,pull_request,2141,,,pull_request,2137,,,improves,Feel free to ignore this pull request. Its sole purpose is to illustrate what an alternative approach to #2137 and #2133 could look like – if only ospec was treated like a first-class package allowing a single dependency for the node.js binary.
,,,pull_request,2141,,,pull_request,2133,,,improves,Feel free to ignore this pull request. Its sole purpose is to illustrate what an alternative approach to #2137 and #2133 could look like – if only ospec was treated like a first-class package allowing a single dependency for the node.js binary.
,,,,,,,,,,,,
rematch/rematch,52493,https://github.com/rematch/rematch/issues/51#issue-266713150,issue,51,https://github.com/ShMcK,1,pull_request,56,https://github.com/ShMcK,4,fixes,closed once #56 is ready to merge.
rematch/rematch,52493,https://github.com/rematch/rematch/issues/48#issue-266695777,issue,48,https://github.com/ShMcK,4,pull_request,56,https://github.com/ShMcK,4,fixes,closed when #56 merges.
rematch/rematch,52493,https://github.com/rematch/rematch/pull/56#issue-267434858,pull_request,56,https://github.com/ShMcK,4,issue,52,https://github.com/ShMcK,0,fixes,"Closes #52. Once resolved, should handle multiple subscriptions with the same name in different models."
,,,,,,,,,,,,
mlflow/mlflow,40078,https://github.com/mlflow/mlflow/issues/1487#issuecomment-573033558,issue,1487,https://github.com/hershaw,25,pull_request,2289,https://github.com/hershaw,0,fixes,See #1487 for full discussion
,,,,,,,,,,,,
Project-OSRM/osrm-backend,45584,https://github.com/Project-OSRM/osrm-backend/issues/556#issuecomment-11846073,issue,556,https://github.com/vanomel,4,issue,529,https://github.com/jose1711,4,duplicate,see #529 and #532 for other reports on turn instructions
Project-OSRM/osrm-backend,45584,https://github.com/Project-OSRM/osrm-backend/issues/556#issuecomment-11846073,issue,556,https://github.com/vanomel,4,issue,532,https://github.com/emiltin,6,duplicate,see #529 and #532 for other reports on turn instructions
Project-OSRM/osrm-backend,45584,https://github.com/Project-OSRM/osrm-backend/issues/532#issuecomment-13989749,issue,532,https://github.com/emiltin,6,pull_request,596,https://github.com/emiltin,8,fixes,simpler solution at #596
,,,,,,,,,,,,
TypeStrong/ts-node,63252,https://github.com/TypeStrong/ts-node/issues/184#issue-172536561,issue,184,https://github.com/xogeny,10,issue,163,https://github.com/pleerock,14,context,I should add that this is on Windows (related to #163 or #137 ?).
,,,issue,184,,,issue,137,,,context,
TypeStrong/ts-node,63252,https://github.com/TypeStrong/ts-node/issues/163#issuecomment-236356467,issue,163,https://github.com/pleerock,14,issue,137,https://github.com/wclr,21,context,
,,,,,,,,,,,,
chaijs/chai,17046,https://github.com/chaijs/chai/pull/1458#issue-1154090179,pull_request,1458,https://github.com/snewcomer,2,issue,1358,https://github.com/derMart,1,fixes,close #1358
,,,,,,,,,,,,
SwipeCellKit/SwipeCellKit,58774,https://github.com/SwipeCellKit/SwipeCellKit/issues/4#issue-208885555,issue,4,https://github.com/fabb,23,pull_request,188,https://github.com/kurabi,1,fixes,This feature is now complete and has been merged onto master. #188.
,,,pull_request,45,,,issue,4,,,fixes,"#4
Initial support for UICollectionView."
SwipeCellKit/SwipeCellKit,58774,https://github.com/SwipeCellKit/SwipeCellKit/pull/45#issuecomment-359907402,pull_request,45,https://github.com/gcox,15,pull_request,142,https://github.com/kreeger,6,improves,The updated pull request has been posted (#142)! This one can be closed in favor of the other one.
,,,pull_request,142,,,pull_request,45,,,improves,This pull request supersedes #45.
SwipeCellKit/SwipeCellKit,58774,https://github.com/SwipeCellKit/SwipeCellKit/pull/142#issuecomment-383320036,pull_request,142,https://github.com/kreeger,6,pull_request,188,https://github.com/kurabi,1,improves,Follow PR #188
,,,issue,4,,,pull_request,142,,,context,"@fabb That is fine, but when there is an open PR (#142) that @kurabi said he would review over the next few days back on January 25th, with no updates since that is not open source."
,,,,,,,,,,,,
apache/dubbo,11032,https://github.com/apache/dubbo/pull/300#issuecomment-332460871,pull_request,300,https://github.com/x1957,3,issue,664,https://github.com/li362692680,5,ignore,Fixed. see #664
apache/dubbo,11032,https://github.com/apache/dubbo/issues/6533#issue-667655978,issue,6533,https://github.com/dcy421,1,issue,664,https://github.com/li362692680,5,ignore,
apache/dubbo,11032,https://github.com/apache/dubbo/pull/694#issue-260848428,pull_request,694,https://github.com/zonghaishang,0,pull_request,300,https://github.com/x1957,3,ignore,
,,,,300,,,,694,,,ignore,This is a duplication of the previous one.
,,,,,,,,,,,,
summernote/summernote,58392,https://github.com/summernote/summernote/issues/240#issue-27749231,issue,240,https://github.com/loicbenoit,7,pull_request,260,https://github.com/loicbenoit,2,fixes,Done for fr-FR (#260)
,,,issue,240,,,pull_request,250,,,fixes,Done for RU and UA (#250)
summernote/summernote,58392,https://github.com/summernote/summernote/pull/248#issue-28092235,pull_request,248,https://github.com/takyam-git,1,issue,240,https://github.com/loicbenoit,7,fixes,for #240 (title: Add 'remove image' to ja-JP)
summernote/summernote,58392,https://github.com/summernote/summernote/pull/249#issue-28095026,pull_request,249,https://github.com/taalendigitaal,3,issue,240,https://github.com/loicbenoit,7,fixes,for #240 (title: updated dutch (nl-NL) translations)
,58392,,,249,,,issue,122,,,fixes,and also for #122 (title: updated dutch (nl-NL) translations)
summernote/summernote,58392,https://github.com/summernote/summernote/pull/203#issuecomment-33893405,pull_request,203,https://github.com/xguox,2,issue,122,https://github.com/gcpds,4,fixes,"#122 (title: open in new window , zh-CN)"
summernote/summernote,58392,https://github.com/summernote/summernote/pull/204#issue-26755812,pull_request,204,https://github.com/takyam-git,0,issue,122,https://github.com/gcpds,4,fixes,"for summernote #122 (title: add 'open in new window' tlanslate to ja-JP, for issue #122)"
,,,,,,,,,,,,
Activiti/Activiti,1433,https://github.com/Activiti/Activiti/issues/2214#issuecomment-442294073,issue,2214,https://github.com/igdianov,4,pull_request,2216,https://github.com/igdianov,1,fixes,@salaboy I created all PRs for dependency convergence tests in Cloud and updated Core repos to include transitive BoM dependencies when we release them into Cloud. (...) Automated tests for dependencies convergence in CI pipelines for Activiti Cloud #2216
Activiti/Activiti,1433,https://github.com/Activiti/Activiti/pull/2216#issue-385039979,pull_request,2216,https://github.com/igdianov,1,issue,2215,https://github.com/igdianov,0,fixes,Part of #2214 and #2172 and #2215
,,,pull_request,2216,,,issue,2214,,,fixes,Part of #2214 and #2172 and #2215
,,,pull_request,2216,,,issue,2172,,,fixes,Part of #2214 and #2172 and #2215
Activiti/Activiti,1433,https://github.com/Activiti/Activiti/issues/2198#issuecomment-441157000,issue,2198,https://github.com/igdianov,2,pull_request,2199,https://github.com/igdianov,1,fixes,@salaboy I have prepared the PRs to be merged: #2199
Activiti/Activiti,1433,https://github.com/Activiti/Activiti/pull/2199#issue-383700907,pull_request,2199,https://github.com/igdianov,1,issue,2200,https://github.com/igdianov,2,fixes,"Also, added same parent version convergence test as part of #2200"
Activiti/Activiti,1433,https://github.com/Activiti/Activiti/pull/2199#issue-383700907,pull_request,2199,https://github.com/igdianov,1,issue,2172,https://github.com/igdianov,2,fixes,It also fixes Maven-deploy-plugin configuration to follow best practice for deploying multi-module project at the end. (See #2172)
,,,pull_request,2199,,,issue,2198,,,,This PR proposes to add dependency convergence tests for external activiti-api and activiti-core-common dependencies as part of #2198.
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/791#issue-22523924,issue,791,https://github.com/clintharris,4,issue,802,https://github.com/clintharris,27,improves,closing here in favor of #802
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/802#issuecomment-28694591,issue,802,https://github.com/clintharris,27,issue,798,https://github.com/clintharris,9,context,"In light of #798, what's your ..."
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/3839#issue-215347211,issue,3839,https://github.com/Pcosmin,3,issue,802,https://github.com/clintharris,27,context,"I found this comment from DennisOSRM from Nov 18, 2013
""Make sure that you load the correct files. Right now, you will need around 48 GB of RAM to run the server on the planet-wide dataset."" (#802)"
,,,,,,,,,,,,
