key,repo_name,nodes,diameter,density
0,Activiti/Activiti,"[4011, 4013]",1,0.5
1,Activiti/Activiti,"[3984, 3983]",1,0.5
2,Activiti/Activiti,"[3980, 3981]",1,0.5
3,Activiti/Activiti,"[3968, 3969, 3978]",2,0.3333333333333333
4,Activiti/Activiti,"[3966, 3967]",1,0.5
5,Activiti/Activiti,"[3964, 3965]",1,0.5
6,Activiti/Activiti,"[3960, 3911]",1,0.5
7,Activiti/Activiti,"[3957, 3958]",1,0.5
8,Activiti/Activiti,"[3938, 3949]",1,0.5
9,Activiti/Activiti,"[3916, 3943]",1,0.5
10,Activiti/Activiti,"[3939, 3877]",1,0.5
11,Activiti/Activiti,"[3925, 3926]",1,0.5
12,Activiti/Activiti,"[3920, 3904]",1,0.5
13,Activiti/Activiti,"[3882, 3919]",1,0.5
14,Activiti/Activiti,"[3912, 3910]",1,0.5
15,Activiti/Activiti,"[3900, 3901]",1,0.5
16,Activiti/Activiti,"[3892, 3887]",1,0.5
17,Activiti/Activiti,"[3873, 3826, 3828, 3825]",2,0.25
18,Activiti/Activiti,"[3867, 3837, 3838]",2,0.3333333333333333
19,Activiti/Activiti,"[3856, 3855]",1,0.5
20,Activiti/Activiti,"[3850, 3851]",1,0.5
21,Activiti/Activiti,"[3836, 3844]",1,0.5
22,Activiti/Activiti,"[3840, 3819, 3820]",2,0.3333333333333333
23,Activiti/Activiti,"[3829, 3773]",1,0.5
24,Activiti/Activiti,"[3817, 3818]",1,0.5
25,Activiti/Activiti,"[3813, 3814]",1,0.5
26,Activiti/Activiti,"[3787, 3788, 3799]",2,0.3333333333333333
27,Activiti/Activiti,"[3796, 3798]",1,0.5
28,Activiti/Activiti,"[2507, 3790, 2577, 2579, 2428]",3,0.2
29,Activiti/Activiti,"[3784, 3785, 3765]",2,0.3333333333333333
30,Activiti/Activiti,"[3782, 3783]",1,0.5
31,Activiti/Activiti,"[3769, 1639]",1,0.5
32,Activiti/Activiti,"[3744, 3745]",1,0.5
33,Activiti/Activiti,"[3741, 3742]",1,0.5
34,Activiti/Activiti,"[3738, 3740]",1,0.5
35,Activiti/Activiti,"[3732, 3733]",1,0.5
36,Activiti/Activiti,"[3718, 3719]",1,0.5
37,Activiti/Activiti,"[3704, 3707, 3710, 3711]",3,0.25
38,Activiti/Activiti,"[3688, 3689]",1,0.5
39,Activiti/Activiti,"[3684, 3685]",1,0.5
40,Activiti/Activiti,"[3680, 3674]",1,0.5
41,Activiti/Activiti,"[1721, 3658]",1,0.5
42,Activiti/Activiti,"[3627, 3655]",1,0.5
43,Activiti/Activiti,"[3651, 1211]",1,0.5
44,Activiti/Activiti,"[3633, 3650]",1,0.5
45,Activiti/Activiti,"[3648, 3249]",1,0.5
46,Activiti/Activiti,"[2856, 3646]",1,0.5
47,Activiti/Activiti,"[3640, 3641]",1,0.5
48,Activiti/Activiti,"[3619, 3638]",1,0.5
49,Activiti/Activiti,"[3242, 3628, 3629]",2,0.3333333333333333
50,Activiti/Activiti,"[3588, 3623]",1,0.5
51,Activiti/Activiti,"[3498, 3618, 3499, 3620]",3,0.25
52,Activiti/Activiti,"[3608, 3606]",1,0.5
53,Activiti/Activiti,"[3604, 3589]",1,0.5
54,Activiti/Activiti,"[3493, 3594, 3370, 3056, 3025, 3029]",4,0.16666666666666666
55,Activiti/Activiti,"[3584, 3585]",1,0.5
56,Activiti/Activiti,"[3465, 3578, 3566, 3570]",3,0.25
57,Activiti/Activiti,"[3571, 3572]",1,0.5
58,Activiti/Activiti,"[3556, 3559]",1,0.5
59,Activiti/Activiti,"[3548, 3549]",1,0.5
60,Activiti/Activiti,"[3536, 3481, 3529]",2,0.3333333333333333
61,Activiti/Activiti,"[3518, 3519]",1,0.5
62,Activiti/Activiti,"[3409, 3506, 3396, 3394]",2,0.25
63,Activiti/Activiti,"[3299, 3236, 3497, 3019, 3341, 3342, 3343, 3505, 3282, 3292, 3286, 3322, 3324]",3,0.08974358974358974
64,Activiti/Activiti,"[2197, 3495]",1,0.5
