,,
mlflow/mlflow,4,1.65
jupyterhub/jupyterhub,3,0.76
apache/dubbo,3,0.76
kubernetes-sigs/kustomize,2,-0.13
rematch/rematch,1,-1.02
Rapptz/discord.py,1,-1.02
MithrilJS/mithril.js,1,-1.02
,,
TypeStrong/ts-node,29,2.42
kubernetes-sigs/kustomize,28,2.31
apache/dubbo,25,1.96
mlflow/mlflow,24,1.84
MithrilJS/mithril.js,14,0.69
jupyterhub/jupyterhub,13,0.57
varvet/pundit,11,0.34
fantasyland/fantasy-land,8,-0.01
summernote/summernote,7,-0.12
grpc/grpc-web,7,-0.12
Project-OSRM/osrm-backend,6,-0.24
chaijs/chai,5,-0.36
nytimes/NYTPhotoViewer,5,-0.36
deployphp/deployer,4,-0.47
casesandberg/react-color,4,-0.47
BurntSushi/toml,3,-0.59
redis/redis-rb,3,-0.59
Rapptz/discord.py,3,-0.59
rematch/rematch,2,-0.7
tristanhimmelman/ObjectMapper,2,-0.7
App-vNext/Polly,2,-0.7
MagicStack/uvloop,1,-0.82
rauchg/slackin,1,-0.82
iron/iron,1,-0.82
transitive-bullshit/create-react-library,1,-0.82
jonschlinkert/remarkable,1,-0.82
,,
App-vNext/Polly,132,3.97
kubernetes-sigs/kustomize,62,1.53
chaijs/chai,52,1.18
Project-OSRM/osrm-backend,43,0.87
jupyterhub/jupyterhub,42,0.83
TypeStrong/ts-node,31,0.45
apache/dubbo,22,0.14
MithrilJS/mithril.js,22,0.14
rematch/rematch,16,-0.07
grpc/grpc-web,7,-0.39
nytimes/NYTPhotoViewer,6,-0.42
tiny-dnn/tiny-dnn,6,-0.42
imbrn/v8n,4,-0.49
BurntSushi/toml,3,-0.53
summernote/summernote,3,-0.53
mlflow/mlflow,3,-0.53
meliorence/react-native-snap-carousel,2,-0.56
redis/redis-rb,2,-0.56
MagicStack/uvloop,2,-0.56
Activiti/Activiti,2,-0.56
iron/iron,2,-0.56
Rapptz/discord.py,2,-0.56
duo-labs/cloudmapper,2,-0.56
