repo_name,component_id,url,nodes,total_comment_count,component_size
Activiti/Activiti,1,https://github.com/Activiti/Activiti/issues/4011,"[4011, 4013]",2,2
Activiti/Activiti,29,https://github.com/Activiti/Activiti/issues/3984,"[3984, 3983]",0,2
Activiti/Activiti,31,https://github.com/Activiti/Activiti/issues/3980,"[3980, 3981]",0,2
Activiti/Activiti,33,https://github.com/Activiti/Activiti/issues/3968,"[3968, 3969, 3978]",0,3
Activiti/Activiti,42,https://github.com/Activiti/Activiti/issues/3966,"[3966, 3967]",0,2
Activiti/Activiti,43,https://github.com/Activiti/Activiti/issues/3964,"[3964, 3965]",0,2
Activiti/Activiti,47,https://github.com/Activiti/Activiti/issues/3960,"[3960, 3911]",3,2
Activiti/Activiti,49,https://github.com/Activiti/Activiti/issues/3957,"[3957, 3958]",0,2
Activiti/Activiti,57,https://github.com/Activiti/Activiti/issues/3938,"[3938, 3949]",0,2
Activiti/Activiti,63,https://github.com/Activiti/Activiti/issues/3916,"[3916, 3943]",3,2
Activiti/Activiti,79,https://github.com/Activiti/Activiti/issues/3925,"[3925, 3926]",0,2
Activiti/Activiti,84,https://github.com/Activiti/Activiti/issues/3920,"[3920, 3904]",0,2
Activiti/Activiti,91,https://github.com/Activiti/Activiti/issues/3912,"[3912, 3910]",1,2
ag-grid/ag-grid,3352,https://github.com/ag-grid/ag-grid/issues/5330,"[5330, 5333]",2,2
ag-grid/ag-grid,3365,https://github.com/ag-grid/ag-grid/issues/5302,"[5302, 5319]",3,2
ag-grid/ag-grid,3372,https://github.com/ag-grid/ag-grid/issues/5312,"[5312, 5284]",9,2
ag-grid/ag-grid,3379,https://github.com/ag-grid/ag-grid/issues/5305,"[5305, 5303]",1,2
ag-grid/ag-grid,3385,https://github.com/ag-grid/ag-grid/issues/5280,"[5280, 5297]",7,2
ag-grid/ag-grid,3416,https://github.com/ag-grid/ag-grid/issues/5264,"[5264, 5243]",12,2
ag-grid/ag-grid,3422,https://github.com/ag-grid/ag-grid/issues/5200,"[5200, 5258, 5211]",6,3
ag-grid/ag-grid,3447,https://github.com/ag-grid/ag-grid/issues/5216,"[5216, 5218, 5227, 5232, 5209]",10,5
ag-grid/ag-grid,3450,https://github.com/ag-grid/ag-grid/issues/5226,"[5226, 5229]",5,2
ag-grid/ag-grid,3485,https://github.com/ag-grid/ag-grid/issues/5161,"[5161, 5162]",2,2
ag-grid/ag-grid,3488,https://github.com/ag-grid/ag-grid/issues/5128,"[5128, 5158]",11,2
ag-grid/ag-grid,3524,https://github.com/ag-grid/ag-grid/issues/5120,"[5120, 5121, 5112, 5119]",14,4
ag-grid/ag-grid,3538,https://github.com/ag-grid/ag-grid/issues/5104,"[5104, 5085, 5088]",24,3
apache/dubbo,8483,https://github.com/apache/dubbo/issues/10306,"[10306, 10327, 10303]",15,3
apache/dubbo,8496,https://github.com/apache/dubbo/issues/10312,"[10312, 10313, 10274, 10267]",8,4
apache/dubbo,8503,https://github.com/apache/dubbo/issues/10304,"[10304, 10257, 10262]",33,3
apache/dubbo,8506,https://github.com/apache/dubbo/issues/10256,"[10256, 10196, 10197, 10170, 10043, 10300]",97,6
apache/dubbo,8507,https://github.com/apache/dubbo/issues/10164,"[10164, 10299, 10188]",29,3
apache/dubbo,8509,https://github.com/apache/dubbo/issues/10297,"[10297, 10283]",7,2
apache/dubbo,8513,https://github.com/apache/dubbo/issues/10289,"[10289, 10293]",3,2
apache/dubbo,8516,https://github.com/apache/dubbo/issues/10288,"[10288, 10290]",2,2
apache/dubbo,8540,https://github.com/apache/dubbo/issues/10248,"[10248, 10258, 10236]",14,3
apache/dubbo,8544,https://github.com/apache/dubbo/issues/10249,"[10249, 10252]",5,2
apache/dubbo,8546,https://github.com/apache/dubbo/issues/10250,"[10250, 10212]",3,2
apache/dubbo,8548,https://github.com/apache/dubbo/issues/10245,"[10245, 9973]",1,2
apache/dubbo,8549,https://github.com/apache/dubbo/issues/10244,"[10244, 10214]",5,2
apache/dubbo,8555,https://github.com/apache/dubbo/issues/10168,"[10168, 10235]",6,2
apache/dubbo,8556,https://github.com/apache/dubbo/issues/10234,"[10234, 10227]",5,2
apache/dubbo,8559,https://github.com/apache/dubbo/issues/10219,"[10219, 10231]",10,2
apache/dubbo,8564,https://github.com/apache/dubbo/issues/10192,"[10192, 10225, 10193, 10222]",5,4
apache/dubbo,8577,https://github.com/apache/dubbo/issues/10202,"[10202, 10203]",0,2
apache/dubbo,8578,https://github.com/apache/dubbo/issues/10200,"[10200, 10181, 10182]",19,3
apache/dubbo,8579,https://github.com/apache/dubbo/issues/10198,"[10198, 10199]",1,2
apache/dubbo,8580,https://github.com/apache/dubbo/issues/10194,"[10194, 10191]",2,2
apache/dubbo,8582,https://github.com/apache/dubbo/issues/10186,"[10186, 10189, 10166]",12,3
apache/dubbo,8588,https://github.com/apache/dubbo/issues/10178,"[10178, 10020, 10021]",19,3
apache/dubbo,8600,https://github.com/apache/dubbo/issues/10161,"[10161, 10031]",2,2
apache/dubbo,8601,https://github.com/apache/dubbo/issues/10160,"[10160, 10139, 10136, 10078]",16,4
apache/dubbo,8605,https://github.com/apache/dubbo/issues/10107,"[10107, 10156]",6,2
apache/dubbo,8611,https://github.com/apache/dubbo/issues/10146,"[10146, 10149]",1,2
apache/dubbo,8613,https://github.com/apache/dubbo/issues/10105,"[10105, 10147]",5,2
apache/dubbo,8615,https://github.com/apache/dubbo/issues/10144,"[10144, 10068, 10135]",9,3
apache/dubbo,8622,https://github.com/apache/dubbo/issues/10052,"[10052, 10134]",11,2
apache/dubbo,8623,https://github.com/apache/dubbo/issues/10113,"[10113, 10133]",2,2
apache/dubbo,8641,https://github.com/apache/dubbo/issues/10106,"[10106, 10059]",4,2
apache/dubbo,8645,https://github.com/apache/dubbo/issues/9994,"[9994, 9962, 10027, 10101]",12,4
apache/dubbo,8651,https://github.com/apache/dubbo/issues/10088,"[10088, 10089, 10090]",6,3
apache/dubbo,8656,https://github.com/apache/dubbo/issues/10080,"[10080, 10076, 10079]",2,3
apache/dubbo,8657,https://github.com/apache/dubbo/issues/10073,"[10073, 10077]",11,2
apache/dubbo,8663,https://github.com/apache/dubbo/issues/10066,"[10066, 10067]",3,2
apache/dubbo,8673,https://github.com/apache/dubbo/issues/10054,"[10054, 10055]",8,2
apache/dubbo,8677,https://github.com/apache/dubbo/issues/10049,"[10049, 10045]",2,2
apache/dubbo,8682,https://github.com/apache/dubbo/issues/10040,"[10040, 9953, 9978, 9958]",11,4
apache/dubbo,8686,https://github.com/apache/dubbo/issues/10035,"[10035, 10036]",6,2
apache/dubbo,8698,https://github.com/apache/dubbo/issues/10002,"[10002, 9990, 10015]",13,3
apache/dubbo,8700,https://github.com/apache/dubbo/issues/10009,"[10009, 9986, 10013]",12,3
apache/dubbo,8702,https://github.com/apache/dubbo/issues/10008,"[10008, 9972]",2,2
apache/dubbo,8706,https://github.com/apache/dubbo/issues/10004,"[10004, 9999]",18,2
apache/dubbo,8707,https://github.com/apache/dubbo/issues/9992,"[9992, 10003]",4,2
apache/dubbo,8714,https://github.com/apache/dubbo/issues/9993,"[9993, 9977]",4,2
apache/dubbo,8729,https://github.com/apache/dubbo/issues/9940,"[9940, 9974]",14,2
apache/dubbo,8734,https://github.com/apache/dubbo/issues/9964,"[9964, 9967]",1,2
apache/dubbo,8755,https://github.com/apache/dubbo/issues/9921,"[9921, 9941, 9942, 9910, 9912]",28,5
App-vNext/Polly,14896,https://github.com/App-vNext/Polly/issues/936,"[936, 937]",14,2
archriss/react-native-snap-carousel,15424,https://github.com/archriss/react-native-snap-carousel/issues/928,"[928, 929]",8,2
archriss/react-native-snap-carousel,15427,https://github.com/archriss/react-native-snap-carousel/issues/922,"[922, 925]",4,2
BurntSushi/toml,16083,https://github.com/BurntSushi/toml/issues/354,"[354, 358, 357, 350]",43,4
BurntSushi/toml,16084,https://github.com/BurntSushi/toml/issues/353,"[353, 356]",11,2
cglib/cglib,16884,https://github.com/cglib/cglib/issues/205,"[205, 206]",0,2
deployphp/deployer,19957,https://github.com/deployphp/deployer/issues/3189,"[3189, 3159]",16,2
