repo_name,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/556#issue-227415992,issue,556,https://github.com/gonssal,5,issue,514,https://github.com/kaochihhui,1,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/133#issuecomment-217299123,issue,133,https://github.com/Odisseas,4,issue,233,https://github.com/coreyworrell,40,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/1015#issue-553108804,issue,1015,https://github.com/jasonwbullok,1,pull_request,774,https://github.com/danielkorte,15,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/289#issuecomment-157488885,issue,289,https://github.com/dzucconi,17,issue,135,https://github.com/hadl,2,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/638#issuecomment-590985286,issue,638,https://github.com/yesh,9,pull_request,1032,https://github.com/pooriamo,10,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/783#issuecomment-400514693,issue,783,https://github.com/lorenzo-gasperoni,1,issue,289,https://github.com/dzucconi,17,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/1171#issuecomment-896014419,issue,1171,https://github.com/keansgor,1,issue,233,https://github.com/coreyworrell,40,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/282#issuecomment-154058086,issue,282,https://github.com/danielvonmitschke,1,issue,278,https://github.com/howells,18,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/282#issuecomment-154058086,issue,282,https://github.com/danielvonmitschke,1,issue,278,https://github.com/howells,18,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/289#issuecomment-631451272,issue,289,https://github.com/dzucconi,17,pull_request,1032,https://github.com/pooriamo,10,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/547#issuecomment-298629518,issue,547,https://github.com/dangelion,6,issue,289,https://github.com/dzucconi,17,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/556#issue-227415992,issue,556,https://github.com/gonssal,5,issue,514,https://github.com/kaochihhui,1,other
metafizzy/flickity,https://github.com/metafizzy/flickity/issues/46#issuecomment-496030449,issue,46,https://github.com/FabianGabor,24,issue,233,https://github.com/coreyworrell,40,other
