"key","repo_name","size","diameter","density","author_count","comment_count","repo_contributors","component_url"
"1","Activiti/Activiti","2","1","0.5","3","0","197","https://github.com/Activiti/Activiti/issues/3984"
"2818","duo-labs/cloudmapper","11","4","0.12727273","27","53","90","https://github.com/duo-labs/cloudmapper/issues/161"
"5382","mlflow/mlflow","33","8","0.03787879","41","151","455","https://github.com/mlflow/mlflow/issues/3465"
"777","apache/dubbo","12","5","0.083333336","210","236","402","https://github.com/apache/dubbo/issues/9761"
"3341","jhen0409/react-native-debugger","4","2","0.33333334","6","7","58","https://github.com/jhen0409/react-native-debugger/issues/201"
"1807","apache/dubbo","11","3","0.1","23","38","402","https://github.com/apache/dubbo/issues/768"
"17","Activiti/Activiti","4","2","0.25","3","0","197","https://github.com/Activiti/Activiti/issues/3873"
"785","apache/dubbo","63","12","0.01843318","34","241","402","https://github.com/apache/dubbo/issues/8707"
"5650","mlflow/mlflow","4","3","0.25","11","25","455","https://github.com/mlflow/mlflow/issues/2201"
"4884","MithrilJS/mithril.js","799","19","0.0017785389","419","6062","245","https://github.com/MithrilJS/mithril.js/issues/1"
"23","Activiti/Activiti","2","1","0.5","3","3","197","https://github.com/Activiti/Activiti/issues/3829"
"1305","apache/dubbo","87","17","0.012429832","116","337","402","https://github.com/apache/dubbo/issues/1025"
"26","Activiti/Activiti","3","2","0.33333334","6","0","197","https://github.com/Activiti/Activiti/issues/3787"
"4384","MagicStack/uvloop","13","7","0.083333336","19","22","50","https://github.com/MagicStack/uvloop/issues/420"
"3360","John-Lluch/SWRevealViewController","9","6","0.11111111","18","155","11","https://github.com/John-Lluch/SWRevealViewController/issues/576"
"7971","SwipeCellKit/SwipeCellKit","4","2","0.41666666","22","45","21","https://github.com/SwipeCellKit/SwipeCellKit/issues/4"
"2852","duo-labs/cloudmapper","21","5","0.04761905","6","59","90","https://github.com/duo-labs/cloudmapper/issues/384"
"806","apache/dubbo","1293","33","9.5058174E-4","582","3528","402","https://github.com/apache/dubbo/issues/1"
"6696","Rapptz/discord.py","200","15","0.0065326635","362","777","333","https://github.com/Rapptz/discord.py/issues/1"
"6698","Rapptz/discord.py","10","3","0.14444445","93","185","333","https://github.com/Rapptz/discord.py/issues/8162"
"299","Activiti/Activiti","4","3","0.25","7","3","197","https://github.com/Activiti/Activiti/issues/1481"
"4651","metafizzy/flickity","49","9","0.022534013","261","523","17","https://github.com/metafizzy/flickity/issues/386"
"5676","mlflow/mlflow","2","1","0.5","12","25","455","https://github.com/mlflow/mlflow/issues/2289"
"2860","duo-labs/cloudmapper","2","1","0.5","3","18","90","https://github.com/duo-labs/cloudmapper/issues/307"
"1837","apache/dubbo","4","3","0.25","6","11","402","https://github.com/apache/dubbo/issues/1398"
"3374","John-Lluch/SWRevealViewController","2","1","0.5","3","51","11","https://github.com/John-Lluch/SWRevealViewController/issues/524"
"3375","John-Lluch/SWRevealViewController","5","2","0.2","4","32","11","https://github.com/John-Lluch/SWRevealViewController/issues/486"
"816","apache/dubbo","8","4","0.125","9","11","402","https://github.com/apache/dubbo/issues/10016"
"7987","tensorpack/tensorpack","9","6","0.11111111","11","58","53","https://github.com/tensorpack/tensorpack/issues/1153"
"564","ag-grid/ag-grid","2","1","0.5","6","14","106","https://github.com/ag-grid/ag-grid/issues/2667"
"3124","grpc/grpc-web","2","1","0.5","11","9","98","https://github.com/grpc/grpc-web/issues/769"
"3380","John-Lluch/SWRevealViewController","18","5","0.055555556","48","121","11","https://github.com/John-Lluch/SWRevealViewController/issues/288"
"54","Activiti/Activiti","6","4","0.16666667","8","6","197","https://github.com/Activiti/Activiti/issues/3493"
"57","Activiti/Activiti","2","1","0.5","6","1","197","https://github.com/Activiti/Activiti/issues/3571"
"2873","duo-labs/cloudmapper","5","4","0.2","1","4","90","https://github.com/duo-labs/cloudmapper/issues/98"
"2106","casesandberg/react-color","44","8","0.026955603","87","187","80","https://github.com/casesandberg/react-color/issues/636"
"2874","duo-labs/cloudmapper","17","6","0.06985294","14","49","90","https://github.com/duo-labs/cloudmapper/issues/352"
"61","Activiti/Activiti","2","1","0.5","7","3","197","https://github.com/Activiti/Activiti/issues/3518"
"2365","cruffenach/CRToast","4","3","0.25","3","7","27","https://github.com/cruffenach/CRToast/issues/16"
"69","Activiti/Activiti","3","2","0.33333334","5","3","197","https://github.com/Activiti/Activiti/issues/3454"
"2377","deepinsight/insightface","9","3","0.11111111","32","62","42","https://github.com/deepinsight/insightface/issues/704"
"1099","apache/dubbo","7","3","0.16666667","14","30","402","https://github.com/apache/dubbo/issues/8100"
"2891","duo-labs/cloudmapper","3","2","0.33333334","1","5","90","https://github.com/duo-labs/cloudmapper/issues/260"
"77","Activiti/Activiti","5","2","0.3","7","6","197","https://github.com/Activiti/Activiti/issues/3393"
"847","apache/dubbo","19","8","0.058479533","20","62","402","https://github.com/apache/dubbo/issues/8833"
"1871","apache/dubbo","14","2","0.071428575","17","53","402","https://github.com/apache/dubbo/issues/960"
"4694","metafizzy/flickity","4","3","0.25","34","63","17","https://github.com/metafizzy/flickity/issues/729"
"1883","apache/dubbo","2","1","0.5","15","21","402","https://github.com/apache/dubbo/issues/81"
"5212","mlflow/mlflow","10","5","0.11111111","17","50","455","https://github.com/mlflow/mlflow/issues/2628"
"1630","apache/dubbo","9","4","0.11111111","13","8","402","https://github.com/apache/dubbo/issues/3936"
"1887","apache/dubbo","4","3","0.25","52","76","402","https://github.com/apache/dubbo/issues/202"
"1376","apache/dubbo","4","3","0.25","9","9","402","https://github.com/apache/dubbo/issues/664"
"3424","jonschlinkert/remarkable","4","2","0.25","3","64","38","https://github.com/jonschlinkert/remarkable/issues/25"
"7776","summernote/summernote","6","2","0.3","7","14","292","https://github.com/summernote/summernote/issues/2539"
"610","ag-grid/ag-grid","2","1","0.5","1","4","106","https://github.com/ag-grid/ag-grid/issues/1850"
"4963","MithrilJS/mithril.js","9","6","0.125","7","25","245","https://github.com/MithrilJS/mithril.js/issues/1760"
"7267","rematch/rematch","68","15","0.016242318","75","481","94","https://github.com/rematch/rematch/issues/769"
"3428","jupyterhub/jupyterhub","176","36","0.006655844","171","888","243","https://github.com/jupyterhub/jupyterhub/issues/2049"
"365","Activiti/Activiti","2","1","0.5","3","7","197","https://github.com/Activiti/Activiti/issues/642"
"6254","Project-OSRM/osrm-backend","4","2","0.25","7","43","136","https://github.com/Project-OSRM/osrm-backend/issues/802"
"2927","fantasyland/fantasy-land","139","17","0.010582838","116","1955","53","https://github.com/fantasyland/fantasy-land/issues/1"
"372","Activiti/Activiti","2","1","0.5","1","1","197","https://github.com/Activiti/Activiti/issues/560"
"6013","Project-OSRM/osrm-backend","1879","29","8.161503E-4","651","9450","136","https://github.com/Project-OSRM/osrm-backend/issues/1"
"3454","jupyterhub/jupyterhub","16","6","0.075","33","98","243","https://github.com/jupyterhub/jupyterhub/issues/3808"
"3968","kubernetes-sigs/kustomize","1268","25","0.0010637662","1291","8065","319","https://github.com/kubernetes-sigs/kustomize/issues/1"
"1667","apache/dubbo","65","5","0.015384615","34","132","402","https://github.com/apache/dubbo/issues/2177"
"1924","App-vNext/Polly","306","27","0.0047573126","211","1796","57","https://github.com/App-vNext/Polly/issues/1"
"141","Activiti/Activiti","3","2","0.33333334","8","22","197","https://github.com/Activiti/Activiti/issues/2952"
"8333","TypeStrong/ts-node","437","18","0.0031700712","1100","3201","98","https://github.com/TypeStrong/ts-node/issues/1"
"401","ag-grid/ag-grid","16","6","0.075","82","198","106","https://github.com/ag-grid/ag-grid/issues/1312"
"146","Activiti/Activiti","4","3","0.25","3","23","197","https://github.com/Activiti/Activiti/issues/2664"
"2451","deployphp/deployer","10","2","0.1","2","25","306","https://github.com/deployphp/deployer/issues/3088"
"918","apache/dubbo","13","6","0.09615385","24","70","402","https://github.com/apache/dubbo/issues/9337"
"4762","mgonto/restangular","9","6","0.11111111","55","90","114","https://github.com/mgonto/restangular/issues/1088"
"8347","TypeStrong/ts-node","3","2","0.33333334","18","5","98","https://github.com/TypeStrong/ts-node/issues/1648"
"4764","mgonto/restangular","6","3","0.16666667","22","46","114","https://github.com/mgonto/restangular/issues/1376"
"6558","Project-OSRM/osrm-backend","4","3","0.25","4","22","136","https://github.com/Project-OSRM/osrm-backend/issues/529"
"2465","deployphp/deployer","111","17","0.012039312","147","669","306","https://github.com/deployphp/deployer/issues/1024"
"2211","cglib/cglib","21","9","0.05952381","34","169","19","https://github.com/cglib/cglib/issues/1"
"2212","cglib/cglib","5","2","0.3","7","64","19","https://github.com/cglib/cglib/issues/2"
"935","apache/dubbo","4","3","0.25","4","4","402","https://github.com/apache/dubbo/issues/9208"
"7596","summernote/summernote","14","6","0.082417585","28","78","292","https://github.com/summernote/summernote/issues/4122"
"7597","summernote/summernote","367","32","0.003260821","634","1893","292","https://github.com/summernote/summernote/issues/4098"
"2223","chaijs/chai","399","15","0.004275765","498","2730","156","https://github.com/chaijs/chai/issues/2"
"432","ag-grid/ag-grid","2","1","0.5","4","6","106","https://github.com/ag-grid/ag-grid/issues/4723"
"1974","archriss/react-native-snap-carousel","177","12","0.0072868518","588","1641","38","https://github.com/archriss/react-native-snap-carousel/issues/513"
"186","Activiti/Activiti","2","1","0.5","1","3","197","https://github.com/Activiti/Activiti/issues/2586"
"2747","deployphp/deployer","2","1","0.5","5","36","306","https://github.com/deployphp/deployer/issues/368"
"188","Activiti/Activiti","23","4","0.0513834","13","54","197","https://github.com/Activiti/Activiti/issues/2182"
"7359","rematch/rematch","4","2","0.25","2","9","94","https://github.com/rematch/rematch/issues/56"
"3264","iron/iron","11","5","0.1","4","50","132","https://github.com/iron/iron/issues/263"
"5826","mlflow/mlflow","5","1","0.5","5","4","455","https://github.com/mlflow/mlflow/issues/705"
"2499","deployphp/deployer","4","3","0.25","3","3","306","https://github.com/deployphp/deployer/issues/2560"
"203","Activiti/Activiti","2","1","0.5","7","53","197","https://github.com/Activiti/Activiti/issues/2324"
"4299","kubernetes-sigs/kustomize","8","5","0.125","3","7","319","https://github.com/kubernetes-sigs/kustomize/issues/192"
"6607","ptomasroos/react-native-scrollable-tab-view","17","8","0.0625","101","189","68","https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/321"
"6608","ptomasroos/react-native-scrollable-tab-view","8","4","0.14285715","32","41","68","https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/928"
"3283","iron/iron","7","3","0.16666667","4","15","132","https://github.com/iron/iron/issues/105"
"727","amphp/amp","4","2","0.33333334","3","27","42","https://github.com/amphp/amp/issues/368"
"1496","apache/dubbo","5","3","0.3","15","17","402","https://github.com/apache/dubbo/issues/4802"
"4314","kubernetes-sigs/kustomize","3","1","0.5","13","33","319","https://github.com/kubernetes-sigs/kustomize/issues/736"
"2268","chaijs/chai","4","3","0.25","18","31","156","https://github.com/chaijs/chai/issues/200"
"1757","apache/dubbo","9","3","0.11111111","13","12","402","https://github.com/apache/dubbo/issues/2279"
"4831","mgonto/restangular","7","3","0.14285715","7","12","114","https://github.com/mgonto/restangular/issues/610"
"225","Activiti/Activiti","7","4","0.14285715","3","12","197","https://github.com/Activiti/Activiti/issues/2214"
"994","apache/dubbo","8","3","0.21428572","9","65","402","https://github.com/apache/dubbo/issues/8872"
"2532","deployphp/deployer","21","5","0.05","7","33","306","https://github.com/deployphp/deployer/issues/2176"
"741","amphp/amp","3","2","0.33333334","1","3","42","https://github.com/amphp/amp/issues/283"
"3302","jhen0409/react-native-debugger","32","9","0.043346774","159","253","58","https://github.com/jhen0409/react-native-debugger/issues/532"
"490","ag-grid/ag-grid","2","1","0.5","35","62","106","https://github.com/ag-grid/ag-grid/issues/3680"
"494","ag-grid/ag-grid","2","1","0.5","24","37","106","https://github.com/ag-grid/ag-grid/issues/3160"
"8431","TypeStrong/ts-node","6","2","0.16666667","56","112","98","https://github.com/TypeStrong/ts-node/issues/554"
"496","ag-grid/ag-grid","3","1","0.5","7","7","106","https://github.com/ag-grid/ag-grid/issues/3467"
"1267","apache/dubbo","4","3","0.25","1","0","402","https://github.com/apache/dubbo/issues/7387"
"500","ag-grid/ag-grid","3","2","0.33333334","15","19","106","https://github.com/ag-grid/ag-grid/issues/3376"
"7925","summernote/summernote","7","4","0.14285715","11","19","292","https://github.com/summernote/summernote/issues/260"
"3067","grpc/grpc-web","28","12","0.03968254","32","96","98","https://github.com/grpc/grpc-web/issues/1025"
"2811","duo-labs/cloudmapper","10","7","0.1","3","12","90","https://github.com/duo-labs/cloudmapper/issues/292"
"4093","kubernetes-sigs/kustomize","6","4","0.16666667","14","36","319","https://github.com/kubernetes-sigs/kustomize/issues/2208"
"7678","summernote/summernote","56","14","0.01883117","95","235","292","https://github.com/summernote/summernote/issues/2048"
