"key","repo_name","size","diameter","density","author_count","comment_count","repo_contributors","component_url","list_of_nodes"
"12160","apache/dubbo","8","4","0.14285715","15","31","402","https://github.com/apache/dubbo/issues/4525","4525|4784|4786|4787|4533|4823|4889|4734"
"33792","metafizzy/flickity","33","8","0.035984848","133","215","17","https://github.com/metafizzy/flickity/issues/514","514|133|774|135|1032|783|1171|278|282|289|547|556|46|431|177|566|694|187|576|961|322|460|845|718|855|613|233|745|619|495|623|1015|638"
"51203","redis/redis-rb","10","5","0.11111111","12","55","173","https://github.com/redis/redis-rb/issues/960","960|961|962|963|964|835|840|948|926|959"
"16388","casesandberg/react-color","2","1","0.5","10","7","80","https://github.com/casesandberg/react-color/issues/731","731|758"
"8836","apache/dubbo","19","8","0.058479533","20","62","402","https://github.com/apache/dubbo/issues/8833","8833|8834|9480|9239|9248|9249|9651|9782|9784|9285|9427|9172|9557|9175|9818|9188|9194|9838|8821"
"9478","apache/dubbo","10","6","0.1","14","21","402","https://github.com/apache/dubbo/issues/8194","8194|8195|8196|8197|8206|8207|8208|8917|8918|8215"
"37510","mlflow/mlflow","81","19","0.014351852","172","460","455","https://github.com/mlflow/mlflow/issues/3077","3077|3086|3601|2581|2071|3608|2075|3108|4135|3116|2607|2608|3632|2045|1093|3144|2150|2662|3177|2671|629|3206|2697|2701|2215|2728|5293|5295|3766|2744|2752|2753|3792|2263|3296|4839|4337|2802|3319|3320|2809|3325|1790|2834|1813|810|2872|832|3393|4419|4426|842|4946|851|861|3430|2924|6004|2421|902|3463|5010|917|4014|1970|1971|6069|5045|4022|6075|4037|5575|5070|6095|3034|3557|3046|2544|1009|2044|3069"
"7306","ag-grid/ag-grid","2","1","0.5","31","57","109","https://github.com/ag-grid/ag-grid/issues/1011","1011|628"
"30860","kubernetes-sigs/kustomize","11","4","0.12727273","19","124","320","https://github.com/kubernetes-sigs/kustomize/issues/834","834|835|838|840|1212|852|2014|791|1496|828|1374"
"52240","rematch/rematch","3","2","0.33333334","1","1","94","https://github.com/rematch/rematch/issues/448","448|460|463"
"55444","stacktracejs/stacktrace.js","2","1","0.5","12","22","21","https://github.com/stacktracejs/stacktrace.js/issues/58","58|21"
"19477","deepinsight/insightface","4","3","0.25","49","92","42","https://github.com/deepinsight/insightface/issues/24","24|331|566|215"
"51224","redis/redis-rb","10","4","0.12222222","21","48","173","https://github.com/redis/redis-rb/issues/736","736|741|678|745|873|911|690|920|728|698"
"26905","jupyterhub/jupyterhub","4","3","0.25","9","26","243","https://github.com/jupyterhub/jupyterhub/issues/90","90|3555|98|87"
"22041","duo-labs/cloudmapper","45","9","0.028282829","47","177","90","https://github.com/duo-labs/cloudmapper/issues/1","1|641|3|2|4|642|524|14|16|18|20|24|153|155|27|539|287|160|37|556|301|557|559|562|52|54|55|696|184|187|713|843|595|221|483|874|875|876|106|494|491|492|881|882|495"
"60059","tensorpack/tensorpack","7","5","0.14285715","4","48","53","https://github.com/tensorpack/tensorpack/issues/160","160|193|235|144|251|222|223"
"29","Activiti/Activiti","2","1","0.5","3","0","197","https://github.com/Activiti/Activiti/issues/3984","3984|3983"
