key,repo_name,size,diameter,density,component_authors,url,comment_count,repo_contributors,component_nodes
1,Activiti/Activiti,2,1,0.5,https://github.com/alfresco-build|https://github.com/apps/dependabot,https://github.com/Activiti/Activiti/issues/4011,1,197,4011|4013
29,Activiti/Activiti,2,1,0.5,https://github.com/apps/mergify|https://github.com/atchertchian|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3984,0,197,3984|3983
31,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/andrea-ligios,https://github.com/Activiti/Activiti/issues/3980,0,197,3980|3981
33,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/andrea-ligios|https://github.com/balsarori|https://github.com/erdemedeiros|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3968,0,197,3968|3969|3978
42,Activiti/Activiti,2,1,0.5,https://github.com/pmartinezga|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/3966,0,197,3966|3967
43,Activiti/Activiti,2,1,0.5,https://github.com/pmartinezga|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/3964,0,197,3964|3965
47,Activiti/Activiti,2,1,0.5,https://github.com/apps/dependabot|https://github.com/atchertchian|https://github.com/erdemedeiros|https://github.com/alfresco-build,https://github.com/Activiti/Activiti/issues/3960,2,197,3960|3911
49,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/andrea-ligios|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3957,0,197,3957|3958
57,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3938,0,197,3938|3949
63,Activiti/Activiti,2,1,0.5,https://github.com/jesty|https://github.com/oliveralfresco2018|https://github.com/erdemedeiros|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3916,3,197,3916|3943
67,Activiti/Activiti,2,1,0.5,https://github.com/atchertchian|https://github.com/apps/dependabot|https://github.com/alfresco-build,https://github.com/Activiti/Activiti/issues/3939,1,197,3939|3877
79,Activiti/Activiti,2,1,0.5,https://github.com/jesty|https://github.com/miguelruizdev|https://github.com/jsokolowskii,https://github.com/Activiti/Activiti/issues/3925,0,197,3925|3926
84,Activiti/Activiti,2,1,0.5,https://github.com/jesty|https://github.com/jsokolowskii,https://github.com/Activiti/Activiti/issues/3920,0,197,3920|3904
85,Activiti/Activiti,2,1,0.5,https://github.com/jesty|https://github.com/miguelruizdev|https://github.com/jsokolowskii,https://github.com/Activiti/Activiti/issues/3882,0,197,3882|3919
91,Activiti/Activiti,2,1,0.5,https://github.com/gicappa|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3912,1,197,3912|3910
99,Activiti/Activiti,2,1,0.5,https://github.com/gicappa|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3900,0,197,3900|3901
107,Activiti/Activiti,2,1,0.5,https://github.com/balsarori|https://github.com/apps/mergify|https://github.com/erdemedeiros|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3892,0,197,3892|3887
123,Activiti/Activiti,4,2,0.25,https://github.com/gicappa|https://github.com/andrea-ligios|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3873,0,197,3873|3826|3828|3825
129,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/balsarori|https://github.com/mauriziovitale|https://github.com/erdemedeiros|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3867,0,197,3867|3837|3838
140,Activiti/Activiti,2,1,0.5,https://github.com/pmartinezga|https://github.com/mmartinadanx|https://github.com/nazarethjim,https://github.com/Activiti/Activiti/issues/3856,0,197,3856|3855
144,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mauriziovitale|https://github.com/balsarori|https://github.com/apps/mergify|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3850,0,197,3850|3851
150,Activiti/Activiti,2,1,0.5,https://github.com/apps/mergify|https://github.com/erdemedeiros|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3836,0,197,3836|3844
154,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/igdianov|https://github.com/andrea-ligios|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3840,1,197,3840|3819|3820
162,Activiti/Activiti,2,1,0.5,https://github.com/Odyseja|https://github.com/saraarif|https://github.com/nloke,https://github.com/Activiti/Activiti/issues/3829,3,197,3829|3773
168,Activiti/Activiti,2,1,0.5,https://github.com/CLAassistant|https://github.com/thomasfox,https://github.com/Activiti/Activiti/issues/3817,2,197,3817|3818
171,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/andrea-ligios|https://github.com/Activiti|https://github.com/apps/mergify|https://github.com/igdianov,https://github.com/Activiti/Activiti/issues/3813,0,197,3813|3814
185,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/erdemedeiros|https://github.com/andrea-ligios|https://github.com/apps/mergify|https://github.com/HurryUpWb|https://github.com/igdianov|https://github.com/gicappa,https://github.com/Activiti/Activiti/issues/3787,0,197,3787|3788|3799
186,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/andrea-ligios|https://github.com/apps/mergify|https://github.com/igdianov|https://github.com/gicappa,https://github.com/Activiti/Activiti/issues/3796,0,197,3796|3798
193,Activiti/Activiti,5,3,0.2,https://github.com/erdemedeiros|https://github.com/c14s|https://github.com/almerico|https://github.com/mteodori|https://github.com/salaboy|https://github.com/HurryUpWb|https://github.com/Showleen|https://github.com/Sohnny0|https://github.com/ryandawsonuk,https://github.com/Activiti/Activiti/issues/2507,26,197,2507|3790|2577|2579|2428
196,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/miguelruizdev|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3784,1,197,3784|3785|3765
197,Activiti/Activiti,2,1,0.5,https://github.com/mmartinadanx|https://github.com/rbarroso|https://github.com/nazarethjim,https://github.com/Activiti/Activiti/issues/3782,0,197,3782|3783
209,Activiti/Activiti,2,1,0.5,https://github.com/codecov-commenter|https://github.com/turmali|https://github.com/CLAassistant|https://github.com/salaboy,https://github.com/Activiti/Activiti/issues/3769,2,197,3769|1639
