repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
sosedoff/pgweb,54915,https://github.com/sosedoff/pgweb/issues/480#issuecomment-668324478,issue,480,https://github.com/gabrieljones,14,issue,222,https://github.com/zoujd-github,5,other
cruffenach/CRToast,18052,https://github.com/cruffenach/CRToast/pull/16#issuecomment-35463585,pull_request,16,https://github.com/Ashton-W,2,pull_request,21,https://github.com/cruffenach,0,other
cruffenach/CRToast,18052,https://github.com/cruffenach/CRToast/issues/10#issuecomment-35165970,issue,10,https://github.com/Ashton-W,2,issue,8,https://github.com/phillipthelen,3,other
cruffenach/CRToast,18052,https://github.com/cruffenach/CRToast/pull/16#issue-27775625,pull_request,16,https://github.com/Ashton-W,2,issue,10,https://github.com/Ashton-W,2,other
ag-grid/ag-grid,4869,https://github.com/ag-grid/ag-grid/pull/3468#issue-512443375,pull_request,3468,https://github.com/deser,2,issue,3467,https://github.com/deser,4,other
ag-grid/ag-grid,4869,https://github.com/ag-grid/ag-grid/pull/3685#issue-569971525,pull_request,3685,https://github.com/HipsterZipster,1,pull_request,3468,https://github.com/deser,2,other
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/pull/2134#issue-316528590,pull_request,2134,https://github.com/maranomynet,1,pull_request,2133,https://github.com/maranomynet,15,other
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/pull/2137#issuecomment-386926318,pull_request,2137,https://github.com/maranomynet,23,pull_request,2141,https://github.com/maranomynet,12,other
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/issues/2138#issuecomment-386708665,issue,2138,https://github.com/maranomynet,6,pull_request,2139,https://github.com/maranomynet,3,other
MithrilJS/mithril.js,36106,https://github.com/MithrilJS/mithril.js/pull/2142#issue-320639751,pull_request,2142,https://github.com/maranomynet,0,pull_request,2141,https://github.com/maranomynet,12,other
rematch/rematch,52493,https://github.com/rematch/rematch/issues/51#issue-266713150,issue,51,https://github.com/ShMcK,1,pull_request,56,https://github.com/ShMcK,4,other
rematch/rematch,52493,https://github.com/rematch/rematch/issues/48#issue-266695777,issue,48,https://github.com/ShMcK,4,pull_request,56,https://github.com/ShMcK,4,other
rematch/rematch,52493,https://github.com/rematch/rematch/pull/56#issue-267434858,pull_request,56,https://github.com/ShMcK,4,issue,52,https://github.com/ShMcK,0,fixes
